case,x,panel,chain_real,chain_imag,pressure_delta_real,pressure_delta_imag
fn167,1.7902623815836317e-05,38,4.54872467028927e-15,2.854140358879186e-15,-1.546566387898352e-11,-9.704077220189232e-12
fn167,1.7902623815836317e-05,39,4.592729668118132e-15,2.8988998087979443e-15,-1.561528087160165e-11,-9.85625934991301e-12
fn167,1.7902623815836317e-05,40,5.402768625403415e-15,3.4835557848710703e-15,-1.836941332637161e-11,-1.1844089668561639e-11
fn167,1.7902623815836317e-05,41,2.793244374374429e-15,1.8439749796931707e-15,-9.497030872873059e-12,-6.2695149309567805e-12
fn167,1.7902623815836317e-05,42,2.8230026623836054e-15,1.8745622269574876e-15,-9.598209052104258e-12,-6.373511571655458e-12
fn167,1.7902623815836317e-05,43,4.3383306156596206e-15,2.9259808486437975e-15,-1.475032409324271e-11,-9.948334885388911e-12
fn167,1.7902623815836317e-05,44,4.2551045297671125e-15,2.824944117951376e-15,-1.4467355401208183e-11,-9.604810001034679e-12
fn167,1.7902623815836317e-05,45,4.86936347984313e-15,3.527513171093975e-15,-1.6555835831466644e-11,-1.1993544781719515e-11
fn167,1.7902623815836317e-05,46,5.101496218204073e-15,3.4422022974211685e-15,-1.7345087141893846e-11,-1.1703487811231973e-11
fn167,1.7902623815836317e-05,47,5.652031885128805e-15,4.072530430161404e-15,-1.9216908409437938e-11,-1.3846603462548774e-11
fn167,1.7902623815836317e-05,48,5.119985127057988e-15,3.8057658415077075e-15,-1.740794943199716e-11,-1.2939603861126206e-11
fn167,1.7902623815836317e-05,49,3.824921512835367e-15,2.6570501452970898e-15,-1.3004733143640247e-11,-9.033970494010105e-12
fn167,1.7902623815836317e-05,50,4.0671188320567765e-15,3.2941031452457943e-15,-1.382820402899304e-11,-1.1199950693835701e-11
fn167,1.7902623815836317e-05,51,3.800219671030033e-15,3.707637296831114e-15,-1.2920746881502113e-11,-1.2605966809225788e-11
fn167,1.7902623815836317e-05,52,2.5762043706214855e-15,2.2832699792629378e-15,-8.75909486011305e-12,-7.763117929493988e-12
fn167,1.7902623815836317e-05,53,6.0196384617906255e-15,4.853303158282831e-15,-2.0466770770088126e-11,-1.6501230738161626e-11
fn167,1.7902623815836317e-05,54,5.632008248412182e-15,5.3337755358819e-15,-1.914882804460142e-11,-1.8134836821998458e-11
fn167,1.7902623815836317e-05,55,6.700217828253908e-15,6.045957796643899e-15,-2.2780740616063287e-11,-2.0556256508589258e-11
fn167,1.7902623815836317e-05,56,7.12308951419437e-15,6.755357207955881e-15,-2.4218504348260858e-11,-2.2968214507049995e-11
fn167,1.7902623815836317e-05,57,7.290183218121211e-15,7.75383688307932e-15,-2.4786622941612117e-11,-2.636304540246969e-11
fn167,1.7902623815836317e-05,58,3.3179507932268766e-15,3.4028911719368122e-15,-1.128103269697138e-11,-1.1569829984585162e-11
fn167,1.7902623815836317e-05,59,1.0953019369577979e-14,1.1867841001693339e-14,-3.724026585656513e-11,-4.035065940575735e-11
fn167,1.7902623815836317e-05,60,8.104372373445965e-15,8.868141566396464e-15,-2.7554866069716284e-11,-3.015168132574798e-11
fn167,1.7902623815836317e-05,61,9.490497619248365e-15,1.0834952140295396e-14,-3.226769190544444e-11,-3.683883727700435e-11
fn167,1.7902623815836317e-05,62,7.82977951952305e-15,9.279154518748064e-15,-2.662125036637837e-11,-3.1549125363743416e-11
fn167,1.7902623815836317e-05,63,6.788862045076069e-15,7.947796179080636e-15,-2.3082130953258636e-11,-2.7022507008874162e-11
fn167,1.7902623815836317e-05,64,7.358055306263113e-15,8.516963027696285e-15,-2.5017388041294584e-11,-2.895767429416737e-11
fn167,1.7902623815836317e-05,65,5.709933143923288e-15,6.7218975438235365e-15,-1.941377268933918e-11,-2.2854451649000023e-11
fn167,1.7902623815836317e-05,66,7.853671476138658e-15,9.449233006059647e-15,-2.6702483018871435e-11,-3.21273922206028e-11
fn167,1.7902623815836317e-05,67,8.024003533228078e-15,9.97390129509237e-15,-2.7281612012975464e-11,-3.391126440331406e-11
fn167,1.7902623815836317e-05,68,1.6122423449980252e-14,2.110769795113044e-14,-5.481623972993286e-11,-7.17661730338435e-11
fn167,1.7902623815836317e-05,69,1.075829741103262e-14,1.445231763352747e-14,-3.657821119751091e-11,-4.913787995399339e-11
fn167,1.7902623815836317e-05,70,1.4157195171887946e-14,1.9770964240943696e-14,-4.813446358441902e-11,-6.722127841920857e-11
fn167,1.7902623815836317e-05,71,1.8412221884260756e-14,2.6718960602361016e-14,-6.260155440648657e-11,-9.084446604802745e-11
fn167,0.016002068483958694,0,-7.946659105016288e-18,-2.6420321315589457e-18,2.7018640957055378e-14,8.982909247300415e-15
fn167,0.016002068483958694,1,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,2,0.0,0.0,-0.0,0.0
