case,x,panel,chain_real,chain_imag,pressure_delta_real,pressure_delta_imag
fn167,0.06395456606438726,22,-1.3921380662745991e-16,-1.1215831471099513e-16,4.733269425333637e-13,3.8133827001738345e-13
fn167,0.06395456606438726,23,0.0,0.0,-0.0,0.0
fn167,0.06395456606438726,24,-1.439290201387454e-16,-1.1771170936548844e-16,4.893586684717344e-13,4.002198118426607e-13
fn167,0.06395456606438726,25,0.0,0.0,-0.0,0.0
fn167,0.06395456606438726,26,-1.490490458052203e-16,-1.2351396621805519e-16,5.06766755737749e-13,4.1994748514138764e-13
fn167,0.06395456606438726,27,-4.82131458684216e-17,3.1945234867479726e-17,1.6392469595263344e-13,-1.0861379854943107e-13
fn167,0.06395456606438726,28,0.0,0.0,-0.0,0.0
fn167,0.06395456606438726,29,0.0,0.0,-0.0,0.0
fn167,0.06395456606438726,30,0.0,0.0,-0.0,0.0
fn167,0.06395456606438726,31,0.0,0.0,-0.0,0.0
fn167,0.06395456606438726,32,0.0,0.0,-0.0,0.0
fn167,0.06395456606438726,33,0.0,0.0,-0.0,0.0
fn167,0.06395456606438726,34,0.0,0.0,-0.0,0.0
fn167,0.06395456606438726,35,-7.119038618304451e-18,-5.261386891351171e-18,2.4204731302235134e-14,1.788871543059398e-14
fn167,0.1278912295049587,0,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,1,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,2,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,3,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,4,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,5,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,6,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,7,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,8,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,9,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,10,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,11,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,12,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,13,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,14,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,15,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,16,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,17,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,18,0.0,0.0,-0.0,0.0
