source_directory,component,sigma,omega_rad_s,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_subtraction,diagnostic_zero_restoring_component,target_identifier,beam_m,deadrise_deg,trim_deg,fn_b,mean_wetted_length_over_b,lcg_from_transom_m,rho_water_kg_m3,gravity_m_s2,matrix_coordinate_contract,response_calibration_used
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma113_complete_AB_external_fig74_body12_sub16_v1,total,1.13,6.275166034286394,A53,1.3034223515094034,0.127460812981901,0.019545320967229853,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma113_complete_AB_external_fig74_body12_sub16_v1,total,1.13,6.275166034286394,A55,0.6074771916840301,0.18680752934798844,0.04021660543372613,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma113_complete_AB_external_fig74_body12_sub16_v1,total,1.13,6.275166034286394,B33,392.30821173540556,2.1968442160598753,0.01518398242232009,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma113_complete_AB_external_fig74_body12_sub16_v1,total,1.13,6.275166034286394,B35,-225.2075344339998,-3.965771233747033,0.03511702282901103,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma113_complete_AB_external_fig74_body12_sub16_v1,total,1.13,6.275166034286394,B53,43.477303007223036,0.7656095433053944,0.019545320967229853,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma113_complete_AB_external_fig74_body12_sub16_v1,total,1.13,6.275166034286394,B55,57.972915604578674,3.210278904751366,0.04021660543372613,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma14_complete_AB_external_fig74_body12_sub16_v1,total,1.4,7.774541989381373,A33,29.62456318185424,0.9212353518108735,0.017099958688498496,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma14_complete_AB_external_fig74_body12_sub16_v1,total,1.4,7.774541989381373,A35,-2.3700808510256026,-0.2317686448715006,0.0327442306441107,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma14_complete_AB_external_fig74_body12_sub16_v1,total,1.4,7.774541989381373,A53,0.030276482389913463,0.0029607172649614784,0.018314941710344194,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma14_complete_AB_external_fig74_body12_sub16_v1,total,1.4,7.774541989381373,A55,1.113242070536427,0.34233713398628673,0.03831756090696913,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma14_complete_AB_external_fig74_body12_sub16_v1,total,1.4,7.774541989381373,B33,391.27326819973536,2.1910487479756666,0.017099958688498496,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma14_complete_AB_external_fig74_body12_sub16_v1,total,1.4,7.774541989381373,B35,-225.97914315774034,-3.979358806152233,0.0327442306441107,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma14_complete_AB_external_fig74_body12_sub16_v1,total,1.4,7.774541989381373,B53,43.09607237037521,0.7588962976902606,0.018314941710344194,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma14_complete_AB_external_fig74_body12_sub16_v1,total,1.4,7.774541989381373,B55,57.58361706960655,3.1887213056304944,0.03831756090696913,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma170_complete_AB_external_fig74_body12_sub16_v1,total,1.7,9.440515272820239,A33,29.643185111289693,0.9218144381457354,0.017126003622434993,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma170_complete_AB_external_fig74_body12_sub16_v1,total,1.7,9.440515272820239,A35,-2.3614982813501952,-0.2309293610376501,0.028457023112958432,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma170_complete_AB_external_fig74_body12_sub16_v1,total,1.7,9.440515272820239,A53,-0.7113888267520961,-0.06956624466279819,0.01811585134771414,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma170_complete_AB_external_fig74_body12_sub16_v1,total,1.7,9.440515272820239,A55,1.426889934169934,0.4387881337813964,0.037637978154976534,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma170_complete_AB_external_fig74_body12_sub16_v1,total,1.7,9.440515272820239,B33,391.7570705352887,2.193757940214786,0.017126003622434993,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma170_complete_AB_external_fig74_body12_sub16_v1,total,1.7,9.440515272820239,B35,-226.84373169638684,-3.9945836980023612,0.028457023112958432,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma170_complete_AB_external_fig74_body12_sub16_v1,total,1.7,9.440515272820239,B53,42.209646604673566,0.7432868652114285,0.01811585134771414,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma170_complete_AB_external_fig74_body12_sub16_v1,total,1.7,9.440515272820239,B55,57.568108537237954,3.187862512972107,0.037637978154976534,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma195_complete_AB_external_fig74_body12_sub16_v1,total,1.95,10.828826342352627,A33,29.624752976567404,0.9212412538590583,0.01585070471306746,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma195_complete_AB_external_fig74_body12_sub16_v1,total,1.95,10.828826342352627,A35,-2.3465269746718342,-0.22946532682156087,0.02561145650649741,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma195_complete_AB_external_fig74_body12_sub16_v1,total,1.95,10.828826342352627,A53,-1.0656793781382754,-0.10421208425515584,0.01756034646044693,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma195_complete_AB_external_fig74_body12_sub16_v1,total,1.95,10.828826342352627,A55,1.5560840158864992,0.47851707758741646,0.03349275617909558,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma195_complete_AB_external_fig74_body12_sub16_v1,total,1.95,10.828826342352627,B33,391.15830206772023,2.190404961599024,0.01585070471306746,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma195_complete_AB_external_fig74_body12_sub16_v1,total,1.95,10.828826342352627,B35,-227.7550940096592,-4.010632248307661,0.02561145650649741,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma195_complete_AB_external_fig74_body12_sub16_v1,total,1.95,10.828826342352627,B53,41.717250024717686,0.7346160532099911,0.01756034646044693,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma195_complete_AB_external_fig74_body12_sub16_v1,total,1.95,10.828826342352627,B55,57.46766194372636,3.182300233123982,0.03349275617909558,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
