benchmark,variant,probe_row,source_row,hull,speed_case,motion_test,coefficient,omega_e_sqrt_l_over_g,reference_value,computed_value,raw_computed_value,gate_error_ratio,status,provider_route,provider_formulation,solver_status,matched_apply_local_time_phase,matched_local_time_phase_gradient_correction,candidate_default_gate_eligible,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,local_time_phase_only,10,3,wigley_iii,Fn0.4,forced_heave,A53,2.23,0.07,1.207018545168265,3.5715387526872155,54.143740246107846,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,11,3,wigley_iii,Fn0.4,forced_heave,A53,2.23,0.07,1.207018545168265,3.5715387526872155,54.143740246107846,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,True,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,default_no_local_time_phase,12,4,wigley_iii,Fn0.4,forced_pitch,A55,1.67,0.064,1.6647846450175874,4.926057597342103,166.74840052266535,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,False,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_only,13,4,wigley_iii,Fn0.4,forced_pitch,A55,1.67,0.064,1.3498480690462709,3.9941678677080197,133.94250719231988,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,14,4,wigley_iii,Fn0.4,forced_pitch,A55,1.67,0.064,1.3498480690462709,3.9941678677080197,133.94250719231988,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,True,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,default_no_local_time_phase,15,5,wigley_iii,Fn0.4,forced_pitch,A35,1.67,-0.182,1.297942590535729,3.8405808091501656,27.105175650837527,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,False,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_only,16,5,wigley_iii,Fn0.4,forced_pitch,A35,1.67,-0.182,0.961037709019893,2.8436873934524307,20.934756575455918,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,17,5,wigley_iii,Fn0.4,forced_pitch,A35,1.67,-0.182,0.961037709019893,2.8436873934524307,20.934756575455918,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,True,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,default_no_local_time_phase,18,6,wigley_iii,Fn0.4,forced_pitch,A55,2.23,0.0419,1.5591329747216114,4.613436854057991,241.4054056836295,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,False,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_only,19,6,wigley_iii,Fn0.4,forced_pitch,A55,2.23,0.0419,1.1281923691885425,3.338293999849989,172.83888133469253,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,20,6,wigley_iii,Fn0.4,forced_pitch,A55,2.23,0.0419,1.1281923691885425,3.338293999849989,172.83888133469253,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,True,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,default_no_local_time_phase,21,7,wigley_iii,Fn0.4,forced_pitch,A35,2.23,-0.1,1.2979425905357282,3.8405808091501643,46.59808635119094,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,False,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_only,22,7,wigley_iii,Fn0.4,forced_pitch,A35,2.23,-0.1,0.8789125387959964,2.60068099624352,32.63041795986655,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,23,7,wigley_iii,Fn0.4,forced_pitch,A35,2.23,-0.1,0.8789125387959964,2.60068099624352,32.63041795986655,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,True,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
