benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,mode_column,generalized_row,station_local_index,x_m,x_over_l,row_block_index,row_block_name,free_surface_panel_index,free_surface_panel_y_m,free_surface_panel_length_m,free_surface_potential_abs,free_surface_potential_phase_deg,matrix_column_norm,row_block_contribution_norm,row_block_free_rhs_norm,total_free_rhs_norm,row_block_to_total_free_rhs_norm_ratio,panel_to_row_block_free_rhs_norm_ratio,panel_to_total_free_rhs_norm_ratio,panel_to_row_block_real_alignment,panel_to_row_block_phase_deg,row_block_to_total_real_alignment,row_block_to_total_phase_deg,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,0,0.075,0.024999999999999998,2,eq23_inner_control,2,0.23794860937499998,0.44136759374999995,0.7744155288997434,92.85376680904452,1.017005466752051,0.7875848264287199,3.239961887583668,6.665030821349134,0.4861135641272002,0.24308459597840917,0.11816671933548495,0.8859393032609145,13.462796099209692,0.4861135641272001,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,0,0.075,0.024999999999999998,2,eq23_inner_control,3,0.679316203125,0.44136759374999995,0.7827720019876626,66.68091115495247,1.5688940496607566,1.2280863361594818,3.239961887583668,6.665030821349134,0.4861135641272002,0.37904345136460127,0.1842581631019214,0.7509476852341944,-10.26626120381026,0.4861135641272001,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,1,0.15,0.049999999999999996,0,eq23_body,0,-0.6832792499999999,0.4334415,0.7816226927468369,60.67150862194014,0.27298177070491336,0.21336874668917402,2.994668107898722,6.621834767309026,0.45224144261088106,0.07124954719569547,0.032221998009153374,0.9120143222408783,-23.587176738216098,0.45224144261088106,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,1,0.15,0.049999999999999996,0,eq23_body,1,-0.24983774999999997,0.4334414999999999,0.7941732520443722,88.02333766635228,1.6557464230758556,1.314949521374989,2.994668107898722,6.621834767309026,0.45224144261088106,0.4390969129122138,0.19857782134140398,0.9907138486107266,3.7315520233454635,0.45224144261088106,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,1,0.15,0.049999999999999996,0,eq23_body,2,0.24983775,0.4334415,0.7941732520443722,88.02333766635228,1.6557464230758554,1.314949521374989,2.994668107898722,6.621834767309026,0.45224144261088106,0.4390969129122138,0.19857782134140398,0.9907138486107266,3.731552023345462,0.45224144261088106,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,1,0.15,0.049999999999999996,0,eq23_body,3,0.68327925,0.4334414999999999,0.7816226927468375,60.671508621940106,0.27298177070491325,0.21336874668917408,2.994668107898722,6.621834767309026,0.45224144261088106,0.07124954719569548,0.03222199800915338,0.9120143222408779,-23.58717673821615,0.45224144261088106,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,1,0.15,0.049999999999999996,1,eq23_free_surface,0,-0.6832792499999999,0.4334415,0.7816226927468369,60.67150862194014,3.141592653589793,2.455540109412535,4.950665977999598,6.621834767309026,0.7476275310341886,0.4960019763653573,0.3708247329781101,0.4960019763653574,0.0,0.7476275310341886,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,1,0.15,0.049999999999999996,1,eq23_free_surface,1,-0.24983774999999997,0.4334414999999999,0.7941732520443722,88.02333766635228,3.141592653589793,2.4949688543001147,4.950665977999598,6.621834767309026,0.7476275310341886,0.503966307843748,0.3767790864576371,0.503966307843748,0.0,0.7476275310341886,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,1,0.15,0.049999999999999996,1,eq23_free_surface,2,0.24983775,0.4334415,0.7941732520443722,88.02333766635228,3.141592653589793,2.4949688543001147,4.950665977999598,6.621834767309026,0.7476275310341886,0.503966307843748,0.3767790864576371,0.503966307843748,0.0,0.7476275310341886,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,1,0.15,0.049999999999999996,1,eq23_free_surface,3,0.68327925,0.4334414999999999,0.7816226927468375,60.671508621940106,3.141592653589793,2.455540109412537,4.950665977999598,6.621834767309026,0.7476275310341886,0.4960019763653577,0.3708247329781103,0.4960019763653577,0.0,0.7476275310341886,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,1,0.15,0.049999999999999996,2,eq23_inner_control,0,-0.6832792499999999,0.4334415,0.7816226927468369,60.67150862194014,1.5569906272861767,1.2169792066810083,3.220491419543632,6.621834767309026,0.4863442735603582,0.3778861819956234,0.18378278067115877,0.7466017696933801,-10.832064557311568,0.4863442735603582,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,1,0.15,0.049999999999999996,2,eq23_inner_control,1,-0.24983774999999997,0.4334414999999999,0.7941732520443722,88.02333766635228,1.0026084904537946,0.796244845390989,3.220491419543632,6.621834767309026,0.4863442735603582,0.24724327491107648,0.12024535092931142,0.8811948792449527,13.916272195682554,0.4863442735603582,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,1,0.15,0.049999999999999996,2,eq23_inner_control,2,0.24983775,0.4334415,0.7941732520443722,88.02333766635228,1.0026084904537946,0.796244845390989,3.220491419543632,6.621834767309026,0.4863442735603582,0.24724327491107648,0.12024535092931142,0.8811948792449527,13.91627219568256,0.4863442735603582,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,1,0.15,0.049999999999999996,2,eq23_inner_control,3,0.68327925,0.4334414999999999,0.7816226927468375,60.671508621940106,1.5569906272861769,1.216979206681009,3.220491419543632,6.621834767309026,0.4863442735603582,0.37788618199562357,0.18378278067115886,0.7466017696933804,-10.832064557311593,0.4863442735603582,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,0,-0.679316203125,0.44136759374999995,0.8294124423446774,84.23612402014761,0.2791702747785683,0.23154729943412705,3.2695965796717044,6.952556193449732,0.4702725858946837,0.07081830855639579,0.03330390909350385,0.8909210240125871,-26.51900102328048,0.4702725858946837,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,1,-0.23794860937499998,0.44136759374999995,0.8023808614033204,114.91499206224312,1.7889726392197924,1.435437407284149,3.2695965796717044,6.952556193449732,0.4702725858946837,0.43902584686098467,0.20646182027791868,0.9951725693281123,4.121598884356019,0.4702725858946837,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,2,0.23794860937499998,0.44136759374999995,0.8023808614033204,114.91499206224312,1.7889726392197924,1.4354374072841485,3.2695965796717044,6.952556193449732,0.4702725858946837,0.4390258468609845,0.2064618202779186,0.9951725693281125,4.121598884356032,0.4702725858946837,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,3,0.679316203125,0.44136759374999995,0.8294124423446774,84.23612402014757,0.2791702747785683,0.23154729943412705,3.2695965796717044,6.952556193449732,0.4702725858946837,0.07081830855639579,0.03330390909350385,0.8909210240125869,-26.519001023280524,0.4702725858946837,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,0,0.075,0.024999999999999998,1,eq23_free_surface,0,-0.679316203125,0.44136759374999995,0.8294124423446774,84.23612402014761,3.141592653589793,2.6056760356660065,5.127133199303348,6.952556193449732,0.7374457762935904,0.5082130567663142,0.37477957216957314,0.5082130567663142,0.0,0.7374457762935903,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,0,0.075,0.024999999999999998,1,eq23_free_surface,1,-0.23794860937499998,0.44136759374999995,0.8023808614033204,114.91499206224312,3.141592653589793,2.5207538195657215,5.127133199303348,6.952556193449732,0.7374457762935904,0.491649762465354,0.36256504074582235,0.49164976246535413,0.0,0.7374457762935903,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,0,0.075,0.024999999999999998,1,eq23_free_surface,2,0.23794860937499998,0.44136759374999995,0.8023808614033204,114.91499206224312,3.141592653589793,2.5207538195657215,5.127133199303348,6.952556193449732,0.7374457762935904,0.491649762465354,0.36256504074582235,0.4916497624653541,0.0,0.7374457762935903,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
