benchmark,matrix_cell,candidate_name,station_index,x_m,x_over_l,trapz_weight_m,candidate_transport_force_density_real,candidate_transport_force_density_imag,direct_pressure_gradient_force_density_real,direct_pressure_gradient_force_density_imag,stokes_body_forward_force_density_real,stokes_body_forward_force_density_imag,direct_minus_candidate_force_density_real,direct_minus_candidate_force_density_imag,candidate_minus_stokes_force_density_real,candidate_minus_stokes_force_density_imag,candidate_transport_station_force_real,candidate_transport_station_force_imag,direct_minus_candidate_station_force_real,direct_minus_candidate_station_force_imag,candidate_minus_stokes_station_force_real,candidate_minus_stokes_station_force_imag,station_abs_direct_candidate_residual_share,station_abs_candidate_stokes_residual_share,diagnostic_flags,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,30,2.3249999999999997,0.7749999999999999,0.07499999999999996,-23.385083146705778,54.30418498863587,3.171729648175175,-119.69507701908017,83.29020548977444,-202.5902750805616,26.556812794880955,-173.99926200771603,-106.67528863648022,256.89446006919746,-1.7538812360029323,4.072813874147688,1.9917609596160704,-13.049944650578695,-8.000646647736012,19.2670845051898,0.028136314278312993,0.032751160120987576,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,31,2.4,0.7999999999999999,0.07500000000000018,-3.6888986963480024,6.629778572072474,32.50502540411156,-149.014845019944,75.76981830755393,-177.1830495255909,36.19392410045956,-155.64462359201647,-79.45871700390194,183.81282809766336,-0.2766674022261008,0.4972333929054367,2.7145443075344735,-11.673346769401263,-5.959403775292659,13.785962107324785,0.02554403417216315,0.02357788520064866,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,32,2.475,0.8250000000000001,0.07499999999999996,17.22709681840694,-40.767015850733216,59.78537699217889,-173.86994210697748,65.60572490183117,-149.91178040283575,42.55828017377195,-133.10292625624425,-48.378628083424225,109.14476455210253,1.29203226138052,-3.0575261888049896,3.1918710130328942,-9.982719469218312,-3.6283971062568146,8.185857341407685,0.022337976559571645,0.014056665931391292,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,33,2.55,0.85,0.07499999999999996,37.19089058032828,-85.22336842458276,81.66722663391485,-193.31972799587416,53.62512395305245,-121.63600629381361,44.47633605358657,-108.0963595712914,-16.434233372724172,36.41263786923085,2.7893167935246193,-6.391752631843703,3.335725204018991,-8.10722696784685,-1.2325675029543122,2.730947840192312,0.018684950617809067,0.004703700605463319,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,34,2.625,0.875,0.07499999999999996,53.74559059313263,-123.28614062807337,95.32306152822203,-206.19380771695043,40.80056411270247,-93.2546311609173,41.577470935089394,-82.90766708887706,12.945026480430165,-30.03150946715607,4.030919294484945,-9.246460547105498,3.1183103201317026,-6.218075031665776,0.9708769860322618,-2.252363210036704,0.014826151385647733,0.0038504495560974265,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,35,2.6999999999999997,0.8999999999999999,0.07499999999999996,64.23504790721906,-150.1745651543748,98.80191850769796,-210.36057773100745,28.175712107945632,-65.79551675809745,34.56687060047891,-60.18601257663266,36.05933579927343,-84.37904839627734,4.817628593041427,-11.263092386578103,2.5925152950359167,-4.513950943247447,2.7044501849455056,-6.328428629720797,0.0110947593882541,0.010804053023724716,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,36,2.775,0.9249999999999999,0.07500000000000018,65.84041913140896,-159.03263272366618,91.17443672362069,-201.69926877447668,16.797426045570692,-40.56179033189395,25.334017592211723,-42.666636050810496,49.042993085838276,-118.47084239177224,4.938031434855684,-11.927447454274992,1.9000513194158837,-3.1999977038107947,3.6782244814378795,-8.885313179382939,0.007932058133438377,0.015096850034527532,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,37,2.85,0.9500000000000001,0.07499999999999996,55.58139981125555,-140.1224736304465,72.11669679681563,-171.90890698097294,7.672010568190849,-19.34073713026624,16.53529698556008,-31.786433350526437,47.9093892430647,-120.78173650018027,4.168604985844164,-10.509185522283481,1.2401472739170052,-2.3839825012894815,3.5932041932298504,-9.058630237513515,0.005727525163318508,0.01529888632533027,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,38,2.925,0.975,0.03749999999999987,30.399137513232557,-80.50071602722898,46.42790409463898,-110.4918994083777,1.776510075312666,-4.704420743187354,16.028766581406426,-29.99118338114873,28.622627437919892,-75.79629528404162,1.139967656746217,-3.0187768510210757,0.6010787468027389,-1.1246693767930733,1.0733485289219922,-2.8423610731515505,0.0027179537605932897,0.004769725735471493,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,mapped_fixed_y_central,0,0.075,0.024999999999999998,0.0375,610.519873638934,-199.719623743281,80.34957463320589,90.46965317687737,17.216200607441554,-5.109827285865936,-530.1702990057281,290.18927692015836,593.3036730314924,-194.60979645741506,22.894495261460023,-7.489485890373038,-19.881386212714805,10.882097884505939,22.248887738680963,-7.2978673671530645,0.042795000034093256,0.03268458290725597,near_aft_startup_region,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,mapped_fixed_y_central,1,0.15,0.049999999999999996,0.07499999999999998,540.3906319878288,-25.154119583901767,63.063261501515875,176.34155061706065,38.881812813954184,-0.25491855412020537,-477.32737048631293,201.49567020096242,501.5088191738746,-24.899201029781562,40.52929739908715,-1.886558968792632,-35.79955278647346,15.112175265072178,37.613161438040585,-1.8674400772336168,0.07337178602314577,0.05256775220088208,peak_abs_direct_candidate_residual;near_aft_startup_region,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,mapped_fixed_y_central,2,0.22499999999999998,0.075,0.075,471.33341099504185,75.50042056946455,4.604063430991469,213.7639863149936,57.81415963426016,13.213700713692145,-466.7293475640504,138.26356574552904,413.5192513607817,62.286719855772404,35.350005824628134,5.662531542709841,-35.00470106730378,10.369767430914678,31.013943852058627,4.67150398918293,0.06893425950693194,0.043779780110210664,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
