case,omega_e_rad_s,x_m,lever_forward_m,component,transom_weight,F3_density_real,F3_density_imag,M5_density_real,M5_density_imag
fn167,8.6966,1.7902623815836317e-05,-0.6969820973761841,diffraction,0.0,-1371.1944152598608,316.5129966916261,955.6979594583281,-220.6038922809508
fn167,8.6966,0.1278912295049587,-0.5691087704950413,diffraction,0.0,-1318.3692141270533,120.31638428648503,750.295482510361,-68.4731095316904
fn167,8.6966,0.25576455638610157,-0.4412354436138984,diffraction,1.0,-1276.6468635184392,-45.88518594728379,563.3018451628504,20.246170376755984
fn167,8.6966,0.38363788326724446,-0.3133621167327555,diffraction,1.0,-1232.0678854732007,-216.3609437162833,386.0834005503324,67.79932330123111
fn167,8.6966,0.5115112101483873,-0.18548878985161266,diffraction,1.0,-1167.9645027534239,-407.29594705705756,216.64432220537313,75.54883233108009
fn167,8.6966,0.6393845370295301,-0.05761546297046982,diffraction,1.0,-1056.0475510808778,-619.4826010308539,60.844668574355666,35.691776860543484
fn167,8.6966,0.7672578639106731,0.07025786391067312,diffraction,1.0,-868.0924025649034,-832.2187356135257,-60.990317881294246,-58.46991067064755
fn167,8.6966,0.8951311907918159,0.19813119079181596,diffraction,1.0,-590.052513570552,-1005.5016006287963,-116.90780714343761,-199.22122947566035
fn167,8.6966,1.0230045176729587,0.3260045176729588,diffraction,1.0,-232.96764932657197,-1090.8559319767419,-75.94850615211209,-355.62396195476373
fn167,8.6966,1.1508778445541017,0.45387784455410174,diffraction,1.0,-160.65696233356613,-1242.4133630352758,-72.91863577656851,-563.9038992596638
fn167,8.6966,1.2787511714352444,0.5817511714352445,diffraction,1.0,-197.29508729608278,-1301.8163613004199,-114.77664815291496,-757.3331931800867
fn167,8.6966,1.4066244983163874,0.7096244983163874,diffraction,1.0,-88.2175213682398,-1022.267405160029,-62.60131434365235,-725.4259945318806
fn167,8.6966,1.5344978251975303,0.8374978251975304,diffraction,1.0,-12.144384559512202,-673.4680780212116,-10.170895656953935,-564.0280506827254
fn167,8.6966,1.662371152078673,0.9653711520786731,diffraction,1.0,-13.11640574083985,-415.7696872074028,-12.662199721165887,-401.37206193879996
fn167,8.6966,1.7902444789598158,1.0932444789598157,diffraction,1.0,0.04573839457917423,-0.783815112501318,0.05000324735016779,-0.8569015442673327
fn167,8.6966,1.7902623815836317e-05,-0.6969820973761841,total,0.0,-4734.909709069705,-1796.1595849530554,3300.1472999142607,1251.8910747429172
fn167,8.6966,0.1278912295049587,-0.5691087704950413,total,0.0,-4235.260705881334,-2575.9235976837663,2410.3240130500863,1465.9807115669716
fn167,8.6966,0.25576455638610157,-0.4412354436138984,total,1.0,-3646.8466840905453,-3233.3793154482955,1609.118014446566,1426.6815566238315
fn167,8.6966,0.38363788326724446,-0.3133621167327555,total,1.0,-2974.425671144099,-3785.976519903088,932.0723243739618,1186.3816161773432
fn167,8.6966,0.5115112101483873,-0.18548878985161266,total,1.0,-2222.825802953731,-4236.817281686644,412.3092682408268,785.8821104024547
fn167,8.6966,0.6393845370295301,-0.05761546297046982,total,1.0,-1387.2962639353836,-4577.7954114686145,79.92971652384024,263.75180201585664
fn167,8.6966,0.7672578639106731,0.07025786391067312,total,1.0,-464.38730979475525,-4783.799205895625,-32.626860413403506,-336.09951358380096
fn167,8.6966,0.8951311907918159,0.19813119079181596,total,1.0,534.784421448345,-4815.0564151262515,105.95747423847295,-954.0128612587368
fn167,8.6966,1.0230045176729587,0.3260045176729588,total,1.0,1574.4892161566265,-4627.954417241339,513.290597494416,-1508.7340476052016
fn167,8.6966,1.1508778445541017,0.45387784455410174,total,1.0,2267.536535519253,-4385.953143605699,1029.1845951891542,-1990.6869591350414
fn167,8.6966,1.2787511714352444,0.5817511714352445,total,1.0,2345.959886270986,-3567.711319212009,1364.7649119782388,-2075.5202392943675
fn167,8.6966,1.4066244983163874,0.7096244983163874,total,1.0,2121.0276162395317,-2354.040423727838,1505.1331580891808,-1670.484754704363
fn167,8.6966,1.5344978251975303,0.8374978251975304,total,1.0,1614.8469633177233,-1280.6573866309427,1352.4308198054293,-1072.5477761265672
fn167,8.6966,1.662371152078673,0.9653711520786731,total,1.0,850.8430303280554,-565.7558219747395,821.3793164259042,-546.1643496549709
fn167,8.6966,1.7902444789598158,1.0932444789598157,total,1.0,1.2159936728029157,-0.7681217027923564,1.3293783692418564,-0.8397448107469561
fn226,10.4354,1.5857312361404375e-05,-0.6969841426876385,incident,0.0,-3363.697517648637,-2112.7049959404585,2344.4438305988733,1472.5218803474515
fn226,10.4354,0.11328010884919816,-0.5837198911508018,incident,0.0,-2973.2949428567717,-2633.9135469657554,1735.571400403584,1537.467728935473
fn226,10.4354,0.2265443603860349,-0.4704556396139651,incident,1.0,-2502.9776755446605,-3084.3291241098814,1177.5399632878389,1451.040030863095
fn226,10.4354,0.3398086119228717,-0.35719138807712825,incident,1.0,-1965.3866613724404,-3451.8456891070136,702.0191896838948,1232.9695531201853
fn226,10.4354,0.45307286345970843,-0.24392713654029152,incident,1.0,-1374.9709951742554,-3726.585320710757,335.3927376788111,909.015286354059
fn226,10.4354,0.5663371149965452,-0.1306628850034548,incident,1.0,-747.5995656174473,-3901.163708381896,97.68351607090527,509.7373050079549
fn226,10.4354,0.679601366533382,-0.017398633466617963,incident,1.0,-100.13453937319247,-3970.8886239898366,1.7422041479028008,69.08803570556213
fn226,10.4354,0.7928656180702187,0.09586561807021876,incident,1.0,550.0218515282714,-3933.886037107429,52.72818474888384,-377.1244163651072
fn226,10.4354,0.9061298696070554,0.20912986960705549,incident,1.0,1185.3950379414293,-3791.1504842371023,247.90150971754173,-792.8428064292306
fn226,10.4354,1.0193941211438922,0.3223941211438922,incident,1.0,1773.5851118784244,-3516.1410624378104,571.7934134179364,-1133.5832076425895
fn226,10.4354,1.1326583726807289,0.43565837268072893,incident,1.0,1876.2480981391614,-2566.314181943324,817.4031931806196,-1118.036260292905
fn226,10.4354,1.2459226242175656,0.5489226242175657,incident,1.0,1718.2388770411317,-1684.1171189129195,943.1801934180612,-924.4499884034059
fn226,10.4354,1.3591868757544026,0.6621868757544026,incident,1.0,1325.537686725593,-928.8958200117654,877.7536594675386,-615.1026209549149
fn226,10.4354,1.4724511272912393,0.7754511272912393,incident,1.0,736.465860625716,-353.13602411684474,571.0932818337243,-273.8397279885535
fn226,10.4354,1.585715378828076,0.888715378828076,incident,1.0,0.995420473275723,-0.2894589137525769,0.8846454830004571,-0.2572465881907848
fn226,10.4354,1.5857312361404375e-05,-0.6969841426876385,diffraction,0.0,-1126.6911041192138,519.3205623848501,785.285833278319,-361.95819695386695
fn226,10.4354,0.11328010884919816,-0.5837198911508018,diffraction,0.0,-1190.2788475062384,315.75922691672747,694.7894393054434,-184.31494156569352
fn226,10.4354,0.2265443603860349,-0.4704556396139651,diffraction,1.0,-1221.3203270914578,95.93580594475517,574.5770356553487,-45.13354094762103
fn226,10.4354,0.3398086119228717,-0.35719138807712825,diffraction,1.0,-1204.5896915440928,-145.82199095686403,430.2690639860343,52.08635936205271
fn226,10.4354,0.45307286345970843,-0.24392713654029152,diffraction,1.0,-1127.048080658065,-396.10062648953283,274.9176110581533,96.61969160140727
fn226,10.4354,0.5663371149965452,-0.1306628850034548,diffraction,1.0,-980.8099482582232,-635.1681588919912,128.15545747950867,82.99290410316034
fn226,10.4354,0.679601366533382,-0.017398633466617963,diffraction,1.0,-765.8909920787667,-839.397570205738,13.325456646562861,14.604370656779356
fn226,10.4354,0.7928656180702187,0.09586561807021876,diffraction,1.0,-491.72666698194047,-984.8006591594919,-47.13968085183235,-94.40852386628352
fn226,10.4354,0.9061298696070554,0.20912986960705549,diffraction,1.0,-211.4307308682976,-1058.9085479937407,-44.21648117741152,-221.44940656772746
fn226,10.4354,1.0193941211438922,0.3223941211438922,diffraction,1.0,-637.0956257016826,-1331.5924195903012,-205.3958843327121,-429.29756783568416
fn226,10.4354,1.1326583726807289,0.43565837268072893,diffraction,1.0,-819.3269465391721,-1426.6818548686083,-356.94664422272626,-621.5458952251818
fn226,10.4354,1.2459226242175656,0.5489226242175657,diffraction,1.0,-521.8820837796582,-1111.2669590932655,-286.47288296046145,-609.9995753917497
fn226,10.4354,1.3591868757544026,0.6621868757544026,diffraction,1.0,-310.85644825808015,-791.7475803889284,-205.84506028012822,-524.2848566438522
fn226,10.4354,1.4724511272912393,0.7754511272912393,diffraction,1.0,-193.25687134693487,-522.2745802703571,-149.86125874275865,-404.99841202620735
fn226,10.4354,1.585715378828076,0.888715378828076,diffraction,1.0,-0.2537050944401923,-0.9789917417753158,-0.22547161911602834,-0.8700450166614078
fn226,10.4354,1.5857312361404375e-05,-0.6969841426876385,total,0.0,-4490.388621767851,-1593.3844335556084,3129.7296638771923,1110.5636833935846
fn226,10.4354,0.11328010884919816,-0.5837198911508018,total,0.0,-4163.573790363011,-2318.154320049028,2430.3608397090275,1353.1527873697794
fn226,10.4354,0.2265443603860349,-0.4704556396139651,total,1.0,-3724.2980026361183,-2988.3933181651264,1752.1169989431876,1405.906489915474
fn226,10.4354,0.3398086119228717,-0.35719138807712825,total,1.0,-3169.976352916533,-3597.6676800638775,1132.288253669929,1285.055912482238
fn226,10.4354,0.45307286345970843,-0.24392713654029152,total,1.0,-2502.0190758323206,-4122.68594720029,610.3103487369644,1005.6349779554662
fn226,10.4354,0.5663371149965452,-0.1306628850034548,total,1.0,-1728.4095138756707,-4536.331867273887,225.83897355041393,592.7302091111152
fn226,10.4354,0.679601366533382,-0.017398633466617963,total,1.0,-866.0255314519591,-4810.286194195574,15.067660794465661,83.69240636234149
fn226,10.4354,0.7928656180702187,0.09586561807021876,total,1.0,58.29518454633097,-4918.686696266921,5.588503897051488,-471.53294023139074
fn226,10.4354,0.9061298696070554,0.20912986960705549,total,1.0,973.9643070731317,-4850.0590322308435,203.68502854013022,-1014.292212996958
fn226,10.4354,1.0193941211438922,0.3223941211438922,total,1.0,1136.4894861767418,-4847.733482028112,366.3975290852244,-1562.8807754782738
fn226,10.4354,1.1326583726807289,0.43565837268072893,total,1.0,1056.9211515999891,-3992.9960368119323,460.45654895789335,-1739.5821555180867
fn226,10.4354,1.2459226242175656,0.5489226242175657,total,1.0,1196.3567932614735,-2795.384078006185,656.7073104575998,-1534.4495637951554
fn226,10.4354,1.3591868757544026,0.6621868757544026,total,1.0,1014.6812384675128,-1720.6434004006937,671.9085991874103,-1139.387477598767
fn226,10.4354,1.4724511272912393,0.7754511272912393,total,1.0,543.2089892787811,-875.4106043872018,421.23202309096564,-678.8381400147608
fn226,10.4354,1.585715378828076,0.888715378828076,total,1.0,0.7417153788355307,-1.2684506555278927,0.6591738638844288,-1.1272916048521926
fn282,12.10175,1.4563822514041217e-05,-0.6969854361774859,incident,0.0,-3363.686119117972,-2112.7257710042986,2344.4402368975943,1472.5390930268463
fn282,12.10175,0.10403978694816358,-0.5929602130518363,incident,0.0,-3008.2788757462336,-2593.8875644776144,1783.7896830818252,1538.072122865155
fn282,12.10175,0.20806501007381314,-0.4889349899261868,incident,0.0,-2584.6465243465223,-3016.2222788773506,1263.7241223441204,1474.7366095380376
fn282,12.10175,0.31209023319946266,-0.3849097668005373,incident,1.0,-2102.3966725018345,-3370.1517358816127,809.2330129349067,1297.2043187406175
fn282,12.10175,0.4161154563251122,-0.28088454367488774,incident,1.0,-1572.466320935023,-3647.6491279915767,441.6814849999635,1024.568260802016
fn282,12.10175,0.5201406794507618,-0.17685932054923814,incident,1.0,-1006.8738219918214,-3842.421059436383,178.07502003628807,679.5679778360026
fn282,12.10175,0.6241659025764114,-0.0728340974235886,incident,1.0,-418.44631402410266,-3950.0502748309764,30.47715960217304,287.69834654511226
fn282,12.10175,0.7281911257020609,0.03119112570206095,incident,1.0,179.47118677917717,-3968.095838626974,5.597908346727374,-123.7693761004389
fn282,12.10175,0.8322163488277105,0.1352163488277105,incident,1.0,773.3184395729933,-3896.1484933750953,104.56529588020261,-526.8229737647656
fn282,12.10175,0.93624157195336,0.23924157195336004,incident,1.0,1190.8838800520293,-3296.4292156559823,284.9089314775641,-788.6429073865188
fn282,12.10175,1.0402667950790094,0.3432667950790095,incident,1.0,1348.661020564246,-2483.9569732149475,462.95054617707467,-852.6599493096521
fn282,12.10175,1.144292018204659,0.447292018204659,incident,1.0,1290.0935685051581,-1703.5607502578705,577.0485559295228,-761.989126117086
fn282,12.10175,1.2483172413303085,0.5513172413303086,incident,1.0,1029.1144189711272,-1001.7122388358089,567.3685224804052,-552.2612281217653
fn282,12.10175,1.352342464455958,0.6553424644559581,incident,1.0,588.6986359405606,-421.31556762915426,385.7992148991479,-276.10598240375083
fn282,12.10175,1.4563676875816076,0.7593676875816077,incident,1.0,0.8486710143704032,-0.43155381825448713,0.6444533456999904,-0.32770802503492324
fn282,12.10175,1.4563822514041217e-05,-0.6969854361774859,diffraction,0.0,-1131.4030719922957,442.65821045180417,788.5714636250977,-308.52632588929606
fn282,12.10175,0.10403978694816358,-0.5929602130518363,diffraction,0.0,-1180.1728029345802,210.24434318373324,699.7955166660716,-124.66653052716985
fn282,12.10175,0.20806501007381314,-0.4889349899261868,diffraction,0.0,-1180.5690953068643,-29.8743215021779,577.221538721029,14.606601082719013
fn282,12.10175,0.31209023319946266,-0.3849097668005373,diffraction,1.0,-1126.8491421014837,-272.8207710393492,433.73524050566766,105.01137935909868
fn282,12.10175,0.4161154563251122,-0.28088454367488774,diffraction,1.0,-1016.6854056704244,-504.47396014551936,285.5712162326553,141.6989380913377
fn282,12.10175,0.5201406794507618,-0.17685932054923814,diffraction,1.0,-851.9997707573341,-709.7399195330357,150.68410056424878,125.52411993528365
fn282,12.10175,0.6241659025764114,-0.0728340974235886,diffraction,1.0,-639.2624997276149,-873.9638103720447,46.56010718440788,63.6543653093282
fn282,12.10175,0.7281911257020609,0.03119112570206095,diffraction,1.0,-389.2963260249314,-984.4077658742834,-12.142590640394136,-30.704786367469758
fn282,12.10175,0.8322163488277105,0.1352163488277105,diffraction,1.0,-794.5266495857429,-1122.5146167362122,-107.43299260329793,-151.78232798080745
fn282,12.10175,0.93624157195336,0.23924157195336004,diffraction,1.0,-1320.949588496419,-1309.5505000424546,-316.0260560230274,-313.2989201824655
fn282,12.10175,1.0402667950790094,0.3432667950790095,diffraction,1.0,-1133.8129971510734,-1234.3425570656,-389.20035375097507,-423.70881359353785
fn282,12.10175,1.144292018204659,0.447292018204659,diffraction,1.0,-787.4346401281773,-1010.1552133992834,-352.21322938719186,-451.83436410132356
fn282,12.10175,1.2483172413303085,0.5513172413303086,diffraction,1.0,-509.8653526486783,-756.9195918482594,-281.09755967217427,-417.30282128664555
fn282,12.10175,1.352342464455958,0.6553424644559581,diffraction,1.0,-322.181545099983,-522.1742305542467,-211.1392477680513,-342.20294712681374
fn282,12.10175,1.4563676875816076,0.7593676875816077,diffraction,1.0,-0.5042496378661052,-1.0473111738314682,-0.38291088147024743,-0.7952942642507812
fn282,12.10175,1.4563822514041217e-05,-0.6969854361774859,total,0.0,-4495.089191110268,-1670.0675605524943,3133.011700522692,1164.0127671375503
fn282,12.10175,0.10403978694816358,-0.5929602130518363,total,0.0,-4188.4516786808135,-2383.643221293881,2483.5851997478967,1413.4055923379851
fn282,12.10175,0.20806501007381314,-0.4889349899261868,total,0.0,-3765.2156196533865,-3046.0966003795284,1840.9456610651494,1489.3432106207565
fn282,12.10175,0.31209023319946266,-0.3849097668005373,total,1.0,-3229.245814603318,-3642.9725069209617,1242.9682534405742,1402.2156980997163
fn282,12.10175,0.4161154563251122,-0.28088454367488774,total,1.0,-2589.1517266054475,-4152.123088137096,727.2527012326188,1166.267198893354
fn282,12.10175,0.5201406794507618,-0.17685932054923814,total,1.0,-1858.8735927491555,-4552.1609789694185,328.75912060053685,805.0920977712863
fn282,12.10175,0.6241659025764114,-0.0728340974235886,total,1.0,-1057.7088137517176,-4824.014085203021,77.03726678658091,351.3527118544405
fn282,12.10175,0.7281911257020609,0.03119112570206095,total,1.0,-209.8251392457542,-4952.5036045012575,-6.544682293666762,-154.47416246790866
fn282,12.10175,0.8322163488277105,0.1352163488277105,total,1.0,-21.208210012749646,-5018.663110111307,-2.867696723095321,-678.6053017455731
fn282,12.10175,0.93624157195336,0.23924157195336004,total,1.0,-130.06570844438966,-4605.979715698437,-31.117124545463298,-1101.9418275689843
fn282,12.10175,1.0402667950790094,0.3432667950790095,total,1.0,214.84802341317254,-3718.2995302805475,73.7501924260996,-1276.36876290319
fn282,12.10175,1.144292018204659,0.447292018204659,total,1.0,502.65892837698084,-2713.715963657154,224.8353265423309,-1213.8234902184095
fn282,12.10175,1.2483172413303085,0.5513172413303086,total,1.0,519.2490663224489,-1758.6318306840683,286.27096280823093,-969.5640494084108
fn282,12.10175,1.352342464455958,0.6553424644559581,total,1.0,266.5170908405776,-943.489798183401,174.6599671310966,-618.3089295305646
fn282,12.10175,1.4563676875816076,0.7593676875816077,total,1.0,0.34442137650429794,-1.4788649920859553,0.2615424642297429,-1.1230022892857043
