case,x,panel,chain_real,chain_imag,pressure_delta_real,pressure_delta_imag
fn167,0.04264234491753012,59,-1.1946955775832856e-15,-2.229102038742073e-15,4.061964963783171e-12,7.578946931723048e-12
fn167,0.06395456606438725,0,1.0051446944946586e-15,2.341654679841257e-15,-3.4174919612818394e-12,-7.961625911460275e-12
fn167,0.06395456606438725,1,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,2,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,3,1.4825756305181492e-16,1.4095678639323167e-15,-5.040757143761707e-13,-4.792530737369877e-12
fn167,0.06395456606438725,4,1.242076260694357e-16,1.2965702488979272e-15,-4.2230592863608136e-13,-4.4083388462529525e-12
fn167,0.06395456606438725,5,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,6,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,7,-5.5107922334845414e-17,4.332222146038913e-16,1.8736693593847441e-13,-1.4729555296532305e-12
fn167,0.06395456606438725,8,-8.679246057451076e-17,3.7558073484932224e-16,2.950943659533366e-13,-1.2769744984876957e-12
fn167,0.06395456606438725,9,-2.7341638294436976e-16,1.8686683201404627e-16,9.296157020108573e-13,-6.353472288477574e-13
fn167,0.06395456606438725,10,-1.4445264423617833e-16,2.731781980102421e-16,4.911389904030063e-13,-9.288058732348232e-13
fn167,0.06395456606438725,11,-1.7126497437726875e-16,2.2690165629049395e-16,5.823009128827138e-13,-7.714656313876795e-13
fn167,0.06395456606438725,12,-3.049970878425759e-16,-2.5858755286634604e-16,1.036990098664758e-12,8.791976797455766e-13
fn167,0.06395456606438725,13,-2.2217963848944127e-16,1.4158864382789133e-16,7.554107708641003e-13,-4.814013890148306e-13
fn167,0.06395456606438725,14,-2.993228120260891e-16,-2.5098370059346116e-16,1.0176975608887029e-12,8.533445820177679e-13
fn167,0.06395456606438725,15,-2.7063432254074623e-16,6.34996086418251e-17,9.201566966385372e-13,-2.1589866938220533e-13
fn167,0.06395456606438725,16,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,17,-2.910813158228413e-16,-2.403976248176245e-16,9.896764737976603e-13,8.173519243799233e-13
fn167,0.06395456606438725,18,-1.7043974661688243e-16,-2.2404238963274135e-17,5.794951384974003e-13,7.617441247513205e-14
