iteration,residual_mode,shape_mode,value,finite_difference_step,root_defect_derivative,source_signed_root_defect,jacobian_condition_number
1,0,112,-2.7946451249112565,0.0003938931015598445,-0.4685395667451604,8.844320349065687e-06,2373.9994080662364
1,0,113,-2.67654668092269,0.00040887058585753456,-0.42216714730318633,8.844320349065687e-06,2373.9994080662364
1,0,114,-2.558969332936345,0.0004262467141863248,-0.37489394115744024,8.844320349065687e-06,2373.9994080662364
1,0,115,-2.4416977347145132,0.0004463618817428193,-0.32780516529550424,8.844320349065687e-06,2373.9994080662364
1,0,116,-2.3253358800573363,0.0004696407442242492,-0.2801583179843968,8.844320349065687e-06,2373.9994080662364
1,0,117,-2.2107166079062113,0.0004730000133196044,-0.23578704524144173,8.844320349065687e-06,2373.9994080662364
1,0,118,-2.0977260830132622,0.00047363904254535074,-0.19194360347842226,8.844320349065687e-06,2373.9994080662364
1,0,119,-1.9858737579361445,0.00047759228355135995,-0.1490788223522254,8.844320349065687e-06,2373.9994080662364
1,0,120,-1.8757254288442682,0.0004848705140840349,-0.10658768223207062,8.844320349065687e-06,2373.9994080662364
1,0,121,-1.7670558304497557,0.0004955915992763183,-0.06557884811391783,8.844320349065687e-06,2373.9994080662364
1,0,122,-1.660388495267317,0.0005099841096355337,-0.02546896371623757,8.844320349065687e-06,2373.9994080662364
1,0,123,-1.5555027481200756,0.0005283993556688288,0.012743295789132697,8.844320349065687e-06,2373.9994080662364
1,0,124,-1.4528716984047039,0.0005513330804531483,0.04962134129290207,8.844320349065687e-06,2373.9994080662364
1,0,125,-1.3529735772556182,0.0005667678380285688,0.0831365370681583,8.844320349065687e-06,2373.9994080662364
1,0,126,-1.2564116180329175,0.00057294674507175,0.11377130216917214,8.844320349065687e-06,2373.9994080662364
1,0,127,-1.1624684748266412,0.000580051947105311,0.14170187831380046,8.844320349065687e-06,2373.9994080662364
1,1,0,-0.030890933335428035,0.00021051142488465708,0.4185369045061323,8.844320349065687e-06,2373.9994080662364
1,1,1,-0.04201679723408016,0.00014888948545246678,0.5761715157292607,8.844320349065687e-06,2373.9994080662364
1,1,2,-0.037074524966717766,0.00014899584721494012,0.5300305657686495,8.844320349065687e-06,2373.9994080662364
1,1,3,-0.029071856008427797,0.0001491733623860317,0.45686725942097006,8.844320349065687e-06,2373.9994080662364
1,1,4,-0.01832304971374142,0.00014942240054971936,0.3617347936800435,8.844320349065687e-06,2373.9994080662364
1,1,5,-0.0051915945802894405,0.00014974348160171102,0.25043342327406143,8.844320349065687e-06,2373.9994080662364
1,1,6,0.009938277272344614,0.00015013727825362763,0.12903222627807506,8.844320349065687e-06,2373.9994080662364
1,1,7,0.026680867552402423,0.00015060461929027678,0.003510879495049998,8.844320349065687e-06,2373.9994080662364
1,1,8,0.04466077641743455,0.0001511464936089582,-0.12042814410895701,8.844320349065687e-06,2373.9994080662364
1,1,9,0.06352877545530525,0.00015176405507698768,-0.23765101864548857,8.844320349065687e-06,2373.9994080662364
1,1,10,0.08296947911015351,0.00015245862825141577,-0.3437058830295038,8.844320349065687e-06,2373.9994080662364
1,1,11,0.10271480104644871,0.00015323171501332116,-0.43507010834828064,8.844320349065687e-06,2373.9994080662364
1,1,12,0.12254461011394728,0.00015408500217827328,-0.509142570165825,8.844320349065687e-06,2373.9994080662364
1,1,13,0.1422958145977153,0.00015502037015466353,-0.5644142239644238,8.844320349065687e-06,2373.9994080662364
1,1,14,0.1618550552044913,0.00015603990273284053,-0.6003250496785029,8.844320349065687e-06,2373.9994080662364
1,1,15,0.18116363244608347,0.00015714589810048949,-0.6173618435984582,8.844320349065687e-06,2373.9994080662364
1,1,16,0.20020314050036048,0.0001583408811937464,-0.6167950514492787,8.844320349065687e-06,2373.9994080662364
1,1,17,0.21899761936022608,0.0001596276175093475,-0.6007277777652116,8.844320349065687e-06,2373.9994080662364
1,1,18,0.23759401395097898,0.00016100912852105804,-0.5717448151784896,8.844320349065687e-06,2373.9994080662364
1,1,19,0.25606370284383584,0.00016248870886395478,-0.5329484272644153,8.844320349065687e-06,2373.9994080662364
1,1,20,0.27448009540738244,0.00016406994547342755,-0.4875595450804532,8.844320349065687e-06,2373.9994080662364
1,1,21,0.2929218156959635,0.00016575673889234315,-0.43897845870275787,8.844320349065687e-06,2373.9994080662364
1,1,22,0.31144965836976596,0.00016755332699042668,-0.39037651715353605,8.844320349065687e-06,2373.9994080662364
1,1,23,0.33011331050426285,0.00016946431137515337,-0.34481358177642124,8.844320349065687e-06,2373.9994080662364
1,1,24,0.34892931699147367,0.0001714946868141976,-0.3048491185689205,8.844320349065687e-06,2373.9994080662364
1,1,25,0.36789246876694437,0.00017364987403676877,-0.27273606889189567,8.844320349065687e-06,2373.9994080662364
1,1,26,0.38695564041320774,0.00017593575633611806,-0.2500665727718256,8.844320349065687e-06,2373.9994080662364
1,1,27,0.406046130791975,0.00017835872045965926,-0.23804797686459728,8.844320349065687e-06,2373.9994080662364
1,1,28,0.42504740791432233,0.00018092570234819067,-0.23718462327678302,8.844320349065687e-06,2373.9994080662364
1,1,29,0.4438200123714621,0.00018364423837381505,-0.24762897193485212,8.844320349065687e-06,2373.9994080662364
1,1,30,0.4621845836251361,0.00018652252282987754,-0.2688900389722776,8.844320349065687e-06,2373.9994080662364
1,1,31,0.4799464468312322,0.00018956947254878282,-0.30024377581342443,8.844320349065687e-06,2373.9994080662364
1,1,32,0.49687892471024137,0.0001927947996687557,-0.34045168704227163,8.844320349065687e-06,2373.9994080662364
