reuse_step,step_factor,source_objective,source_curvature_energy,source_maximum_turning_angle_deg,candidate_objective,relative_decrease,maximum_displacement_ratio,condition_number,root_relative_mismatch,curvature_energy,curvature_energy_ratio,maximum_turning_angle_deg,accepted,rejection_reason,outer_shape_dipole_coefficient
3,0.75,0.047035316967152366,21.159696616649192,7.8343572169947615,0.04365573488113474,0.07185201044521058,0.1876356341219185,191616.8015017754,0.0025660247144611886,21.159727480165635,1.0000014585991945,7.835114641919001,True,,7.681633988650888
3,0.5,0.047035316967152366,21.159696616649192,7.8343572169947615,0.04476725632978794,0.048220375318154075,0.12509043597888048,191627.18612868272,0.002601465806535709,21.15971687272766,1.0000009572953164,7.834863472448409,True,,
3,0.25,0.047035316967152366,21.159696616649192,7.8343572169947615,0.045893877602209664,0.024267708576086323,0.06254522443932617,191637.5702098948,0.0026368996874837356,21.15970658513359,1.0000004711071515,7.834611747556843,True,,
3,0.125,0.047035316967152366,21.159696616649192,7.8343572169947615,0.046462850861106755,0.01217098433599158,0.031272613800162614,191642.76204517332,0.002654613921737706,21.159701561164326,1.0000002336760883,7.834485676908913,True,,
4,1.0,0.04365573488113474,21.159727480165635,7.835114641919001,0.03936086571533468,0.09838041158839896,0.2501813732504873,191575.25833298644,0.0024241443444448377,21.159774291433276,1.000002212281216,7.836119489366904,False,displacement_limit,
4,0.75,0.04365573488113474,21.159727480165635,7.835114641919001,0.04041200876107009,0.0743024056036768,0.18763605145374862,191585.64514955573,0.0024596122165796504,21.15976210753193,1.00000163647506,7.835869673721089,True,,7.680730991347229
4,0.5,0.04365573488113474,21.159727480165635,7.835114641919001,0.041478249271240934,0.0498785695813537,0.1250907149840648,191596.0314187186,0.0024950728713813842,21.159750244669286,1.0000010758410605,7.8356193012491415,True,,
4,0.25,0.04365573488113474,21.159727480165635,7.835114641919001,0.042559587828746456,0.025108890169249505,0.06254536433405593,191606.4171416413,0.0025305263082420417,21.1597387024645,1.0000005303612194,7.8353683721256076,True,,
4,0.125,0.04365573488113474,21.159727480165635,7.835114641919001,0.04310591906166077,0.01259435492200512,0.03127268384552573,191611.60979672227,0.002548250321137843,21.159733051490566,1.00000026329852,7.835242698875652,True,,
5,1.0,0.04041200876107009,21.15976210753193,7.835869673721089,0.036298241821106324,0.10179565594686944,0.25018191912967414,191544.09544219778,0.0023176512350010603,21.15981394678654,1.0000024498977989,7.836871320376665,False,displacement_limit,
5,0.75,0.04041200876107009,21.15976210753193,7.835869673721089,0.03730411137451512,0.07690529329858216,0.18763646203857878,191554.4838967314,0.0023531386877641033,21.15980050461032,1.0000018146271303,7.836622305321615,True,,7.67979110638129
5,0.5,0.04041200876107009,21.15976210753193,7.835869673721089,0.03832507663788468,0.051641385498159165,0.12509098949138583,191564.87180597562,0.0023886189138482726,21.159787384335065,1.0000011945693439,7.836372732199314,True,,
5,0.25,0.04041200876107009,21.15976210753193,7.835869673721089,0.03936113819247229,0.026003918162319277,0.06254550197993627,191575.25916712204,0.0024240919229597353,21.159774585565696,1.0000005897057682,7.836122601216788,True,,
5,0.125,0.04041200876107009,21.15976210753193,7.835869673721089,0.03988483026184872,0.013045095143333067,0.03127275276649159,191580.45264345722,0.0024418257179878557,21.159768306622983,1.0000002929660088,7.83599732657802,True,,
6,1.0,0.03730411137451512,21.15980050461032,7.836622305321615,0.03337142208121194,0.10542240917685713,0.25018245599661876,191512.92766129278,0.002211097179855397,21.159857380047757,1.0000026879004567,7.837620741692581,False,displacement_limit,
6,0.75,0.03730411137451512,21.15980050461032,7.836622305321615,0.034332023768108996,0.07967185108814982,0.18763686586438016,191523.31775274122,0.002246604222257886,21.159842677496986,1.0000019930663646,7.837372529590199,True,,7.678817055943566
6,0.5,0.03730411137451512,21.15980050461032,7.836622305321615,0.03530771943284883,0.05351667331312333,0.1250912594928613,191533.70729560155,0.0022821040414479354,21.159828297744763,1.0000013134875463,7.837123758216699,True,,
