component,sigma,omega_rad_s,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_subtraction,diagnostic_zero_restoring_component,response_calibration_used
longitudinal_bin_middle_post_chine,1.4,7.774541989381373,B33,73.15652346922552,0.4096612832535117,0.021947174552272637,zero_diagnostic_only,False,False
longitudinal_bin_middle_post_chine,1.4,7.774541989381373,B53,-7.8169168481633395,-0.1376512737504513,0.008204205429475683,zero_diagnostic_only,False,False
longitudinal_bin_forward_post_chine,1.4,7.774541989381373,A33,3.1462459733153527,0.09783884401327049,0.039886213506715416,zero_diagnostic_only,False,False
longitudinal_bin_forward_post_chine,1.4,7.774541989381373,A53,0.11440242684069137,0.011187337945625046,0.037128122000536425,zero_diagnostic_only,False,False
longitudinal_bin_forward_post_chine,1.4,7.774541989381373,B33,137.39866191562655,0.7694038684239688,0.039886213506715416,zero_diagnostic_only,False,False
longitudinal_bin_forward_post_chine,1.4,7.774541989381373,B53,17.10348813445094,0.30118229130658747,0.037128122000536425,zero_diagnostic_only,False,False
longitudinal_bin_pre_chine,1.4,7.774541989381373,A33,-28.136231318214186,-0.8749526802455553,0.04799775610116298,zero_diagnostic_only,False,False
longitudinal_bin_pre_chine,1.4,7.774541989381373,A53,-11.609226446136852,-1.1352586053185487,0.048211840443682,zero_diagnostic_only,False,False
longitudinal_bin_pre_chine,1.4,7.774541989381373,B33,112.1103376804039,0.6277945236074379,0.04799775610116298,zero_diagnostic_only,False,False
longitudinal_bin_pre_chine,1.4,7.774541989381373,B53,37.97756380040991,0.668762394766134,0.048211840443682,zero_diagnostic_only,False,False
bem,1.4,7.774541989381373,A33,-22.119848363346684,-0.6878611564302362,0.03743012934528902,zero_diagnostic_only,False,False
bem,1.4,7.774541989381373,A53,-11.807918681192579,-1.154688588074381,0.04873785833108191,zero_diagnostic_only,False,False
bem,1.4,7.774541989381373,B33,359.94128983748806,2.0155961997398424,0.03743012934528902,zero_diagnostic_only,False,False
bem,1.4,7.774541989381373,B53,34.91511357436966,0.6148344609528371,0.04873785833108191,zero_diagnostic_only,False,False
front,1.4,7.774541989381373,A33,0.7903431356255887,0.02457730877346141,0.1162572714325338,zero_diagnostic_only,False,False
front,1.4,7.774541989381373,A53,-2.5999803355801174,-0.2542503639946263,0.09028970655144537,zero_diagnostic_only,False,False
front,1.4,7.774541989381373,B33,92.75787488385937,0.5194247656229255,0.1162572714325338,zero_diagnostic_only,False,False
front,1.4,7.774541989381373,B53,48.57567661474656,0.855388881471975,0.09028970655144537,zero_diagnostic_only,False,False
transom,1.4,7.774541989381373,A33,-0.0,-0.0,0.0,zero_diagnostic_only,False,False
transom,1.4,7.774541989381373,A53,-0.0,-0.0,0.0,zero_diagnostic_only,False,False
transom,1.4,7.774541989381373,B33,0.0,0.0,0.0,zero_diagnostic_only,False,False
transom,1.4,7.774541989381373,B53,0.0,0.0,0.0,zero_diagnostic_only,False,False
total,1.4,7.774541989381373,A33,-21.329505227721093,-0.6632838476567747,0.018050391585550492,zero_diagnostic_only,False,False
total,1.4,7.774541989381373,A53,-14.407899016772694,-1.408938952069007,0.014982468854591207,zero_diagnostic_only,False,False
total,1.4,7.774541989381373,B33,452.69916472134736,2.5350209653627673,0.018050391585550492,zero_diagnostic_only,False,False
total,1.4,7.774541989381373,B53,83.4907901891162,1.4702233424248115,0.014982468854591207,zero_diagnostic_only,False,False
