step,time_s,panels,newly_exposed,edge_extrapolated,relative_phi_eta_error,maximum_scaled_point_error
31,0.19375,140,0,0,0.00010063023785053383,8.08786497201826e-05
32,0.2,140,0,0,0.00010387236337513505,8.505956185240759e-05
33,0.20625000000000002,138,0,0,0.00010711810787438164,8.871809596847934e-05
34,0.21250000000000002,138,0,0,0.00011036555695183302,9.285870019458089e-05
35,0.21875,138,0,0,0.00011361313106841269,9.697489418989594e-05
36,0.225,138,0,0,0.00011686045234544848,0.00010105562685395442
37,0.23125,138,0,0,0.00012010740056579833,0.00010508980055049687
38,0.23750000000000002,138,0,0,0.00012335397493199216,0.00010906629122251654
39,0.24375000000000002,138,0,0,0.00012660021687633857,0.0001129739686292846
40,0.25,138,0,0,0.00012984617025323697,0.00011680171667411478
41,0.25625000000000003,138,0,2,0.0001330918640536336,0.00012053845378990351
42,0.2625,138,0,2,0.00013633730916123277,0.00012417315335056555
43,0.26875,138,0,2,0.00013958250537129797,0.00012769486407878262
44,0.275,138,0,2,0.0001428274584976781,0.00013109273041153952
45,0.28125,138,0,2,0.00014607221041612275,0.00013473439817283145
46,0.28750000000000003,138,0,2,0.00014931688763206603,0.0001381691922468473
47,0.29375,138,0,2,0.00015256177665605436,0.00014129370910196914
48,0.30000000000000004,140,2,2,0.0001557871820551178,0.00014407238596324522
49,0.30625,140,2,0,0.00015892958732735495,0.00014670831602097028
50,0.3125,140,0,2,0.00016205647284617993,0.00014915731700258902
51,0.31875000000000003,140,0,2,0.00016517117087584283,0.0001514097072387304
52,0.325,140,0,2,0.00016827930870749158,0.00015345605995248184
53,0.33125000000000004,140,0,2,0.00017138952043001552,0.00015528722195068135
54,0.3375,140,0,2,0.00017451411820054418,0.00015689433195442476
55,0.34375,140,0,2,0.0001776698501600641,0.00015826883854669243
56,0.35000000000000003,140,0,2,0.00018087875429991207,0.00015940251770030117
57,0.35625,142,2,2,0.0001839270246457262,0.00016028748986184968
58,0.36250000000000004,142,2,0,0.00018687877699984066,0.00016091623656394014
59,0.36875,142,0,2,0.0001898204812833916,0.00016128161653188567
60,0.375,142,0,2,0.0001927644989258019,0.00016137688126665093
61,0.38125000000000003,142,0,2,0.00019572476468366555,0.00016119569006810755
62,0.3875,144,2,2,0.00019871077537765073,0.0001607321244826864
63,0.39375000000000004,144,2,0,0.00020159187287397654,0.00015998070214073046
64,0.4,144,0,2,0.00020445693273532344,0.00015893638996810055
65,0.40625,144,0,2,0.000207312424560632,0.0001575946167445755
66,0.41250000000000003,144,0,2,0.00021016884811422278,0.00015595128498690778
67,0.41875,146,2,2,0.0002130151058327321,0.00015400278213528154
68,0.42500000000000004,146,2,0,0.0002158060395599864,0.00015174599102562442
69,0.43125,146,0,2,0.00021858450277899253,0.00014917829962435292
70,0.4375,146,0,2,0.00022135593118151813,0.00015126708019784453
71,0.44375000000000003,148,2,2,0.00022412689457269717,0.00015836904388444805
72,0.45,148,2,0,0.00022686550539060212,0.0001654256624129299
73,0.45625000000000004,148,0,2,0.0002295914043995021,0.00017242362494741895
74,0.4625,148,0,2,0.0002323090129211448,0.0001793495370481366
75,0.46875,150,2,2,0.00023502624024021978,0.0001861899422147703
76,0.47500000000000003,150,2,0,0.00023771445304536563,0.00019293134366561154
77,0.48125,150,0,2,0.00024039322340167822,0.000199560226321312
78,0.48750000000000004,150,0,2,0.00024306641551054536,0.0002060630789633896
79,0.49375,152,2,2,0.0002457384131676844,0.00021242641653220764
80,0.5,152,2,0,0.0002483913911971913,0.00021863680252851947
81,0.50625,152,0,2,0.00025103758268873284,0.00022468087149184283
82,0.5125000000000001,152,0,2,0.0002536813845162805,0.00023054535151472208
83,0.51875,154,2,2,0.0002563244668074876,0.00023621708675923602
84,0.525,154,2,0,0.00025895315848898276,0.0002416830599516911
85,0.53125,154,0,2,0.00026157883062028533,0.0002469304148055434
86,0.5375,154,0,2,0.00026420576645922003,0.0002519464783482262
87,0.5437500000000001,156,2,2,0.0002668339635157612,0.0002567187831186826
88,0.55,156,2,0,0.00026945378280195277,0.0002612350891926941
89,0.55625,156,0,2,0.0002720741705290681,0.0002654834060108478
