iteration,residual_mode,shape_mode,value,finite_difference_step,root_defect_derivative,jacobian_condition_number
1,0,52,-4.074538105330624,0.00020059733619448645,-1.1691407943654917,1174.577156956001
1,0,53,-4.172438753812377,0.00020089457571382494,-1.1873290502308098,1174.577156956001
1,0,54,-4.267683610951152,0.00020190975057460213,-1.205569183146853,1174.577156956001
1,0,55,-4.3599239211061285,0.00020365323384686197,-1.2243554925738722,1174.577156956001
1,0,56,-4.44904157202167,0.00020614815471548317,-1.2437708475824056,1174.577156956001
1,0,57,-4.534729649243295,0.00020943121874837298,-1.2641241054584569,1174.577156956001
1,0,58,-4.616931109726824,0.00021355413069061964,-1.2852787000698116,1174.577156956001
1,0,59,-4.695377252084067,0.00021858572870283254,-1.307371306636005,1174.577156956001
1,0,60,-4.770069089026864,0.00022461500355211894,-1.3300621861914326,1174.577156956001
1,0,61,-4.84076394090242,0.0002317552645405851,-1.353366061900682,1174.577156956001
1,0,62,-4.907515656838155,0.00024014984055070607,-1.3767711302701273,1174.577156956001
1,0,63,-4.970092094282704,0.0002499798927352308,-1.400236541869349,1174.577156956001
1,1,0,-0.03194421985164051,0.000210507315730016,0.4186995259663547,1174.577156956001
1,1,1,-0.043477669145959554,0.00014888657914978462,0.5764940309374947,1174.577156956001
1,1,2,-0.03845040397852689,0.00014899293883619384,0.5306170876066663,1174.577156956001
1,1,3,-0.030311333733316532,0.00014917045054266354,0.457855876671162,1174.577156956001
1,1,4,-0.019382072121341465,0.0001494194838463778,0.36320611389899815,1174.577156956001
1,1,5,-0.006036189558540906,0.00014974055863349603,0.2524266730709817,1174.577156956001
1,1,6,0.00933089788217277,0.00015013434760329587,0.13155294429151113,1174.577156956001
1,1,7,0.026321999739370442,0.0001506016795253961,0.006539719238706788,1174.577156956001
1,1,8,0.04455037038768109,0.00015114354327900223,-0.11692740435733467,1174.577156956001
1,1,9,0.06365618140263661,0.0001517610927103525,-0.23372338667369522,1174.577156956001
1,1,10,0.08331451010432775,0.00015245565235235382,-0.3393984202762948,1174.577156956001
1,1,11,0.10324933248131674,0.0001532287240587723,-0.43042527816095605,1174.577156956001
1,1,12,0.12323425770851122,0.0001540819946145808,-0.5041933269730775,1174.577156956001
1,1,13,0.14310203944267547,0.00015501734439416748,-0.5591803270109925,1174.577156956001
1,1,14,0.16273705515052164,0.0001560368571503221,-0.5948109264781013,1174.577156956001
1,1,15,0.18208056155120908,0.00015714283102945842,-0.6115561615241911,1174.577156956001
1,1,16,0.20111576661391142,0.00015833779092255202,-0.6106712939962221,1174.577156956001
1,1,17,0.2198702863182958,0.00015962450227709622,-0.5942467494304887,1174.577156956001
1,1,18,0.2383957622664211,0.0001610059865133171,-0.5648570595909163,1174.577156956001
1,1,19,0.25676965567249066,0.0001624855382082211,-0.5255984359906313,1174.577156956001
1,1,20,0.27507186582155907,0.00016406674423434785,-0.4796887936586579,1174.577156956001
1,1,21,0.2933882000107807,0.0001657535050666498,-0.4305300657944407,1174.577156956001
1,1,22,0.31178627695348476,0.00016755005850157862,-0.38129758965128746,1174.577156956001
1,1,23,0.3303226637321527,0.00016946100606764667,-0.3350592045280984,1174.577156956001
1,1,24,0.3490197649955147,0.0001714913424475288,-0.2943831358751833,1174.577156956001
1,1,25,0.3678778179472712,0.00017364648827901483,-0.2615337373034518,1174.577156956001
1,1,26,0.38685365799524746,0.00017593232675711058,-0.23811338062473092,1174.577156956001
1,1,27,0.40587792051349014,0.00017835524452371917,-0.22534091244038743,1174.577156956001
1,1,28,0.42483569925564546,0.0001809221774063997,-0.2237291272947626,1174.577156956001
1,1,29,0.44358857388370726,0.00018364066165579035,-0.23343922448105003,1174.577156956001
1,1,30,0.46195654443689976,0.00018651889143502407,-0.2539843111977135,1174.577156956001
1,1,31,0.47974389450446764,0.00018956578343699357,-0.2846441666539061,1174.577156956001
1,1,32,0.49672145348117536,0.0001927910496505432,-0.3241788072021889,1174.577156956001
1,1,33,0.5126552799096018,0.00019620527946931113,-0.3712851155599105,1174.577156956001
1,1,34,0.5272879325344975,0.0001998200325429937,-0.4242996439564405,1174.577156956001
1,1,35,0.5403687911295646,0.00020364794401756564,-0.4816771911284835,1174.577156956001
1,1,36,0.5516336533950568,0.00020770284410752383,-0.5416702076574202,1174.577156956001
1,1,37,0.5608347362483515,0.000208145421377496,-0.6028581140404924,1174.577156956001
1,1,38,0.5677183884579086,0.00020539819754008068,-0.6637043671728956,1174.577156956001
1,1,39,0.5720569102545784,0.00020398868744762733,-0.7229939262535218,1174.577156956001
1,1,40,0.5736219857949945,0.00020386252065482052,-0.7795685812985957,1174.577156956001
1,1,41,0.5722147979236565,0.00020500596019662611,-0.8327206743181108,1174.577156956001
1,1,42,0.5676383006868503,0.00020744447919799865,-0.8817658408368916,1174.577156956001
1,1,43,0.5597268331184806,0.00021124431986278367,-0.926482037894855,1174.577156956001
1,1,44,0.5483155872975785,0.0002165172294331377,-0.9666415482957468,1174.577156956001
1,1,45,0.5332663108523692,0.00022056081116051621,-1.0025283544787087,1174.577156956001
1,1,46,0.5144243979970563,0.00021496405504237907,-1.0345443328472737,1174.577156956001
1,1,47,0.4916944262800252,0.00021042115330424823,-1.0629515394367834,1174.577156956001
1,1,48,0.46496015782554595,0.0002068263674949489,-1.0881344220732636,1174.577156956001
1,1,49,0.43413135249347246,0.00020409877750730834,-1.1107981504337845,1174.577156956001
1,1,50,0.3991067372133689,0.00020217782463036914,-1.1314149389069994,1174.577156956001
1,1,51,0.3598087879578126,0.000201020139005758,-1.1507197933274431,1174.577156956001
