source_directory,component,sigma,omega_rad_s,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_subtraction,restoring_matrices_sha256,target_identifier,beam_m,deadrise_deg,trim_deg,fn_b,mean_wetted_length_over_b,lcg_from_transom_m,rho_water_kg_m3,gravity_m_s2,matrix_coordinate_contract,response_calibration_used
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma170_complete_AB_troesch_experimental_C_body12_sub16_v1,total,1.7,9.440515272820239,B33,391.75707053528845,2.193757940214785,0.017126003622434993,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma170_complete_AB_troesch_experimental_C_body12_sub16_v1,total,1.7,9.440515272820239,B35,-226.84373169638664,-3.9945836980023577,0.028457023112958446,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma170_complete_AB_troesch_experimental_C_body12_sub16_v1,total,1.7,9.440515272820239,B53,42.20964660467352,0.7432868652114277,0.018115851347714134,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma170_complete_AB_troesch_experimental_C_body12_sub16_v1,total,1.7,9.440515272820239,B55,57.56810853723793,3.1878625129721057,0.03763797815497651,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma195_complete_AB_troesch_experimental_C_body12_sub16_v1,total,1.95,10.828826342352627,A33,29.258854622418966,0.9098629089045097,0.01585070471306744,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma195_complete_AB_troesch_experimental_C_body12_sub16_v1,total,1.95,10.828826342352627,A35,-0.6491130187341363,-0.06347633442772986,0.02561145650649741,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma195_complete_AB_troesch_experimental_C_body12_sub16_v1,total,1.95,10.828826342352627,A53,-2.282360263021706,-0.2231905063661426,0.017560346460446925,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma195_complete_AB_troesch_experimental_C_body12_sub16_v1,total,1.95,10.828826342352627,A55,0.6574953587226476,0.202188798529629,0.03349275617909559,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma195_complete_AB_troesch_experimental_C_body12_sub16_v1,total,1.95,10.828826342352627,B33,391.15830206772057,2.1904049615990258,0.01585070471306744,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma195_complete_AB_troesch_experimental_C_body12_sub16_v1,total,1.95,10.828826342352627,B35,-227.7550940096594,-4.010632248307664,0.02561145650649741,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma195_complete_AB_troesch_experimental_C_body12_sub16_v1,total,1.95,10.828826342352627,B53,41.71725002471769,0.7346160532099912,0.017560346460446925,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma195_complete_AB_troesch_experimental_C_body12_sub16_v1,total,1.95,10.828826342352627,B55,57.467661943726384,3.182300233123983,0.03349275617909559,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
