time_s,surge_m,sway_m,heave_m,roll_rad,pitch_rad,yaw_rad,surge_velocity_mps,sway_velocity_mps,heave_velocity_mps,roll_rate_rad_s,pitch_rate_rad_s,yaw_rate_rad_s,heave_accel_mps2,pitch_accel_rad_s2,bow_vertical_m,bow_vertical_accel_mps2,wave_elevation_m
1.28,0.0,0.0,0.30657087122008986,0.0,-0.00882889251962347,0.0,0.0,0.0,-0.47639187897372215,0.0,-0.3582919208224855,0.0,-7.005759807928753,0.3405605552172376,0.25082524385118726,-4.855460462287114,-0.2585670019518414
1.36,0.0,0.0,0.24727826078952142,0.0,-0.03487865058981849,0.0,0.0,0.0,-0.9782099888108651,0.0,-0.2770632384087419,0.0,-4.863959112475308,1.4678698704193556,0.02705446096540748,4.404171249352504,-0.2773537770300991
1.44,0.0,0.0,0.1587374168935693,0.0,-0.05320043291548378,0.0,0.0,0.0,-1.1471111703184143,0.0,-0.17519509164915428,0.0,4.876506500742839,5.698525824268544,-0.1771701165347953,40.85699855517443,-0.1108030415519737
1.52,0.0,0.0,0.35174977320577105,0.0,0.22277237412543377,0.0,0.0,0.0,7.713516489687373,0.0,7.111218468197879,0.0,74.74038945630429,-26.908866618023456,1.7583345434337598,-95.16219436989581,0.19321338400496862
1.6,0.0,0.0,1.182546022149451,0.0,0.7026221123637129,0.0,0.0,0.0,12.69024224060873,0.0,4.812836413219944,0.0,46.56284021982016,-32.65059416505307,5.618902039613934,-159.5930113383249,0.3399335781933333
1.68,0.0,0.0,2.2925968328279134,0.0,0.9648250987838015,0.0,0.0,0.0,14.278902586323678,0.0,1.5116490499260111,0.0,-10.782357925306016,-48.20117541927669,8.384502506548836,-315.12457952261906,0.2557656388782349
1.76,0.0,0.0,3.347292285208169,0.0,0.9464238724631457,0.0,0.0,0.0,11.576276612292418,0.0,-1.6456278467128604,0.0,-49.61889467054642,-25.470811220727725,9.32301261594047,-210.44159671822126,0.20631310790365678
1.84,0.0,0.0,4.099015001725323,0.0,0.7650199022066863,0.0,0.0,0.0,7.095556799504432,0.0,-2.5016887277826423,0.0,-58.04936304221806,2.0272433498337286,8.92935066425834,-45.2493485313679,0.2508012403445768
1.92,0.0,0.0,4.492226120553125,0.0,0.5748792890856845,0.0,0.0,0.0,2.8835970977931753,0.0,-2.206419352364703,0.0,-46.70638243538137,5.334974258541078,8.122013951840138,-13.021354966953005,0.12745120468115265
2.0,0.0,0.0,4.589808265905702,0.0,0.41738831242057645,0.0,0.0,0.0,-0.22206799111144812,0.0,-1.7202358735328938,0.0,-30.203632008090594,6.123200714783117,7.225198070529221,8.458257305050005,-0.17620728303102218
2.08,0.0,0.0,4.493402575614928,0.0,0.29734929733172366,0.0,0.0,0.0,-1.9835236581185378,0.0,-1.3106574889915212,0.0,-15.020372375176441,3.9724080196502474,6.370866038967431,10.061411860895221,-0.33886756797967
2.16,0.0,0.0,4.295753380574387,0.0,0.20355569688603553,0.0,0.0,0.0,-2.8729128920942735,0.0,-1.0461951574264345,0.0,-8.535840706623013,3.072696279134838,5.581004050712815,10.865163599834354,-0.25881410742970046
2.24,0.0,0.0,4.041692527615142,0.0,0.1303499563154387,0.0,0.0,0.0,-3.439029751658915,0.0,-0.7747938670019114,0.0,-5.462314729493062,3.6932497538305746,4.864722151790822,17.856864216193188,-0.13571039455054518
2.32,0.0,0.0,3.7538731000075867,0.0,0.07992344165005053,0.0,0.0,0.0,-3.6926382914513765,0.0,-0.4956947105252384,0.0,-0.772213862123349,2.9754255285703564,4.258509710586006,18.014622925269883,-0.04874626109077795
2.4,0.0,0.0,3.45984015227619,0.0,0.04815946791322861,0.0,0.0,0.0,-3.624010378326817,0.0,-0.3169798230427304,0.0,1.767044176691475,1.628476203537068,3.763919032680316,12.049242925824522,0.06219824191600151
2.48,0.0,0.0,3.175193706341486,0.0,0.027689539061970646,0.0,0.0,0.0,-3.502332354914992,0.0,-0.19376584947495545,0.0,1.1090367835378012,1.6728811543951854,3.3500254559787686,11.671608392389002,0.13714742183472203
2.56,0.0,0.0,2.898573750454377,0.0,0.017992864490483443,0.0,0.0,0.0,-3.4033010609125216,0.0,-0.0458829741208338,0.0,1.8451143856621883,1.8522974474772906,3.0121806968472895,13.540520469033803,0.0995031493980983
2.64,0.0,0.0,2.6346488619246458,0.0,0.0194399253665023,0.0,0.0,0.0,-3.1650105833589026,0.0,0.06880264330292461,0.0,3.998748423833816,0.8908474964593556,2.757392550688741,9.623559516478188,0.03223395777550024
