time_s,surge_m,sway_m,heave_m,roll_rad,pitch_rad,yaw_rad,surge_velocity_mps,sway_velocity_mps,heave_velocity_mps,roll_rate_rad_s,pitch_rate_rad_s,yaw_rate_rad_s,heave_accel_mps2,pitch_accel_rad_s2,bow_vertical_m,bow_vertical_accel_mps2,wave_elevation_m
2.88,0.0,0.0,0.0518478583337027,0.0,-0.05519904784965573,0.0,0.0,0.0,-1.4292938702533862,0.0,0.025922060682313793,0.0,1.5028868183928412,1.7820768255848525,-0.29667892978902355,12.7549198951356,-0.20315658706368536
2.96,0.0,0.0,-0.05205529656203512,0.0,-0.0438142311066906,0.0,0.0,0.0,-1.0947791843731771,0.0,0.30182180778252204,0.0,6.683976271175225,4.460675409492309,-0.3286983517696796,34.84868080670966,-0.146462802849035
3.04,0.0,0.0,-0.11684997617720873,0.0,-0.008874565484008851,0.0,0.0,0.0,-0.5224424672065023,0.0,0.5250171604280282,0.0,7.045377610326194,1.1922642452688006,-0.17288398264324062,14.573334054953401,-0.07464761174856817
3.12,0.0,0.0,-0.13692506315757388,0.0,0.03497903289854877,0.0,0.0,0.0,0.00978668941780586,0.0,0.5520557315882376,0.0,6.239261007907698,-0.2846782949568143,0.08393255056386306,4.441802253550373,0.004874498025768002
3.2,0.0,0.0,-0.11714091258505961,0.0,0.07739640674506315,0.0,0.0,0.0,0.47219205796908853,0.0,0.49941092795854597,0.0,5.291259641628163,-0.9637537045088963,0.37153999960326917,-0.7938812486410081,0.08389334508371564
3.2800000000000002,0.0,0.0,-0.06359843054334552,0.0,0.11378956254087666,0.0,0.0,0.0,0.8511404638990234,0.0,0.4051699717925874,0.0,4.14935037048589,-1.3588795080985183,0.6548688673397498,-4.430614843648155,0.15425070689526466
3.36,0.0,0.0,0.01640268679876115,0.0,0.1415749514291106,0.0,0.0,0.0,1.131247194460564,0.0,0.28647101710693423,0.0,2.8273850062691053,-1.5838409208962672,0.9103069301221656,-7.172986568269925,0.20868260738819974
3.44,0.0,0.0,0.11443490691823763,0.0,0.15929765490783251,0.0,0.0,0.0,1.3003247594874023,0.0,0.15545669182868824,0.0,1.3863164450850554,-1.669511358919699,1.1202403000062922,-9.154978275133924,0.2415692789566107
3.52,0.0,0.0,0.22132145085722071,0.0,0.16640321895185814,0.0,0.0,0.0,1.3521577719468598,0.0,0.022735769456670496,0.0,-0.08812158415943996,-1.628189708004181,1.271991375319253,-10.36851140049784,0.2495153697962662
3.6,0.0,0.0,0.3276781089787182,0.0,0.16315017527999198,0.0,0.0,0.0,1.2879298874004055,0.0,-0.10196600319504769,0.0,-1.498636137486921,-1.4712799215421726,1.3578083156965877,-10.788297562104198,0.23170049363569828
3.68,0.0,0.0,0.4245297762996143,0.0,0.15053377639520726,0.0,0.0,0.0,1.1166850116470144,0.0,-0.21003072740202106,0.0,-2.747954235819027,-1.2156949467619766,1.375000040458953,-10.423852129674147,0.18996392970351803
3.7600000000000002,0.0,0.0,0.5039267793008002,0.0,0.1301767304192453,0.0,0.0,0.0,0.8548589273876892,0.0,-0.29449003592488016,0.0,-3.750459797640714,-0.8858156253312579,1.325862655167915,-9.343499655982276,0.12861472816780692
3.84,0.0,0.0,0.5594870776050767,0.0,0.10417373628632405,0.0,0.0,0.0,0.5249103931731937,0.0,-0.35059930151313845,0.0,-4.442763349751723,-0.5124785843740393,1.2172400485169268,-7.678553131489407,0.053986826523246
