iteration,pseudo_time,kinematic_rms,dipole_coefficient,root_thickness,root_s_lambda,root_measured_s_lambda,root_relative_mismatch,root_body_eta,root_resolution_ratio,bem_condition_number,accepted_time_step,maximum_displacement_ratio
10,0.0099920836246463,0.0497400831460965,7.938163066416482,0.1420675362847516,2.09130173005734,2.0036438368481315,0.0419154691785221,0.5190688175846558,8.713883694133767,69235.70608366054,0.0009933322524531,0.247862377567688
11,0.0109859623578016,0.0490373591775277,7.937740294884322,0.1380846211358771,2.0789211362794178,2.047544356987109,0.0150928184550871,0.5191175393951779,8.467694895778605,36419.75589605627,0.0009938787331552,0.2485868180646916
12,0.0119799799010573,0.0483912446367227,7.937447869005917,0.1341076889810355,2.077297394470784,2.090632030199086,0.0064192232483397,0.5192219939547058,8.22219136174021,36315.14301014453,0.0009940175432557,0.2485123974021047
13,0.0129741657705498,0.0477836072161252,7.93727668594699,0.1301439356867413,2.084272195785913,2.1335693914631504,0.0236519950594307,0.5193858241931117,7.977620502593804,36219.18439023392,0.0009941858694925,0.248424749972871
14,0.013968556860606,0.0491994486571601,7.941132265742278,0.1423173972161518,2.080645588685387,2.005242098237891,0.0362404298250228,0.5194688537405487,8.729890518229778,69298.66266623547,0.0009943910900562,0.2481569043107662
15,0.0149620018454575,0.0484978008482902,7.940705478247274,0.1383335524931203,2.0705560308219035,2.0484802524164483,0.0106617633509257,0.5195144647083543,8.483533616470107,69052.49303423412,0.0009934449848514,0.2486034847624863
16,0.0159556326721445,0.0478534729367838,7.940406490724682,0.1343554100373461,2.0706679222856623,2.091022964477103,0.0098301818328126,0.519615900465304,8.237921194032785,36342.87754182768,0.0009936308266869,0.2485280994180997
17,0.016949462202401,0.0472474442665528,7.940227328226547,0.1303901782240341,2.0789500270985286,2.133516417013571,0.0262470906966424,0.5197767580293375,7.9932267275677775,36247.73667950974,0.0009938295302565,0.2484399540068805
18,0.0179435212766876,0.0487593710789381,7.944070054061048,0.1425639237136909,2.0763238240815225,2.005063042060728,0.0343206494065621,0.5198568859341961,8.745582142725414,69365.44635703813,0.0009940590742865,0.2482000802552879
19,0.0189364234663441,0.0480584694611657,7.943633709692367,0.1385792687682088,2.067006952966461,2.0480595561826487,0.0091665858968785,0.5199007475866186,8.499212870581907,69124.47538029152,0.0009929021896564,0.2486083501911873
20,0.0199295253078334,0.047413400243753,7.943325350317243,0.1346001793949896,2.0677006750660865,2.090399308680482,0.0109777173689176,0.5200005124567113,8.253518461542363,36373.42942689106,0.0009931018414893,0.2485319600186765
21,0.0209228462717618,0.0468040018203828,7.943135922495826,0.130633829009952,2.07641720808716,2.1327238957472634,0.0271172322406124,0.5201597653235337,8.008728609659471,36278.4137010413,0.0009933209639284,0.2484429794761055
22,0.0219164182022661,0.0482913018114027,7.9469374891485725,0.1428102875805899,2.0741090643209787,2.004102174748837,0.0337527523390195,0.5202237807639183,8.76129360577734,69434.27825019279,0.0009935719305043,0.2481903994695772
23,0.0229089293424044,0.0475949451977193,7.946489511111525,0.1388252676733428,2.065019861629501,2.046966342981275,0.0087425399550296,0.5202650388969328,8.514885264471886,69195.7012873158,0.0009925111401382,0.24861368078531
24,0.023901649797766,0.0469539694636733,7.9461699167463,0.1348455357124077,2.0658730684234468,2.0891824339544165,0.0112830579415791,0.520362137481527,8.269127129584072,36403.91245161759,0.0009927204553616,0.2485371848193023
25,0.0248945993211886,0.046346940524991,7.945968608875415,0.1308782232954291,2.074695462569641,2.1313907549277213,0.0273270431159372,0.520518658394264,8.024254093580332,36308.80594319404,0.0009929495234225,0.2484481282670841
26,0.0258878095258606,0.0478283573890425,7.949763512155948,0.1430545515390367,2.072482937012406,2.002973450718991,0.0335392321220345,0.5205840588612303,8.776883312987957,69502.36332613445,0.0009932102046719,0.2481983074172152
27,0.0268799567941707,0.0471356419548062,7.949303575293571,0.1390692365743572,2.063479260661648,2.045739618024705,0.0085969570788197,0.5206226626827803,8.530422580638959,69265.30027084399,0.00099214726831,0.2486193027708158
28,0.0278723230678321,0.0464982313753127,7.94897270004045,0.1350889139016733,2.06438294525958,2.087858715625679,0.0113718098766541,0.5207170194769406,8.284603674725764,69049.43175746495,0.0009923662736614,0.2485428942156784
