benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,mode_column,generalized_row,reference_value,station_index,x_m,x_over_l,waterplane_beam_m,effective_draft_m,submerged_area_m2,body_normal_velocity_norm,body_potential_norm,body_potential_to_body_normal_velocity_gain,body_potential_norm_to_beam_squared_ratio,body_potential_norm_to_submerged_area_ratio,inner_free_surface_normal_derivative_norm,free_surface_potential_norm,control_potential_norm,control_normal_derivative_norm,body_pressure_norm,body_pressure_time_derivative_norm,body_pressure_forward_speed_norm,body_pressure_to_body_potential_gain,body_pressure_forward_to_time_norm_ratio,pressure_time_formula_ratio,pressure_forward_formula_ratio,body_potential_x_gradient_norm,body_potential_x_gradient_to_potential_gain,body_potential_x_gradient_characteristic_length_m,body_potential_x_gradient_gain_times_l,central_body_potential_x_gradient_gain_times_l,forward_body_potential_x_gradient_gain_times_l,backward_body_potential_x_gradient_gain_times_l,phase_aligned_body_potential_x_gradient_gain_times_l,total_density_value_per_m,time_derivative_density_value_per_m,pressure_gradient_density_value_per_m,stokes_body_forward_density_value_per_m,dominant_force_density_component,dominant_pressure_norm_component,gate_role
ma2005_wigley_iii_coefficients,8,wigley_iii,Fn0.4,2.23,A55,pitch,pitch_moment,0.0458,0,0.075,0.024999999999999998,0.03452962500000001,0.1875,0.004316203125000001,1.8176473535949957,0.7054937444293707,0.38813565405524053,591.7107283573984,163.45239646926268,1.9861359163044505,0.6910375770096255,0.22641693670972105,0.9748991309931274,4366.92593550354,2915.5574678359026,6656.628524133972,6189.886118743222,2.2831409078946785,1.0,1.0,2.9932948590168267,4.242836853837611,0.2356913627483716,12.728510561512833,8.350242572478933,7.049466582766545,7.049466582766545,6.339428373880949,0.005712471992485568,-0.0011568434126123233,0.006869315405097893,0.001471862328952261,pressure_gradient_density,forward_speed_pressure,diagnostic_body_potential_source_audit_not_hard_gate
ma2005_wigley_iii_coefficients,8,wigley_iii,Fn0.4,2.23,A55,pitch,pitch_moment,0.0458,1,0.15,0.049999999999999996,0.06623399999999997,0.1875,0.008279249999999997,3.258236928535498,0.7484353820369307,0.22970563481193343,170.60523094660851,90.39893493214132,2.047041854410428,0.6360272027351357,0.1864395064778926,0.9523315622357652,3043.661924391708,3093.0201501011998,5576.4735488362,4066.6996743367777,1.8029218298670784,1.0,1.0,2.507580157831678,3.3504297338363194,0.29846917543170703,10.051289201508958,5.486034492186732,4.447078170879497,6.64500195350236,4.155684646821973,0.0053367839661112425,-5.467498940451813e-05,0.00539145895551576,0.00332411760684851,pressure_gradient_density,forward_speed_pressure,diagnostic_body_potential_source_audit_not_hard_gate
ma2005_wigley_iii_coefficients,8,wigley_iii,Fn0.4,2.23,A55,pitch,pitch_moment,0.0458,2,0.22499999999999998,0.075,0.09527962500000002,0.1875,0.011909953125000003,4.338676305063247,0.7698730872167672,0.17744423254583966,84.80453158791302,64.64115174397607,2.1028447984480705,0.5818733189472378,0.17492991790559625,0.9227626272841829,2016.1284552103245,3181.6146442747677,4635.564037060241,2618.7802751996433,1.4569847562783311,1.0,1.0,2.084480146438835,2.707563338750565,0.36933577349346924,8.122690016251696,3.5327710595069997,2.8172102453814745,4.323245876541666,2.8846426783093784,0.0030702433567210796,0.0026766287794575024,0.0003936145772635769,0.004942698193753541,stokes_body_forward_density,forward_speed_pressure,diagnostic_body_potential_source_audit_not_hard_gate
ma2005_wigley_iii_coefficients,8,wigley_iii,Fn0.4,2.23,A55,pitch,pitch_moment,0.0458,3,0.3,0.09999999999999999,0.12182399999999996,0.1875,0.015227999999999995,5.1063150875435195,0.7876134560615313,0.15424301919457664,53.069795853579116,51.72139848053136,2.1500134183813744,0.532780926859518,0.19346745113486782,0.8846125752795848,1311.4682966049902,3254.9293480207966,3751.3670208816065,1665.1166717783112,1.152518724611542,1.0,1.0,1.686882117152702,2.141763963236449,0.46690485840880724,6.425291889709347,2.2462655780896252,1.9598501415842344,2.753754817491463,2.193939110444672,0.0023700905176856557,0.005922612323000093,-0.0035525218053144357,0.006210946846394711,stokes_body_forward_density,forward_speed_pressure,diagnostic_body_potential_source_audit_not_hard_gate
ma2005_wigley_iii_coefficients,8,wigley_iii,Fn0.4,2.23,A55,pitch,pitch_moment,0.0458,4,0.375,0.125,0.146015625,0.1875,0.018251953125,5.616708886947449,0.7948492065434828,0.14151511544253542,37.280873684346126,43.548720572526825,2.1887481550302854,0.4939453324914383,0.23146775612091497,0.8371484675411801,1123.8100700400803,3284.8321593775636,3016.5944803533557,1413.8657506209656,0.9183405221303497,1.0,1.0,1.3564759873625336,1.7065828036255661,0.5859662935050912,5.119748410876698,1.9073245866116444,2.1368542635444783,1.942009038529997,1.7504327189283284,0.0019706901676190144,0.008920920910206942,-0.006950230742587928,0.00707629975109473,time_derivative_density,time_derivative_pressure,diagnostic_body_potential_source_audit_not_hard_gate
ma2005_wigley_iii_coefficients,8,wigley_iii,Fn0.4,2.23,A55,pitch,pitch_moment,0.0458,5,0.44999999999999996,0.15,0.167994,0.1875,0.02099925,5.92177892363863,0.7861381650722844,0.13275371728825747,27.855524404998796,37.43648773514694,2.2206361218392097,0.47072422564277955,0.27777089745283745,0.7807518086813696,1443.0661931426832,3248.8324893386416,2505.0783707453843,1835.6394044423414,0.7710703395653797,1.0,1.0,1.1264618690077728,1.432905714358997,0.697882624082733,4.298717143076991,2.476303119096232,2.913909083349232,2.1605323228661897,1.8149967701771659,0.0015030951724229016,0.011204175986327558,-0.009701080813904658,0.007525602186439661,time_derivative_density,time_derivative_pressure,diagnostic_body_potential_source_audit_not_hard_gate
ma2005_wigley_iii_coefficients,8,wigley_iii,Fn0.4,2.23,A55,pitch,pitch_moment,0.0458,6,0.525,0.17500000000000002,0.18788962500000003,0.1875,0.023486203125000004,6.065690097766535,0.758964707276513,0.125124214235075,21.49888724204186,32.31534289459624,2.2471668174730977,0.4668887097516404,0.3258251197974619,0.7171001683316331,1924.4285703388566,3136.534147320789,2276.235517831121,2535.596914966602,0.725716797878789,1.0,1.0,1.023557803884186,1.3486237160580827,0.7414966740485023,4.045871148174248,3.4205555481688323,3.8884385516137403,3.0182367085180486,2.459490740768561,0.0008617630182188703,0.012535180285999864,-0.011673417267780992,0.007576087811079504,time_derivative_density,time_derivative_pressure,diagnostic_body_potential_source_audit_not_hard_gate
ma2005_wigley_iii_coefficients,8,wigley_iii,Fn0.4,2.23,A55,pitch,pitch_moment,0.0458,7,0.6,0.19999999999999998,0.20582399999999998,0.1875,0.025727999999999997,6.0845598435232295,0.7129580547940546,0.11717495975538311,16.829528613946433,27.711367179495284,2.2688435764867827,0.48277422826812705,0.3722276930079218,0.649277951726733,2400.168957069029,2946.4048367854334,2320.5049072338934,3366.493920546761,0.7875716460490184,1.0,1.0,1.0434644781458946,1.4635706422410926,0.6832604939852783,4.390711926723277,4.541447179491675,4.99800063862672,4.139356596427979,3.4822573699056583,4.833509058206513e-05,0.012850895598075868,-0.012802560507493805,0.0072678846103929415,time_derivative_density,time_derivative_pressure,diagnostic_body_potential_source_audit_not_hard_gate
ma2005_wigley_iii_coefficients,8,wigley_iii,Fn0.4,2.23,A55,pitch,pitch_moment,0.0458,8,0.6749999999999999,0.22499999999999998,0.22190962499999997,0.1875,0.027738703124999996,6.007599961957357,0.6491318986479765,0.10805178486559557,13.181980718521165,23.401667184034096,2.284892898852339,0.5150373863517882,0.41513313465333596,0.5818262697194279,2826.399821185642,2682.633786135688,2546.2214550069766,4354.12252436295,0.9491498497358404,1.0,1.0,1.1449627335457022,1.7638368040924364,0.5669458748563416,5.291510412277309,5.873771919427005,6.315699499775019,5.48943107032113,4.810214438158814,-0.0008830696801766472,0.012215141641792514,-0.01309821132196916,0.006657596657894206,pressure_gradient_density,time_derivative_pressure,diagnostic_body_potential_source_audit_not_hard_gate
ma2005_wigley_iii_coefficients,8,wigley_iii,Fn0.4,2.23,A55,pitch,pitch_moment,0.0458,9,0.75,0.25,0.23625000000000002,0.1875,0.029531250000000002,5.858589422572408,0.5694380793741262,0.0971971302819332,10.202412328866513,19.28255930155771,2.2935178228922717,0.5582941974967365,0.45346777599301946,0.5206410112090211,3194.514119892476,2353.2872656896784,2850.4442468168395,5609.941160597464,1.211260643090872,1.0,1.0,1.2817629944313256,2.2509260284105364,0.4442616005049876,6.7527780852316095,7.5678887478198025,8.00395543507068,7.199592292958473,6.531378625360018,-0.001852006170656762,0.010779600759285022,-0.012631606929941785,0.005813031405310102,pressure_gradient_density,forward_speed_pressure,diagnostic_body_potential_source_audit_not_hard_gate
