benchmark,coefficient,source_row,station_index,x_m,x_over_l,body_normal_velocity_norm,inner_free_surface_normal_derivative_norm,body_potential_norm,free_surface_potential_norm,control_potential_norm,inner_free_surface_normal_derivative_to_body_normal_velocity_ratio,body_potential_to_inner_free_surface_normal_derivative_gain,body_potential_to_body_normal_velocity_gain,free_surface_potential_to_body_potential_ratio,control_potential_to_body_potential_ratio,time_derivative_density_value_per_m,station_trapezoid_weight_m,station_time_derivative_contribution_value,station_abs_contribution_share,coefficient_reference_value,coefficient_computed_value,coefficient_gate_error_ratio,coefficient_status,coefficient_time_component_value,station_integral_time_component_value,required_global_scale_to_reference_from_time_integral,diagnostic_flags,failure_source,gate_role
ma2005_wigley_iii_coefficients,A33,0,5,0.44999999999999996,0.15,4.501392351300204,1.8679180259051462,1.9041354443145075,1.6010084606783397,1.3716965783819326,0.41496449989870526,1.019389190482174,0.42301032563058133,0.8408059759922729,0.7203776298989834,0.12816068303957917,0.03749999999999998,0.004806025613984216,0.005002549214526307,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,5,0.44999999999999996,0.15,5.019052471699728,2.266511310264858,1.8700423806635602,1.6762687636373887,1.381269493350972,0.4515815132526982,0.8250752476699674,0.37258872889014866,0.8963800932910336,0.7386300479782958,0.06666776533574661,0.03750000000000003,0.0025000412000905003,0.00260227059660386,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,6,0.525,0.17500000000000002,4.8849537469852065,1.8950773039608715,1.9659175866543936,1.5939108827445403,1.3509520338117764,0.3879417087890414,1.0373812100147366,0.4024434392787603,0.8107719741482471,0.6871865041457978,0.17651752098225088,0.03750000000000003,0.006619407036834414,0.006890081770765747,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,6,0.525,0.17500000000000002,5.446723427888505,2.298530765233379,1.932689279004491,1.6702936717765158,1.3615880048592612,0.42200247463720314,0.8408368111654392,0.35483521507787,0.8642329058900081,0.704504350311604,0.1066250114798948,0.03749999999999998,0.003998437930496052,0.004161938394654779,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,7,0.6,0.19999999999999998,5.204068011707894,1.917833234726572,2.0214341828217455,1.5809543398140544,1.3265389777678227,0.36852578221727916,1.0540197897394055,0.3884334674862065,0.7820953822039263,0.6562365418774556,0.227592857006171,0.03749999999999998,0.008534732137731408,0.00888372659262754,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,7,0.6,0.19999999999999998,5.8025358330543,2.3245394591321733,1.9917616237273703,1.6586823281779761,1.3387917482703917,0.4006075147163025,0.8568413910559988,0.34325710017700317,0.8327715065992326,0.6721646467738369,0.15039242053428636,0.03749999999999998,0.005639715770035736,0.005870329865378148,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,8,0.6749999999999999,0.22499999999999998,6.099182228787181,2.342189719991711,2.0462488714090172,1.641095982570506,1.31263512472641,0.3840170095159551,0.8736477894780696,0.335495611485593,0.8020021442653118,0.6414836157356307,0.19671369423951876,0.03749999999999998,0.0073767635339819495,0.007678407396600467,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,8,0.6749999999999999,0.22499999999999998,5.470118590840522,1.9337763102723762,2.0701163639018634,1.5618924697754974,1.2983141062348016,0.3535163412198049,1.07050456296586,0.3784408563587971,0.7544950114937312,0.6271696262463582,0.2800115980132121,0.03750000000000003,0.010500434925495464,0.010929809099618014,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,9,0.75,0.25,5.692207122041916,1.9409617391086629,2.111443920662075,1.5365254275024605,1.2661923813086355,0.34098578943002317,1.0878338702501686,0.3709358910159712,0.7277131125607446,0.5996808008576434,0.33257429311812087,0.03749999999999998,0.012471535991929525,0.012981510626748922,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,9,0.75,0.25,6.346810941076736,2.3494975921786416,2.0952437602878584,1.6172272576498197,1.2829210112841218,0.3701855331742479,0.8917837444323495,0.33012544090881657,0.7718563769533118,0.6123015544061879,0.2444850677547259,0.03750000000000003,0.00916819004080223,0.009543087276478616,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
