case,frequency_index,omega,wavenumber,q3_real,q3_imag,F3_real,F3_imag,A33,B33,A35,B35,q5_real,q5_imag,F5_real,F5_imag,A53,B53,A55,B55
fn226,2,13.4712,1.9724233726607707,0.16895914215877217,0.6836208834872862,-781.1596277883217,-4615.048930346591,55.870575440138296,403.42580556214193,10.672321925165678,-446.0129635080459,-0.6351582671993804,0.40960462728863206,910.7021613192464,-544.4106438329346,2.2390866283419992,72.3597303013067,7.4359118365528465,45.04757453686376
fn226,3,11.899999999999999,1.699474065203633,0.45290624218973374,1.0150315132267482,-852.558445058301,-4737.348464502036,55.76346772648604,411.32868074392997,13.761303298716797,-444.93538767616957,-0.8156719771693588,0.8662783004625704,761.4902817708712,-534.638311676263,2.2554128046022988,71.68650347529494,7.9350158925083285,45.22264980027975
fn226,4,10.4354,1.4490688740302793,1.4127399742507625,1.1277248183545665,-897.925203702714,-4807.369285023523,55.67104324868211,418.0219372881637,18.01722087775579,-443.94599182107044,-0.4772950916942778,1.9912099773202039,622.0091472261479,-515.7877845854156,2.269021582364622,71.12303317449397,8.614760736676011,45.36285131036432
fn226,5,9.0582,1.217886762397776,1.7556603685048275,-0.3587556894004527,-917.9209215147393,-4836.732822026126,55.591986882497174,423.66182804921624,24.07592069658252,-443.0583182101942,1.354260822040618,1.8510826846157251,493.84897041276326,-490.97360974793196,2.280350729872063,70.6526946439069,9.574868046091899,45.474953607457174
fn226,6,7.7676,1.0058477978268834,0.7951605976181165,-0.7134066615920315,-913.3881536904679,-4834.952713742694,55.5258398750201,428.32444463678496,32.95027676960023,-442.287603105102,1.4307535763125554,0.7948506168316668,379.0683805114239,-463.0621936710785,2.2896310618670968,70.2667390048459,10.973962435293828,45.563317140376775
fn226,7,6.579,0.815459919282888,0.3501784737404077,-0.5714791488206996,-886.4349472473605,-4811.207474434878,55.472471510434865,432.0509933797975,46.187669433136136,-441.64787721392537,1.1313818139141065,0.5319132362125139,280.02932494879536,-434.88167677054275,2.2969973037963998,69.96003947055064,13.054306006555295,45.63106314221762
fn282,0,24.394999999999996,3.259369285811095,0.0352587721268796,0.12055068280502293,-1138.0931283857894,-3515.3066335963586,49.62757639696606,348.0911718575602,0.5540739918086005,-517.3886205315622,-0.14271854882556453,0.07634070175125116,999.366883642418,-456.47504592046516,-1.6579816060549641,65.06445296024232,4.4849320933266075,65.4076943828303
fn282,1,19.842000000000002,2.5765761955073043,0.07318954628023079,0.21228046194487796,-1324.2404701892501,-3954.098245025397,49.23869432466153,370.24596338069273,2.5009796385397207,-515.5750369658065,-0.19328747570277852,0.14420246780875814,800.3797031820803,-391.6971885392725,-1.518715861700005,60.45574545382808,4.767250920571682,64.9282619608182
fn282,2,15.739,1.972352449722844,0.19185271845254018,0.3723311039865927,-1388.9629573561922,-4186.354603379553,48.89585185655416,389.1482794388351,6.037909084737645,-513.2551224479702,-0.2516015739814991,0.33972395421655543,590.6160282266496,-305.94186400817455,-1.3989876639851442,56.29604167328186,5.216439679461628,64.31486495820462
fn282,3,13.855,1.699561077017637,0.3601546807293516,0.45407580937485376,-1378.4661239422921,-4240.278413180318,48.74951837719658,397.10002713243205,8.861126517347369,-512.1003898135997,-0.22026566643708145,0.5725527239357873,491.2051601491571,-261.0587265979692,-1.3484604083794167,54.49277379431123,5.553024434145149,64.00736443768814
fn282,4,12.10175,1.4490576404202546,0.6324561276910721,0.3706102719428291,-1343.1375601835107,-4261.975989802474,48.62324316767361,403.9197160195956,12.791415187610923,-511.0345345700073,0.04866746227471369,0.8695981621509538,399.73054628989894,-217.9464948495712,-1.30507210838586,52.923475200286,6.008272240874109,63.722185152878495
fn282,5,10.45775,1.2177445115034398,0.691080072478139,0.02859351603827664,-1285.9268113420608,-4258.972952179296,48.5155809979914,409.7081107274799,18.44483045764072,-510.0785366936407,0.5208432440209227,0.8450853785966062,316.5215253296766,-177.57909864136104,-1.2682133598904777,51.57594026817717,6.6503792876139505,63.46533189688372
fn282,6,8.9245,1.005871738114929,0.4648861401952689,-0.15843164266035611,-1209.9849595186347,-4237.618848149197,48.42611787282359,414.50218323839374,26.8041272905194,-509.2529045722161,0.6910308179546898,0.5977394690078703,242.51540279649743,-141.08532365633053,-1.2376680396448159,50.4495782105313,7.5878019967580155,63.242721978201104
fn282,7,7.516249999999999,0.8153892471582603,0.2677863925859056,-0.17471500801178122,-1119.4018921267837,-4204.085237029633,48.35438972832287,418.33663299345324,39.43871424046468,-508.57137743660064,0.6553984506465927,0.4795801743701818,178.72331699103864,-109.49345751806771,-1.2132270449456481,49.54221296820622,8.993706776006253,63.058438503094195
