case,omega,component,absolute_difference,tolerance,passed
fn167,6.5604,B53,5.551115123125783e-17,2.241802963430611e-09,True
fn167,6.5604,B55,8.673617379884035e-17,3.7796967759403e-10,True
fn167,6.5604,F3,2.0816681711721685e-17,7.106366016065702e-09,True
fn167,6.5604,F5,7.850462293418876e-17,9.049957765438079e-10,True
fn167,5.601,A33,5.551115123125783e-17,3.299156118000452e-09,True
fn167,5.601,A35,4.85722573273506e-17,6.52923817094494e-10,True
fn167,5.601,A53,5.898059818321144e-17,2.97082425747836e-10,True
fn167,5.601,A55,4.85722573273506e-17,4.36688969032875e-10,True
fn167,5.601,B33,2.7755575615628914e-17,2.32511110177777e-09,True
fn167,5.601,B35,5.551115123125783e-17,2.168874157492776e-09,True
fn167,5.601,B53,0.0,2.407575647604877e-09,True
fn167,5.601,B55,2.7755575615628914e-17,4.3751661072036404e-10,True
fn167,5.601,F3,7.632783294297951e-17,7.149298200118231e-09,True
fn167,5.601,F5,7.244417918960238e-17,8.434203355444005e-10,True
fn226,20.646,A33,5.551115123125783e-17,1.890912470756398e-09,True
fn226,20.646,A35,8.413408858487514e-17,1.32290180251758e-10,True
fn226,20.646,A53,6.407634839389331e-17,1.08144448280393e-10,True
fn226,20.646,A55,9.71445146547012e-17,1.73208065480991e-10,True
fn226,20.646,B33,1.1102230246251565e-16,3.491192736161266e-09,True
fn226,20.646,B35,1.1102230246251565e-16,1.770697148478978e-09,True
fn226,20.646,B53,2.7755575615628914e-17,1.7046080349141583e-09,True
fn226,20.646,B55,3.312237636943216e-17,1.02486670669886e-10,True
fn226,20.646,F3,6.546139416680338e-17,4.195117376596674e-09,True
fn226,20.646,F5,3.1031676915590914e-17,1.0936419259530388e-09,True
fn226,16.8796,A33,0.0,2.012029704599634e-09,True
fn226,16.8796,A35,7.19910242530375e-17,1.64502350665117e-10,True
fn226,16.8796,A53,4.336808689942018e-18,1.26628224446681e-10,True
fn226,16.8796,A55,5.0306980803327406e-17,1.81353838212148e-10,True
fn226,16.8796,B33,1.6653345369377348e-16,3.4893799943816683e-09,True
fn226,16.8796,B35,8.326672684688674e-17,1.8004315646219102e-09,True
fn226,16.8796,B53,0.0,1.768309778591482e-09,True
fn226,16.8796,B55,2.710505431213761e-17,1.18102333805163e-10,True
fn226,16.8796,F3,1.6199010924212654e-16,5.181064030303276e-09,True
fn226,16.8796,F5,1.3738309013483032e-16,9.737734981011917e-10,True
fn226,13.4712,A33,2.7755575615628914e-17,2.162747662047833e-09,True
fn226,13.4712,A35,4.163336342344337e-17,2.0576988382950602e-10,True
fn226,13.4712,A53,1.3010426069826053e-17,1.68240341297577e-10,True
fn226,13.4712,A55,1.734723475976807e-18,1.99744943835548e-10,True
fn226,13.4712,B33,5.551115123125783e-17,2.984378550243002e-09,True
fn226,13.4712,B35,2.7755575615628914e-17,1.955709758707327e-09,True
fn226,13.4712,B53,5.551115123125783e-17,1.9501084275072112e-09,True
fn226,13.4712,B55,6.158268339717665e-17,1.6890000062322e-10,True
fn226,13.4712,F3,1.3877787807814457e-17,5.811081179730489e-09,True
fn226,13.4712,F5,8.092071311423672e-17,8.1397211720063e-10,True
fn226,11.9,A33,8.326672684688674e-17,2.239789215558213e-09,True
fn226,11.9,A35,4.683753385137379e-17,2.27234933075888e-10,True
fn226,11.9,A53,6.938893903907228e-18,1.89194191614209e-10,True
fn226,11.9,A55,8.673617379884035e-18,2.1695600371744502e-10,True
fn226,11.9,B33,0.0,2.6139628538858588e-09,True
fn226,11.9,B35,2.7755575615628914e-17,2.0642571012269222e-09,True
fn226,11.9,B53,8.326672684688674e-17,2.066698591524265e-09,True
fn226,11.9,B55,4.336808689942018e-17,2.0132836664501002e-10,True
fn226,11.9,F3,6.938893903907228e-17,6.0049865028891794e-09,True
fn226,11.9,F5,4.163336342344337e-17,7.309110814775837e-10,True
fn226,10.4354,A33,8.326672684688674e-17,2.3124791112940193e-09,True
fn226,10.4354,A35,1.5612511283791264e-17,2.47673123194458e-10,True
fn226,10.4354,A53,1.9081958235744878e-17,2.0884054046858102e-10,True
fn226,10.4354,A55,9.71445146547012e-17,2.42924900284039e-10,True
fn226,10.4354,B33,5.551115123125783e-17,2.215913866541511e-09,True
fn226,10.4354,B35,2.7755575615628914e-17,2.1800185114683964e-09,True
fn226,10.4354,B53,5.551115123125783e-17,2.1871238939945924e-09,True
fn226,10.4354,B55,3.2959746043559335e-17,2.34939275291615e-10,True
fn226,10.4354,F3,0.0,6.1291143298600685e-09,True
fn226,10.4354,F5,9.257639144254436e-17,6.517286544779619e-10,True
fn226,9.0582,A33,2.7755575615628914e-17,2.379205844595656e-09,True
fn226,9.0582,A35,2.0816681711721685e-17,2.6657431241089804e-10,True
fn226,9.0582,A53,3.469446951953614e-17,2.2679290375818602e-10,True
fn226,9.0582,A55,7.632783294297951e-17,2.8241945294853e-10,True
fn226,9.0582,B33,5.551115123125783e-17,1.8163858163852312e-09,True
fn226,9.0582,B35,2.7755575615628914e-17,2.295948155784873e-09,True
fn226,9.0582,B53,8.326672684688674e-17,2.305065627516856e-09,True
fn226,9.0582,B55,9.71445146547012e-17,2.6799678018835097e-10,True
fn226,9.0582,F3,1.3877787807814457e-17,6.196743197911286e-09,True
fn226,9.0582,F5,8.069727767687918e-17,5.782202055525196e-10,True
fn226,7.7676,A33,2.7755575615628914e-17,2.4382495956612543e-09,True
fn226,7.7676,A35,1.3877787807814457e-17,2.83399632845231e-10,True
fn226,7.7676,A53,3.9898639947466563e-17,2.42624497348215e-10,True
fn226,7.7676,A55,7.979727989493313e-17,3.4296426830083404e-10,True
fn226,7.7676,B33,0.0,1.439501864234391e-09,True
fn226,7.7676,B35,2.7755575615628914e-17,2.40529963635848e-09,True
fn226,7.7676,B53,5.551115123125783e-17,2.414526174993973e-09,True
fn226,7.7676,B55,0.0,2.98802886114672e-10,True
fn226,7.7676,F3,2.7755575615628914e-17,6.218744424174215e-09,True
fn226,7.7676,F5,7.424940717479475e-17,5.125014087425756e-10,True
fn226,6.579,A33,5.551115123125783e-17,2.488013650066331e-09,True
fn226,6.579,A35,4.85722573273506e-17,2.97647889099982e-10,True
fn226,6.579,A53,8.673617379884035e-17,2.55934489168978e-10,True
fn226,6.579,A55,0.0,4.35973081391295e-10,True
fn226,6.579,B33,1.249000902703301e-16,1.1067581153468341e-09,True
fn226,6.579,B35,5.551115123125783e-17,2.501919813951992e-09,True
fn226,6.579,B53,5.551115123125783e-17,2.510096968162501e-09,True
fn226,6.579,B55,9.71445146547012e-17,3.25796007841193e-10,True
fn226,6.579,F3,1.1857187100668868e-16,6.206033395978363e-09,True
fn226,6.579,F5,7.219451441763396e-17,4.5682995191479227e-10,True
fn282,24.395,A33,0.0,1.7128654944953081e-09,True
fn282,24.395,A35,1.2576745200831851e-17,1.25584681521644e-10,True
fn282,24.395,A53,1.734723475976807e-17,1.57441800454164e-10,True
fn282,24.395,A55,4.683753385137379e-17,1.55719082273518e-10,True
fn282,24.395,B33,8.326672684688674e-17,2.307024534798516e-09,True
fn282,24.395,B35,2.7755575615628914e-17,2.141193444508835e-09,True
fn282,24.395,B53,5.551115123125783e-17,1.9544008098140517e-09,True
fn282,24.395,B55,1.5937771935536915e-17,1.08513821492713e-10,True
fn282,24.395,F3,6.206335383118183e-17,4.49899917869364e-09,True
fn282,24.395,F5,6.736447455048117e-17,8.21996687564169e-10,True
fn282,19.842,A33,5.551115123125783e-17,1.7771151751412e-09,True
fn282,19.842,A35,6.136584296267955e-17,1.1222536159120801e-10,True
fn282,19.842,A53,2.862293735361732e-17,1.7581532006603999e-10,True
fn282,19.842,A55,9.71445146547012e-17,1.66980666351459e-10,True
fn282,19.842,B33,2.7755575615628914e-17,2.059276716390129e-09,True
fn282,19.842,B35,1.1102230246251565e-16,2.202011251726716e-09,True
fn282,19.842,B53,1.1102230246251565e-16,2.053995406379532e-09,True
fn282,19.842,B55,4.336808689942018e-17,1.3013342845564301e-10,True
fn282,19.842,F3,1.2412670766236366e-16,5.1256738942600375e-09,True
fn282,19.842,F5,1.2738115944464653e-16,6.976895980298046e-10,True
fn282,15.739,A33,8.326672684688674e-17,1.843964632138701e-09,True
fn282,15.739,A35,3.7730235602495554e-17,1.02179041766624e-10,True
fn282,15.739,A53,7.45931094670027e-17,1.9449641933636202e-10,True
fn282,15.739,A55,4.5102810375396984e-17,1.89193991374386e-10,True
fn282,15.739,B33,2.7755575615628914e-17,1.62169282404207e-09,True
fn282,15.739,B35,8.326672684688674e-17,2.301189870259182e-09,True
fn282,15.739,B53,0.0,2.19629742369277e-09,True
fn282,15.739,B55,8.326672684688674e-17,1.6076707835646902e-10,True
fn282,15.739,F3,8.326672684688674e-17,5.47313054124718e-09,True
fn282,15.739,F5,5.605063087764203e-17,5.576111195334779e-10,True
fn282,13.855,A33,5.551115123125783e-17,1.875099746564407e-09,True
fn282,13.855,A35,9.042246118529107e-17,1.0902128948456701e-10,True
fn282,13.855,A53,8.673617379884035e-17,2.0310770439210398e-10,True
fn282,13.855,A55,3.122502256758253e-17,2.0784376027882002e-10,True
fn282,13.855,B33,0.0,1.377232335493215e-09,True
fn282,13.855,B35,5.551115123125783e-17,2.356280556351772e-09,True
fn282,13.855,B53,5.551115123125783e-17,2.271454464575693e-09,True
fn282,13.855,B55,3.2959746043559335e-17,1.77090623616529e-10,True
fn282,13.855,F3,0.0,5.558614384392234e-09,True
fn282,13.855,F5,1.9081958235744878e-17,4.886843080660694e-10,True
fn282,12.10175,A33,1.6653345369377348e-16,1.9031363641436877e-09,True
fn282,12.10175,A35,5.442694905877232e-17,1.15243739571119e-10,True
fn282,12.10175,A53,4.163336342344337e-17,2.10826286121896e-10,True
fn282,12.10175,A55,7.112366251504909e-17,2.34484430876937e-10,True
fn282,12.10175,B33,1.3877787807814457e-17,1.1398395695514382e-09,True
fn282,12.10175,B35,1.3877787807814457e-16,2.409865685569808e-09,True
fn282,12.10175,B53,8.326672684688674e-17,2.342935412674936e-09,True
fn282,12.10175,B55,9.8879238130678e-17,1.9271742119264598e-10,True
fn282,12.10175,F3,1.1443916996305594e-16,5.596454967109552e-09,True
fn282,12.10175,F5,7.22986461815744e-17,4.2390223401398275e-10,True
fn282,10.45775,A33,1.1102230246251565e-16,1.927863868330768e-09,True
fn282,10.45775,A35,6.895525817007808e-17,1.20775356120577e-10,True
fn282,10.45775,A53,7.112366251504909e-17,2.17610136960903e-10,True
fn282,10.45775,A55,5.551115123125783e-17,2.73518804480236e-10,True
fn282,10.45775,B33,2.7755575615628914e-17,9.18606775864192e-10,True
fn282,10.45775,B35,0.0,2.459933808930282e-09,True
fn282,10.45775,B53,0.0,2.408605160760441e-09,True
fn282,10.45775,B55,3.8163916471489756e-17,2.07157916756856e-10,True
fn282,10.45775,F3,2.7755575615628914e-17,5.59666119502661e-09,True
fn282,10.45775,F5,5.1577036902917074e-17,3.6382893234397246e-10,True
fn282,8.9245,A33,5.551115123125783e-17,1.9489706205311228e-09,True
fn282,8.9245,A35,9.974659986866641e-18,1.25526858595112e-10,True
fn282,8.9245,A53,2.2551405187698492e-17,2.23385289174851e-10,True
fn282,8.9245,A55,7.632783294297951e-17,3.31960543362882e-10,True
fn282,8.9245,B33,6.938893903907228e-18,7.2186778807025e-10,True
fn282,8.9245,B35,5.551115123125783e-17,2.504581124815437e-09,True
fn282,8.9245,B53,1.1102230246251565e-16,2.466414848368772e-09,True
fn282,8.9245,B55,1.734723475976807e-17,2.1993340647219698e-10,True
fn282,8.9245,F3,0.0,5.567882329880352e-09,True
fn282,8.9245,F5,8.716877585302702e-17,3.094294245892773e-10,True
fn282,7.516249999999999,A33,2.7755575615628914e-17,1.966250908870255e-09,True
fn282,7.516249999999999,A35,8.326672684688674e-17,1.2943617415919501e-10,True
fn282,7.516249999999999,A53,8.153200337090993e-17,2.2810398819188302e-10,True
fn282,7.516249999999999,A55,1.3877787807814457e-17,4.2098944208756005e-10,True
fn282,7.516249999999999,B33,2.7755575615628914e-17,5.55815704817339e-10,True
fn282,7.516249999999999,B35,8.326672684688674e-17,2.5423585706569422e-09,True
fn282,7.516249999999999,B53,8.326672684688674e-17,2.514854135376833e-09,True
fn282,7.516249999999999,B55,4.5102810375396984e-17,2.30681639913848e-10,True
fn282,7.516249999999999,F3,5.551115123125783e-17,5.518903859064284e-09,True
fn282,7.516249999999999,F5,8.310846362636978e-17,2.6172050413413637e-10,True
