a1_inner_candidate_name,potential_name,pass_rows,fail_rows,max_total_relative_residual,min_total_relative_residual,finest_panel_count,finest_panel_total_relative_residual,finest_panel_body_relative_residual,finest_panel_free_relative_residual,finest_panel_control_relative_residual,inner_a_scale,inner_b_scale,inner_diagonal_sign,diagnostic_conclusion,gate_role
normalize_b_only_by_2pi,linear_z,0,3,1.322229124521484,1.3149850048792275,264,1.322229124521484,2.0375483797243272,0.6966326703314961,2.3706202208227483,1.0,0.15915494309189535,-1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
normalize_b_only_by_2pi,quadratic_y2_minus_z2,0,3,1.5476021291834865,1.5322786469272711,264,1.5322786469272711,11.844816316715056,1.0564807712722508,9.605825826938773,1.0,0.15915494309189535,-1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
positive_eq23_self_term,cross_yz,0,3,1.5882889849470565,1.5879410897104167,264,1.5882889849470565,3.248586177456634,1.1587714946710292,3.011130779738059,1.0,1.0,1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
positive_eq23_self_term,linear_y,0,3,1.7784680137088047,1.7768719330683822,264,1.7768719330683822,6.114660448644746,1.2471557641652458,6.245993682189756,1.0,1.0,1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
positive_eq23_self_term,linear_z,0,3,2.200530220841902,2.197484372989447,264,2.197484372989447,3.265983382622788,1.4571858233880315,3.1843816899221276,1.0,1.0,1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
positive_eq23_self_term,quadratic_y2_minus_z2,0,3,2.073411905719851,2.071666213163195,264,2.071666213163195,2.259532518104947,1.4565061028363795,7.109737493689379,1.0,1.0,1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
raw_eq25_default,cross_yz,3,0,0.042328129412928316,0.010876432915483507,264,0.010876432915483507,0.009176151334774667,0.014231973032383183,0.00935239776264658,1.0,1.0,-1.0,mixed_boundary_identity_within_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
raw_eq25_default,linear_y,3,0,0.061261100277101965,0.016017599003051525,264,0.016017599003051525,0.01748756698461093,0.014727933082958803,0.017863172259541496,1.0,1.0,-1.0,mixed_boundary_identity_within_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
raw_eq25_default,linear_z,3,0,0.02691980923716658,0.006966067803002266,264,0.006966067803002266,0.006288916924797613,0.007814996029728776,0.00853327786436072,1.0,1.0,-1.0,mixed_boundary_identity_within_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
raw_eq25_default,quadratic_y2_minus_z2,3,0,0.027952242004780452,0.007162014640841339,264,0.007162014640841339,0.0049356922562064105,0.010982500450381598,0.026473440200479037,1.0,1.0,-1.0,mixed_boundary_identity_within_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
reverse_a_operator,cross_yz,0,3,1.7293609148830231,1.7277201532230992,264,1.7277201532230992,1.8689033899309033,1.7018860612276971,1.2043314790431252,-1.0,1.0,-1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
reverse_a_operator,linear_y,0,3,2.389621735355112,2.3806983949071623,264,2.389621735355112,2.282811837997322,2.1810419168431694,3.231222695755313,-1.0,1.0,-1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
reverse_a_operator,linear_z,0,3,2.6947691919802836,2.681345928828549,264,2.6947691919802836,3.069605923549013,1.551318609738262,5.425961573920664,-1.0,1.0,-1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
reverse_a_operator,quadratic_y2_minus_z2,0,3,2.185428670847489,2.181288978064332,264,2.181288978064332,2.099268745740385,1.7501840198001377,17.467833116761703,-1.0,1.0,-1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
reverse_b_operator,cross_yz,0,3,1.7293609148830231,1.7277201532230992,264,1.7277201532230992,1.8689033899309033,1.7018860612276971,1.2043314790431252,1.0,-1.0,-1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
reverse_b_operator,linear_y,0,3,2.389621735355112,2.3806983949071623,264,2.389621735355112,2.282811837997322,2.1810419168431694,3.231222695755313,1.0,-1.0,-1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
reverse_b_operator,linear_z,0,3,2.6947691919802836,2.681345928828549,264,2.6947691919802836,3.069605923549013,1.551318609738262,5.425961573920664,1.0,-1.0,-1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
reverse_b_operator,quadratic_y2_minus_z2,0,3,2.185428670847489,2.181288978064332,264,2.181288978064332,2.099268745740385,1.7501840198001377,17.467833116761703,1.0,-1.0,-1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
