station_id,x_m,point_order,y_m,z_down_m,feature,source,table_x,waterline_z_table,scale_m
S06,0.450000,5,0.000000,0.070500,keel,B2.md TABLE OF OFFSETS,-10.500,1.500,0.100
S06,0.450000,6,-0.030000,0.067300,wetted_offset,B2.md TABLE OF OFFSETS,-10.500,1.500,0.100
S06,0.450000,7,-0.060000,0.059100,wetted_offset,B2.md TABLE OF OFFSETS,-10.500,1.500,0.100
S06,0.450000,8,-0.090000,0.040200,wetted_offset,B2.md TABLE OF OFFSETS,-10.500,1.500,0.100
S06,0.450000,9,-0.106600,0.020000,wetted_offset,B2.md TABLE OF OFFSETS,-10.500,1.500,0.100
S06,0.450000,10,-0.115700,0.000000,waterline,B2.md TABLE OF OFFSETS,-10.500,1.500,0.100
S07,0.600000,0,0.117000,0.000000,waterline,B2.md TABLE OF OFFSETS,-9.000,1.500,0.100
S07,0.600000,1,0.110400,0.020000,wetted_offset,B2.md TABLE OF OFFSETS,-9.000,1.500,0.100
S07,0.600000,2,0.098700,0.040000,wetted_offset,B2.md TABLE OF OFFSETS,-9.000,1.500,0.100
S07,0.600000,3,0.080800,0.060000,wetted_offset,B2.md TABLE OF OFFSETS,-9.000,1.500,0.100
S07,0.600000,4,0.060000,0.074300,wetted_offset,B2.md TABLE OF OFFSETS,-9.000,1.500,0.100
S07,0.600000,5,0.030000,0.085500,wetted_offset,B2.md TABLE OF OFFSETS,-9.000,1.500,0.100
S07,0.600000,6,0.000000,0.090000,keel,B2.md TABLE OF OFFSETS,-9.000,1.500,0.100
S07,0.600000,7,-0.030000,0.085500,wetted_offset,B2.md TABLE OF OFFSETS,-9.000,1.500,0.100
S07,0.600000,8,-0.060000,0.074300,wetted_offset,B2.md TABLE OF OFFSETS,-9.000,1.500,0.100
S07,0.600000,9,-0.080800,0.060000,wetted_offset,B2.md TABLE OF OFFSETS,-9.000,1.500,0.100
S07,0.600000,10,-0.098700,0.040000,wetted_offset,B2.md TABLE OF OFFSETS,-9.000,1.500,0.100
S07,0.600000,11,-0.110400,0.020000,wetted_offset,B2.md TABLE OF OFFSETS,-9.000,1.500,0.100
S07,0.600000,12,-0.117000,0.000000,waterline,B2.md TABLE OF OFFSETS,-9.000,1.500,0.100
S08,0.750000,0,0.118000,0.000000,waterline,B2.md TABLE OF OFFSETS,-7.500,1.500,0.100
S08,0.750000,1,0.115700,0.010000,wetted_offset,B2.md TABLE OF OFFSETS,-7.500,1.500,0.100
S08,0.750000,2,0.108400,0.030000,wetted_offset,B2.md TABLE OF OFFSETS,-7.500,1.500,0.100
S08,0.750000,3,0.096900,0.050000,wetted_offset,B2.md TABLE OF OFFSETS,-7.500,1.500,0.100
S08,0.750000,4,0.080500,0.070000,wetted_offset,B2.md TABLE OF OFFSETS,-7.500,1.500,0.100
S08,0.750000,5,0.060000,0.086800,wetted_offset,B2.md TABLE OF OFFSETS,-7.500,1.500,0.100
S08,0.750000,6,0.030000,0.101100,wetted_offset,B2.md TABLE OF OFFSETS,-7.500,1.500,0.100
S08,0.750000,7,0.000000,0.107100,keel,B2.md TABLE OF OFFSETS,-7.500,1.500,0.100
S08,0.750000,8,-0.030000,0.101100,wetted_offset,B2.md TABLE OF OFFSETS,-7.500,1.500,0.100
S08,0.750000,9,-0.060000,0.086800,wetted_offset,B2.md TABLE OF OFFSETS,-7.500,1.500,0.100
S08,0.750000,10,-0.080500,0.070000,wetted_offset,B2.md TABLE OF OFFSETS,-7.500,1.500,0.100
S08,0.750000,11,-0.096900,0.050000,wetted_offset,B2.md TABLE OF OFFSETS,-7.500,1.500,0.100
S08,0.750000,12,-0.108400,0.030000,wetted_offset,B2.md TABLE OF OFFSETS,-7.500,1.500,0.100
S08,0.750000,13,-0.115700,0.010000,wetted_offset,B2.md TABLE OF OFFSETS,-7.500,1.500,0.100
S08,0.750000,14,-0.118000,0.000000,waterline,B2.md TABLE OF OFFSETS,-7.500,1.500,0.100
S09,0.900000,0,0.118600,0.000000,waterline,B2.md TABLE OF OFFSETS,-6.000,1.500,0.100
S09,0.900000,1,0.113800,0.020000,wetted_offset,B2.md TABLE OF OFFSETS,-6.000,1.500,0.100
S09,0.900000,2,0.105700,0.040000,wetted_offset,B2.md TABLE OF OFFSETS,-6.000,1.500,0.100
S09,0.900000,3,0.093800,0.060000,wetted_offset,B2.md TABLE OF OFFSETS,-6.000,1.500,0.100
S09,0.900000,4,0.078000,0.080000,wetted_offset,B2.md TABLE OF OFFSETS,-6.000,1.500,0.100
S09,0.900000,5,0.055300,0.100000,wetted_offset,B2.md TABLE OF OFFSETS,-6.000,1.500,0.100
S09,0.900000,6,0.030000,0.113900,wetted_offset,B2.md TABLE OF OFFSETS,-6.000,1.500,0.100
S09,0.900000,7,0.012400,0.120000,wetted_offset,B2.md TABLE OF OFFSETS,-6.000,1.500,0.100
S09,0.900000,8,0.000000,0.121600,keel,B2.md TABLE OF OFFSETS,-6.000,1.500,0.100
S09,0.900000,9,-0.012400,0.120000,wetted_offset,B2.md TABLE OF OFFSETS,-6.000,1.500,0.100
S09,0.900000,10,-0.030000,0.113900,wetted_offset,B2.md TABLE OF OFFSETS,-6.000,1.500,0.100
S09,0.900000,11,-0.055300,0.100000,wetted_offset,B2.md TABLE OF OFFSETS,-6.000,1.500,0.100
S09,0.900000,12,-0.078000,0.080000,wetted_offset,B2.md TABLE OF OFFSETS,-6.000,1.500,0.100
S09,0.900000,13,-0.093800,0.060000,wetted_offset,B2.md TABLE OF OFFSETS,-6.000,1.500,0.100
S09,0.900000,14,-0.105700,0.040000,wetted_offset,B2.md TABLE OF OFFSETS,-6.000,1.500,0.100
S09,0.900000,15,-0.113800,0.020000,wetted_offset,B2.md TABLE OF OFFSETS,-6.000,1.500,0.100
S09,0.900000,16,-0.118600,0.000000,waterline,B2.md TABLE OF OFFSETS,-6.000,1.500,0.100
S10,1.050000,0,0.118700,0.000000,waterline,B2.md TABLE OF OFFSETS,-4.500,1.500,0.100
S10,1.050000,1,0.114300,0.020000,wetted_offset,B2.md TABLE OF OFFSETS,-4.500,1.500,0.100
S10,1.050000,2,0.106700,0.040000,wetted_offset,B2.md TABLE OF OFFSETS,-4.500,1.500,0.100
S10,1.050000,3,0.096000,0.060000,wetted_offset,B2.md TABLE OF OFFSETS,-4.500,1.500,0.100
S10,1.050000,4,0.081700,0.080000,wetted_offset,B2.md TABLE OF OFFSETS,-4.500,1.500,0.100
S10,1.050000,5,0.063800,0.100000,wetted_offset,B2.md TABLE OF OFFSETS,-4.500,1.500,0.100
S10,1.050000,6,0.052100,0.110000,wetted_offset,B2.md TABLE OF OFFSETS,-4.500,1.500,0.100
S10,1.050000,7,0.030000,0.124000,wetted_offset,B2.md TABLE OF OFFSETS,-4.500,1.500,0.100
S10,1.050000,8,0.016300,0.130000,wetted_offset,B2.md TABLE OF OFFSETS,-4.500,1.500,0.100
S10,1.050000,9,0.000000,0.133100,keel,B2.md TABLE OF OFFSETS,-4.500,1.500,0.100
S10,1.050000,10,-0.016300,0.130000,wetted_offset,B2.md TABLE OF OFFSETS,-4.500,1.500,0.100
S10,1.050000,11,-0.030000,0.124000,wetted_offset,B2.md TABLE OF OFFSETS,-4.500,1.500,0.100
S10,1.050000,12,-0.052100,0.110000,wetted_offset,B2.md TABLE OF OFFSETS,-4.500,1.500,0.100
S10,1.050000,13,-0.063800,0.100000,wetted_offset,B2.md TABLE OF OFFSETS,-4.500,1.500,0.100
S10,1.050000,14,-0.081700,0.080000,wetted_offset,B2.md TABLE OF OFFSETS,-4.500,1.500,0.100
S10,1.050000,15,-0.096000,0.060000,wetted_offset,B2.md TABLE OF OFFSETS,-4.500,1.500,0.100
S10,1.050000,16,-0.106700,0.040000,wetted_offset,B2.md TABLE OF OFFSETS,-4.500,1.500,0.100
S10,1.050000,17,-0.114300,0.020000,wetted_offset,B2.md TABLE OF OFFSETS,-4.500,1.500,0.100
S10,1.050000,18,-0.118700,0.000000,waterline,B2.md TABLE OF OFFSETS,-4.500,1.500,0.100
S11,1.200000,0,0.118700,0.000000,waterline,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,1,0.113800,0.020000,wetted_offset,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,2,0.106700,0.040000,wetted_offset,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,3,0.096300,0.060000,wetted_offset,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,4,0.083000,0.080000,wetted_offset,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,5,0.067000,0.100000,wetted_offset,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,6,0.045900,0.120000,wetted_offset,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,7,0.030000,0.131100,wetted_offset,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,8,0.020000,0.136400,wetted_offset,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,9,0.010000,0.140100,wetted_offset,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,10,0.000000,0.141500,keel,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,11,-0.010000,0.140100,wetted_offset,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,12,-0.020000,0.136400,wetted_offset,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,13,-0.030000,0.131100,wetted_offset,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,14,-0.045900,0.120000,wetted_offset,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,15,-0.067000,0.100000,wetted_offset,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,16,-0.083000,0.080000,wetted_offset,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,17,-0.096300,0.060000,wetted_offset,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,18,-0.106700,0.040000,wetted_offset,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,19,-0.113800,0.020000,wetted_offset,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S11,1.200000,20,-0.118700,0.000000,waterline,B2.md TABLE OF OFFSETS,-3.000,1.500,0.100
S12,1.350000,0,0.116800,0.000000,waterline,B2.md TABLE OF OFFSETS,-1.500,1.500,0.100
S12,1.350000,1,0.109100,0.030000,wetted_offset,B2.md TABLE OF OFFSETS,-1.500,1.500,0.100
S12,1.350000,2,0.094900,0.060000,wetted_offset,B2.md TABLE OF OFFSETS,-1.500,1.500,0.100
S12,1.350000,3,0.074700,0.090000,wetted_offset,B2.md TABLE OF OFFSETS,-1.500,1.500,0.100
S12,1.350000,4,0.048500,0.120000,wetted_offset,B2.md TABLE OF OFFSETS,-1.500,1.500,0.100
S12,1.350000,5,0.030000,0.135200,wetted_offset,B2.md TABLE OF OFFSETS,-1.500,1.500,0.100
S12,1.350000,6,0.020000,0.141100,wetted_offset,B2.md TABLE OF OFFSETS,-1.500,1.500,0.100
S12,1.350000,7,0.010000,0.145200,wetted_offset,B2.md TABLE OF OFFSETS,-1.500,1.500,0.100
S12,1.350000,8,0.000000,0.146600,keel,B2.md TABLE OF OFFSETS,-1.500,1.500,0.100
S12,1.350000,9,-0.010000,0.145200,wetted_offset,B2.md TABLE OF OFFSETS,-1.500,1.500,0.100
S12,1.350000,10,-0.020000,0.141100,wetted_offset,B2.md TABLE OF OFFSETS,-1.500,1.500,0.100
S12,1.350000,11,-0.030000,0.135200,wetted_offset,B2.md TABLE OF OFFSETS,-1.500,1.500,0.100
S12,1.350000,12,-0.048500,0.120000,wetted_offset,B2.md TABLE OF OFFSETS,-1.500,1.500,0.100
S12,1.350000,13,-0.074700,0.090000,wetted_offset,B2.md TABLE OF OFFSETS,-1.500,1.500,0.100
S12,1.350000,14,-0.094900,0.060000,wetted_offset,B2.md TABLE OF OFFSETS,-1.500,1.500,0.100
S12,1.350000,15,-0.109100,0.030000,wetted_offset,B2.md TABLE OF OFFSETS,-1.500,1.500,0.100
S12,1.350000,16,-0.116800,0.000000,waterline,B2.md TABLE OF OFFSETS,-1.500,1.500,0.100
S13,1.500000,0,0.114200,0.000000,waterline,B2.md TABLE OF OFFSETS,0.000,1.500,0.100
S13,1.500000,1,0.106100,0.030000,wetted_offset,B2.md TABLE OF OFFSETS,0.000,1.500,0.100
S13,1.500000,2,0.091900,0.060000,wetted_offset,B2.md TABLE OF OFFSETS,0.000,1.500,0.100
S13,1.500000,3,0.072000,0.090000,wetted_offset,B2.md TABLE OF OFFSETS,0.000,1.500,0.100
S13,1.500000,4,0.047900,0.120000,wetted_offset,B2.md TABLE OF OFFSETS,0.000,1.500,0.100
S13,1.500000,5,0.030000,0.136700,wetted_offset,B2.md TABLE OF OFFSETS,0.000,1.500,0.100
S13,1.500000,6,0.020000,0.143400,wetted_offset,B2.md TABLE OF OFFSETS,0.000,1.500,0.100
S13,1.500000,7,0.010000,0.147700,wetted_offset,B2.md TABLE OF OFFSETS,0.000,1.500,0.100
S13,1.500000,8,0.000000,0.149100,keel,B2.md TABLE OF OFFSETS,0.000,1.500,0.100
S13,1.500000,9,-0.010000,0.147700,wetted_offset,B2.md TABLE OF OFFSETS,0.000,1.500,0.100
S13,1.500000,10,-0.020000,0.143400,wetted_offset,B2.md TABLE OF OFFSETS,0.000,1.500,0.100
S13,1.500000,11,-0.030000,0.136700,wetted_offset,B2.md TABLE OF OFFSETS,0.000,1.500,0.100
S13,1.500000,12,-0.047900,0.120000,wetted_offset,B2.md TABLE OF OFFSETS,0.000,1.500,0.100
S13,1.500000,13,-0.072000,0.090000,wetted_offset,B2.md TABLE OF OFFSETS,0.000,1.500,0.100
S13,1.500000,14,-0.091900,0.060000,wetted_offset,B2.md TABLE OF OFFSETS,0.000,1.500,0.100
S13,1.500000,15,-0.106100,0.030000,wetted_offset,B2.md TABLE OF OFFSETS,0.000,1.500,0.100
S13,1.500000,16,-0.114200,0.000000,waterline,B2.md TABLE OF OFFSETS,0.000,1.500,0.100
S14,1.650000,0,0.110000,0.000000,waterline,B2.md TABLE OF OFFSETS,1.500,1.500,0.100
S14,1.650000,1,0.101600,0.030000,wetted_offset,B2.md TABLE OF OFFSETS,1.500,1.500,0.100
S14,1.650000,2,0.087400,0.060000,wetted_offset,B2.md TABLE OF OFFSETS,1.500,1.500,0.100
S14,1.650000,3,0.067900,0.090000,wetted_offset,B2.md TABLE OF OFFSETS,1.500,1.500,0.100
S14,1.650000,4,0.045300,0.120000,wetted_offset,B2.md TABLE OF OFFSETS,1.500,1.500,0.100
S14,1.650000,5,0.030000,0.136100,wetted_offset,B2.md TABLE OF OFFSETS,1.500,1.500,0.100
S14,1.650000,6,0.020000,0.143700,wetted_offset,B2.md TABLE OF OFFSETS,1.500,1.500,0.100
S14,1.650000,7,0.010000,0.148500,wetted_offset,B2.md TABLE OF OFFSETS,1.500,1.500,0.100
S14,1.650000,8,0.000000,0.150000,keel,B2.md TABLE OF OFFSETS,1.500,1.500,0.100
S14,1.650000,9,-0.010000,0.148500,wetted_offset,B2.md TABLE OF OFFSETS,1.500,1.500,0.100
S14,1.650000,10,-0.020000,0.143700,wetted_offset,B2.md TABLE OF OFFSETS,1.500,1.500,0.100
S14,1.650000,11,-0.030000,0.136100,wetted_offset,B2.md TABLE OF OFFSETS,1.500,1.500,0.100
S14,1.650000,12,-0.045300,0.120000,wetted_offset,B2.md TABLE OF OFFSETS,1.500,1.500,0.100
S14,1.650000,13,-0.067900,0.090000,wetted_offset,B2.md TABLE OF OFFSETS,1.500,1.500,0.100
S14,1.650000,14,-0.087400,0.060000,wetted_offset,B2.md TABLE OF OFFSETS,1.500,1.500,0.100
S14,1.650000,15,-0.101600,0.030000,wetted_offset,B2.md TABLE OF OFFSETS,1.500,1.500,0.100
S14,1.650000,16,-0.110000,0.000000,waterline,B2.md TABLE OF OFFSETS,1.500,1.500,0.100
S15,1.800000,0,0.103900,0.000000,waterline,B2.md TABLE OF OFFSETS,3.000,1.500,0.100
S15,1.800000,1,0.095300,0.030000,wetted_offset,B2.md TABLE OF OFFSETS,3.000,1.500,0.100
S15,1.800000,2,0.081600,0.060000,wetted_offset,B2.md TABLE OF OFFSETS,3.000,1.500,0.100
S15,1.800000,3,0.062800,0.090000,wetted_offset,B2.md TABLE OF OFFSETS,3.000,1.500,0.100
S15,1.800000,4,0.041600,0.120000,wetted_offset,B2.md TABLE OF OFFSETS,3.000,1.500,0.100
S15,1.800000,5,0.030000,0.133900,wetted_offset,B2.md TABLE OF OFFSETS,3.000,1.500,0.100
S15,1.800000,6,0.020000,0.142800,wetted_offset,B2.md TABLE OF OFFSETS,3.000,1.500,0.100
S15,1.800000,7,0.010000,0.148200,wetted_offset,B2.md TABLE OF OFFSETS,3.000,1.500,0.100
S15,1.800000,8,0.000000,0.150000,keel,B2.md TABLE OF OFFSETS,3.000,1.500,0.100
S15,1.800000,9,-0.010000,0.148200,wetted_offset,B2.md TABLE OF OFFSETS,3.000,1.500,0.100
S15,1.800000,10,-0.020000,0.142800,wetted_offset,B2.md TABLE OF OFFSETS,3.000,1.500,0.100
S15,1.800000,11,-0.030000,0.133900,wetted_offset,B2.md TABLE OF OFFSETS,3.000,1.500,0.100
S15,1.800000,12,-0.041600,0.120000,wetted_offset,B2.md TABLE OF OFFSETS,3.000,1.500,0.100
S15,1.800000,13,-0.062800,0.090000,wetted_offset,B2.md TABLE OF OFFSETS,3.000,1.500,0.100
S15,1.800000,14,-0.081600,0.060000,wetted_offset,B2.md TABLE OF OFFSETS,3.000,1.500,0.100
S15,1.800000,15,-0.095300,0.030000,wetted_offset,B2.md TABLE OF OFFSETS,3.000,1.500,0.100
S15,1.800000,16,-0.103900,0.000000,waterline,B2.md TABLE OF OFFSETS,3.000,1.500,0.100
S16,1.950000,0,0.095700,0.000000,waterline,B2.md TABLE OF OFFSETS,4.500,1.500,0.100
S16,1.950000,1,0.087000,0.030000,wetted_offset,B2.md TABLE OF OFFSETS,4.500,1.500,0.100
S16,1.950000,2,0.074200,0.060000,wetted_offset,B2.md TABLE OF OFFSETS,4.500,1.500,0.100
S16,1.950000,3,0.056900,0.090000,wetted_offset,B2.md TABLE OF OFFSETS,4.500,1.500,0.100
S16,1.950000,4,0.037500,0.120000,wetted_offset,B2.md TABLE OF OFFSETS,4.500,1.500,0.100
S16,1.950000,5,0.020000,0.141000,wetted_offset,B2.md TABLE OF OFFSETS,4.500,1.500,0.100
S16,1.950000,6,0.010000,0.147500,wetted_offset,B2.md TABLE OF OFFSETS,4.500,1.500,0.100
S16,1.950000,7,0.000000,0.150000,keel,B2.md TABLE OF OFFSETS,4.500,1.500,0.100
S16,1.950000,8,-0.010000,0.147500,wetted_offset,B2.md TABLE OF OFFSETS,4.500,1.500,0.100
S16,1.950000,9,-0.020000,0.141000,wetted_offset,B2.md TABLE OF OFFSETS,4.500,1.500,0.100
S16,1.950000,10,-0.037500,0.120000,wetted_offset,B2.md TABLE OF OFFSETS,4.500,1.500,0.100
S16,1.950000,11,-0.056900,0.090000,wetted_offset,B2.md TABLE OF OFFSETS,4.500,1.500,0.100
S16,1.950000,12,-0.074200,0.060000,wetted_offset,B2.md TABLE OF OFFSETS,4.500,1.500,0.100
S16,1.950000,13,-0.087000,0.030000,wetted_offset,B2.md TABLE OF OFFSETS,4.500,1.500,0.100
S16,1.950000,14,-0.095700,0.000000,waterline,B2.md TABLE OF OFFSETS,4.500,1.500,0.100
S17,2.100000,0,0.085500,0.000000,waterline,B2.md TABLE OF OFFSETS,6.000,1.500,0.100
