iteration,residual_mode,shape_mode,value,finite_difference_step,jacobian_condition_number
1,14,11,2.320910830657342,0.0011104145356010224,176.09814849591422
1,15,0,-0.032883143777292664,0.0006650873907904612,176.09814849591422
1,15,1,-0.06822300993453852,0.0003221044409845302,176.09814849591422
1,15,2,-0.09670946499721306,0.0002288349154506379,176.09814849591422
1,15,3,-0.11768080562368008,0.00019002562756517024,176.09814849591422
1,15,4,-0.30567510867258224,6.849515118560372e-05,176.09814849591422
1,15,5,0.3429477525973975,0.00010735658185860183,176.09814849591422
1,15,6,-0.15034447110539545,0.00015629157810513557,176.09814849591422
1,15,7,0.11668043863015329,0.00022388532376631142,176.09814849591422
1,15,8,0.005171532536069286,0.0002971273231367355,176.09814849591422
1,15,9,0.12887830697157227,0.00047252411051982034,176.09814849591422
1,15,10,0.04087450782527453,0.0005191410595630095,176.09814849591422
1,15,11,0.1395782024477997,0.0011104145356010224,176.09814849591422
1,16,0,0.28778101324560357,0.0006650873907904612,176.09814849591422
1,16,1,0.5120732836442223,0.0003221044409845302,176.09814849591422
1,16,2,0.510933949539407,0.0002288349154506379,176.09814849591422
1,16,3,0.25038094015184,0.00019002562756517024,176.09814849591422
1,16,4,-4.0409346994057485,6.849515118560372e-05,176.09814849591422
1,16,5,5.834885835677635,0.00010735658185860183,176.09814849591422
1,16,6,-0.9908199032594991,0.00015629157810513557,176.09814849591422
1,16,7,-0.4695692358044128,0.00022388532376631142,176.09814849591422
1,16,8,0.36677970578345254,0.0002971273231367355,176.09814849591422
1,16,9,-0.42900431482237333,0.00047252411051982034,176.09814849591422
1,16,10,0.18737313317196153,0.0005191410595630095,176.09814849591422
1,16,11,-0.2576364651376226,0.0011104145356010224,176.09814849591422
1,17,0,-0.10312752435013625,0.0006650873907904612,176.09814849591422
1,17,1,-0.20883323743927049,0.0003221044409845302,176.09814849591422
1,17,2,-0.28272415137933155,0.0002288349154506379,176.09814849591422
1,17,3,-0.3199248523777546,0.00019002562756517024,176.09814849591422
1,17,4,-0.6155336344388267,6.849515118560372e-05,176.09814849591422
1,17,5,0.3293419932596727,0.00010735658185860183,176.09814849591422
1,17,6,-0.23401884263223147,0.00015629157810513557,176.09814849591422
1,17,7,0.20678971807126273,0.00022388532376631142,176.09814849591422
1,17,8,-0.05416748519865105,0.0002971273231367355,176.09814849591422
1,17,9,0.1805679095991934,0.00047252411051982034,176.09814849591422
1,17,10,0.007891683735255062,0.0005191410595630095,176.09814849591422
1,17,11,0.16347251388691802,0.0011104145356010224,176.09814849591422
1,18,0,0.1948502423777838,0.0006650873907904612,176.09814849591422
1,18,1,0.3077973873909439,0.0003221044409845302,176.09814849591422
1,18,2,0.19781343037972066,0.0002288349154506379,176.09814849591422
1,18,3,-0.1508757965559751,0.00019002562756517024,176.09814849591422
1,18,4,-5.978745808921934,6.849515118560372e-05,176.09814849591422
1,18,5,-2.163725030163559,0.00010735658185860183,176.09814849591422
1,18,6,4.065486356165288,0.00015629157810513557,176.09814849591422
1,18,7,-8.248895040236851,0.00022388532376631142,176.09814849591422
1,18,8,1.8629784099239401,0.0002971273231367355,176.09814849591422
1,18,9,-6.3797515191683996,0.00047252411051982034,176.09814849591422
1,18,10,-1.055681301443214,0.0005191410595630095,176.09814849591422
1,18,11,-5.631608478049678,0.0011104145356010224,176.09814849591422
1,19,0,-0.08516303641661302,0.0006650873907904612,176.09814849591422
1,19,1,-0.17107476465790106,0.0003221044409845302,176.09814849591422
1,19,2,-0.2279455498457947,0.0002288349154506379,176.09814849591422
1,19,3,-0.2513153365291221,0.00019002562756517024,176.09814849591422
1,19,4,-0.3979462074511412,6.849515118560372e-05,176.09814849591422
1,19,5,-0.07147979541386121,0.00010735658185860183,176.09814849591422
1,19,6,-0.03935670231849341,0.00015629157810513557,176.09814849591422
1,19,7,-0.008479709650295797,0.00022388532376631142,176.09814849591422
1,19,8,-0.014937788630592651,0.0002971273231367355,176.09814849591422
1,19,9,0.017574502072798485,0.00047252411051982034,176.09814849591422
1,19,10,-0.025404153496309128,0.0005191410595630095,176.09814849591422
