configuration,running_trim_deg,mean_wetted_length_over_b,matrix,row_dof,column_dof,value,matrix_contract
FnB=2.26,5.040492405877072,2.875402568434372,restoring,pitch,pitch,713.4618908783797,heave_pitch_2x2_v1
FnB=2.82,4.516354222803499,2.5979912075926395,rigid_mass,heave,heave,32.60032733,heave_pitch_2x2_v1
FnB=2.82,4.516354222803499,2.5979912075926395,rigid_mass,heave,pitch,0.0,heave_pitch_2x2_v1
FnB=2.82,4.516354222803499,2.5979912075926395,rigid_mass,pitch,heave,0.0,heave_pitch_2x2_v1
FnB=2.82,4.516354222803499,2.5979912075926395,rigid_mass,pitch,pitch,11.080492655866367,heave_pitch_2x2_v1
FnB=2.82,4.516354222803499,2.5979912075926395,added_mass,heave,heave,64.2193245438256,heave_pitch_2x2_v1
FnB=2.82,4.516354222803499,2.5979912075926395,added_mass,heave,pitch,-11.726000292939407,heave_pitch_2x2_v1
FnB=2.82,4.516354222803499,2.5979912075926395,added_mass,pitch,heave,-11.726000292939407,heave_pitch_2x2_v1
FnB=2.82,4.516354222803499,2.5979912075926395,added_mass,pitch,pitch,8.155308799150882,heave_pitch_2x2_v1
FnB=2.82,4.516354222803499,2.5979912075926395,radiation_damping,heave,heave,613.5221171532494,heave_pitch_2x2_v1
FnB=2.82,4.516354222803499,2.5979912075926395,radiation_damping,heave,pitch,-623.2369428466807,heave_pitch_2x2_v1
FnB=2.82,4.516354222803499,2.5979912075926395,radiation_damping,pitch,heave,79.2432553410139,heave_pitch_2x2_v1
FnB=2.82,4.516354222803499,2.5979912075926395,radiation_damping,pitch,pitch,177.00661383327912,heave_pitch_2x2_v1
FnB=2.82,4.516354222803499,2.5979912075926395,restoring,heave,heave,4394.405544690928,heave_pitch_2x2_v1
FnB=2.82,4.516354222803499,2.5979912075926395,restoring,heave,pitch,-3198.2211101677644,heave_pitch_2x2_v1
FnB=2.82,4.516354222803499,2.5979912075926395,restoring,pitch,heave,1889.5307028520756,heave_pitch_2x2_v1
FnB=2.82,4.516354222803499,2.5979912075926395,restoring,pitch,pitch,782.2767852512485,heave_pitch_2x2_v1
