title,station_index,frequency_index,omega_rad_s,quantity,orientation,row_mode,col_mode,heading_index,wave_heading_rad,wave_heading_deg,force_real,force_imag,complex_added_mass_real_per_m,complex_added_mass_imag_per_m,added_mass_per_m,damping_over_omega_per_m,damping_per_m,status
Station section hydrodynamics: example_station_hull.yml,1,2,0.639226437,diffraction_force,as_written_section_force_rows,roll,,1,0.0,0.0,0.0001458399929,-5.186777707e-05,,,,,,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,2,0.639226437,froude_krylov_force,as_written_section_force_rows,sway,,1,0.0,0.0,-3.051757812e-05,0.0,,,,,,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,2,0.639226437,froude_krylov_force,as_written_section_force_rows,heave,,1,0.0,0.0,16467.1426,0.0,,,,,,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,2,0.639226437,froude_krylov_force,as_written_section_force_rows,roll,,1,0.0,0.0,-0.000244140625,0.0,,,,,,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,radiation,as_written_section_force_rows,sway,sway,,,,53.0946693,-0.190895587,97.45469644881163,-0.35038680398189637,97.45469644881163,-0.35038680398189637,-0.25862578104894735,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,radiation,as_written_section_force_rows,sway,heave,,,,0.0001292957168,7.43362325e-05,0.00023732090243710235,0.00013644335804226932,0.00023732090243710235,0.00013644335804226932,0.0001007108990452914,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,radiation,as_written_section_force_rows,sway,roll,,,,61.3496132,-0.255129218,112.60655750346687,-0.46828694524730163,112.60655750346687,-0.46828694524730163,-0.34564965230787215,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,radiation,as_written_section_force_rows,heave,sway,,,,-5.106211756e-05,1.614545181e-05,-9.372396951426786e-05,2.9634803755571486e-05,-9.372396951426786e-05,2.9634803755571486e-05,2.187389530774952e-05,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,radiation,as_written_section_force_rows,heave,heave,,,,1434.81689,-1252.21497,2633.5910236958184,-2298.427156603606,2633.5910236958184,-2298.427156603606,-1696.503726183226,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,radiation,as_written_section_force_rows,heave,roll,,,,0.0001383675408,-2.936236706e-05,0.00025397213816025324,-5.3894310042362114e-05,0.00025397213816025324,-5.3894310042362114e-05,-3.978020253730844e-05,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,radiation,as_written_section_force_rows,roll,sway,,,,61.4053841,-0.255336761,112.70892439268256,-0.46866788819942357,112.70892439268256,-0.46866788819942357,-0.3459308320424055,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,radiation,as_written_section_force_rows,roll,heave,,,,-0.0001550139277,4.157192234e-05,-0.000284526402904661,7.630481790077316e-05,-0.000284526402904661,7.630481790077316e-05,5.6321736158776074e-05,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,radiation,as_written_section_force_rows,roll,roll,,,,81.3284531,-0.341252238,149.27750401323084,-0.6263648254188791,149.27750401323084,-0.6263648254188791,-0.46232931821232337,external_pdstrip_reference_smoke_not_a_validation_gate
