node_index,xi,eta
177,11.711488379505651,-1.4734821340919757
178,11.801262928247569,-1.4852371741899184
179,11.8910760846904,-1.496988177322548
180,11.980909027978605,-1.508744630368575
181,12.070744811963989,-1.5205018216083246
182,12.160567031623314,-1.5322511064324322
183,12.2503586973081,-1.5439885841045613
184,12.340100758486239,-1.5557264752326985
185,12.429777952950678,-1.5674484616653521
186,12.519372535113991,-1.5791577254452216
187,12.608869498468323,-1.5908370655222945
188,12.698250029618052,-1.6024990883696881
189,12.78749859668211,-1.6141319925195572
190,12.876597196800915,-1.6257437289702668
191,12.965532263770397,-1.6373090650035214
192,13.054284769272236,-1.6488456678002297
193,13.142839475038965,-1.6603430963962893
194,13.231178137192524,-1.6718151391340457
195,13.319287831172144,-1.6832357658510373
196,13.40714949753072,-1.6946274553113154
197,13.494749497676773,-1.7059721733246518
198,13.582069013193363,-1.7172932121693283
199,13.669094943308798,-1.728571157403758
200,13.755811617398052,-1.739807900915058
201,13.842204455769869,-1.7509984524051025
202,13.92825656490745,-1.7621572712491458
203,14.013955238092343,-1.7732681605364033
204,14.099286461855073,-1.7843267087851593
205,14.184235275726957,-1.7953375669260527
206,14.26878956388916,-1.8062852398544125
207,14.352933033464375,-1.817188333501413
208,14.436654185691816,-1.8280303479073419
209,14.51994170658709,-1.8387952820409255
210,14.602779702963904,-1.8495045347811883
211,14.685156382561823,-1.860149837174167
212,14.76706065521251,-1.8707195552844995
213,14.848478043119533,-1.8812304125978825
214,14.929399400273699,-1.8916599782186725
215,15.009811169629474,-1.902022205170948
216,15.089700266221765,-1.9123296195503576
217,15.169058287002459,-1.9225606934734596
218,15.247874881683634,-1.932711274111872
219,15.326136308625692,-1.9428058429698882
220,15.403834671371468,-1.9528258639337819
221,15.48095998584212,-1.9627713541910206
222,15.55750187367233,-1.972647763758725
223,15.633452839262356,-1.9824405882314522
224,15.708803039572134,-1.9921559330984484
225,15.783543199063017,-2.001797930054969
226,15.857665656743752,-2.0113606296878777
227,15.931164638911461,-2.020825888472978
228,16.004029643691876,-2.030214705315613
229,16.076254869777873,-2.039514065105278
230,16.14783214918577,-2.048731797911892
231,16.218756293707507,-2.0578550650397913
232,16.289019902924103,-2.066890689338572
233,16.358617461655662,-2.075833316604259
234,16.427541306216913,-2.0846967841589388
235,16.49578697527573,-2.0934724883356526
236,16.563350208586805,-2.1021527251841996
237,16.63022485041051,-2.110746995946174
238,16.696406381716795,-2.1192545140483503
239,16.761890312261354,-2.1276767039374582
240,16.826673356956658,-2.1360080403030004
241,16.89075176689135,-2.1442490119564726
242,16.954122959079687,-2.1523934306004286
243,17.01678229368044,-2.1604534794497683
244,17.07872765982774,-2.1684240247375786
245,17.139957399151793,-2.176298751359043
246,17.200469693397842,-2.18407489299326
247,17.260262077984944,-2.191757000568539
248,17.319332349788464,-2.1993498574028423
249,17.377680001713305,-2.2068472871275597
250,17.435304183045265,-2.214247996346975
251,17.492204551423505,-2.221548913816721
252,17.548379258046307,-2.228760861707822
253,17.603828789251445,-2.2358785943252433
254,17.658552954809704,-2.242904229439545
255,17.71255271886834,-2.249832951226863
256,17.765827885627,-2.256671007701882
257,17.81837966385264,-2.2634156943263117
258,17.87020916929267,-2.270066987481165
259,17.92131735890143,-2.2766280203971827
260,17.971706351712793,-2.2830947548817933
261,18.02137730471559,-2.2894724921998675
262,18.070332819643493,-2.2957570847593503
263,18.118574816388453,-2.301951462771916
264,18.16610610483467,-2.308053351177005
265,18.212929116369406,-2.314065109555668
266,18.259046840339476,-2.3199863974205486
267,18.304462932009066,-2.3258132909674676
268,18.34917966229601,-2.33155421607699
269,18.39320146182734,-2.337202292933902
270,18.43653175346247,-2.342759972723389
271,18.479174220272405,-2.34822911770308
272,18.52113273068174,-2.353611540592856
273,18.562411894904116,-2.3589046231206465
274,18.603016231594964,-2.364107768559135
275,18.642949272871277,-2.36922934423435
276,18.682216066025934,-2.3742671209257216
277,18.720821870273376,-2.3792183999199747
278,18.758771965941975,-2.3840814522928984
279,18.79607014772814,-2.3888672316823074
280,18.8327219216357,-2.393574391246174
281,18.868734600793772,-2.3981885132556195
282,18.904111922525267,-2.4027240199378164
283,18.938859398590946,-2.4071824194032017
284,18.972983766147777,-2.41155654786191
285,19.006490216896403,-2.415852131180999
286,19.039384403333766,-2.420072098889097
287,19.071672075142672,-2.4242193741871905
288,19.103360532398984,-2.428285520093209
289,19.13445670144439,-2.4322656678451042
290,19.164966033442752,-2.436167095519077
291,19.194894470003895,-2.4399938608856924
292,19.22424785793882,-2.4437513198826926
293,19.25303307048644,-2.4474373223192942
294,19.281257221246012,-2.4510483223008177
295,19.30892608017441,-2.4545917126832784
296,19.33604657762604,-2.458066224341726
297,19.362625904705208,-2.461468922073875
298,19.38867029240237,-2.4648046993281545
299,19.414186730233162,-2.4680728226425575
300,19.439182153932247,-2.471273240242184
301,19.463663127088246,-2.4744090338360136
302,19.48763679844337,-2.477478909989904
303,19.511109933888683,-2.480484725919629
304,19.534089172048983,-2.4834294611968524
305,19.556581891891984,-2.4863104138698517
306,19.578595015763387,-2.489128512661813
307,19.60013503098646,-2.491888121026028
308,19.621209090501335,-2.4945884123831066
309,19.641824303032372,-2.4972288852350917
310,19.661987376416374,-2.499812118703834
311,19.681705390670473,-2.502337710860717
312,19.70098541304139,-2.504805256400441
