benchmark,case_code,fn_b,speed_m_s,wave_omega_rad_s,source_encounter_omega_rad_s,wave_number_rad_m,wavelength_m,wave_amplitude_m,lambda_over_l,reference_heave_rao_m_per_m,reference_pitch_rao_rad_per_wave_slope,heave_digitization_uncertainty_abs,pitch_digitization_uncertainty_abs,source_kind,response_wavelength_m,frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,linear_gate_eligible
begovic_2014_mono_efd_republished_2020,C3,2.26,4.6,4.4,13.4712,1.972,3.186,0.02,1.677,0.4716346154,0.4759615385,0.01730769231,0.01730769231,red_triangle_EFD_graph_digitization,3.1855155410694915,2,4.398052485760458,13.471200000000003,1.9724233726607707,0.3617319592208604,-0.0188522770079802,-0.178875188317253,0.6431145219017586,0.3622228853484382,0.6675272438458675,0.338430000930978,0.7689085688068479,87.01663202675991,-164.45668029025458,169.01287138290695,-87.01663202675991,-164.45668029025458,65.73375678125598,139.5363211254672,0.1340595550595891,0.284574897901867,5.904375454454647,3.044235823998533e-16,0.7477009086809961,0.8449893238239109,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,True
begovic_2014_mono_efd_republished_2020,C4,2.26,4.6,4.08,11.9,1.7,3.695,0.032,1.945,0.6879807692,0.7528846154,0.01730769231,0.01730769231,red_triangle_EFD_graph_digitization,3.6971351524724354,3,4.082419300063287,11.900000000000002,1.6994740652036338,0.5539887513992872,-0.0597187115062089,-0.1079535144709406,0.9915175709800822,0.5571982243159996,0.9973770875896788,0.5868739676649148,1.2098519193617887,83.8474052786276,-173.7862799685319,159.47868257511925,-83.8474052786276,-173.7862799685319,78.90484054538874,171.32713030082294,0.2574737445970275,0.55905616797034,6.107671334631797,2.620176314286379e-16,0.8086760642445181,0.883172578357788,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,True
begovic_2014_mono_efd_republished_2020,C5,2.26,4.6,3.77,10.4354,1.449,4.337,0.032,2.283,0.9151442308,0.9951923077,0.01730769231,0.01730769231,red_triangle_EFD_graph_digitization,4.336015644104087,4,3.7696831794607135,10.4354,1.4490688740302795,0.807498708376664,-0.2778865827331489,0.2596858874829771,1.3774608797501224,0.8539760634192788,1.4017258060690052,0.9673286281903224,1.7766168283065225,71.0099927129719,169.32361862365235,140.92361777984456,-71.0099927129719,169.32361862365235,92.9959208430897,193.46926103779668,0.303454234318434,0.6313079750179209,6.019083108582149,4.696095527606014e-16,0.8585610505859478,0.91404864562887,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,True
begovic_2014_mono_efd_republished_2020,C6,2.26,4.6,3.46,9.0582,1.217,5.161,0.035,2.717,1.120673077,1.233173077,0.01730769231,0.01730769231,red_triangle_EFD_graph_digitization,5.159088267622884,5,3.4559208929702296,9.0582,1.217886762397776,0.8643652557956338,-0.7397565051528007,0.9290818245190178,1.3455305931067083,1.13770250168598,1.635128622964468,1.3425949550065115,2.1681834975164187,49.44183655743987,145.37512444291968,113.91432266174333,-49.44183655743987,145.37512444291968,93.3496134487524,177.9015964886982,0.3331654000812035,0.6349319978896399,5.014278580635969,4.391337254118909e-16,0.8987788523732766,0.9387191686341764,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,True
begovic_2014_mono_efd_republished_2020,C7,2.26,4.6,3.14,7.7676,1.006,6.245,0.035,3.287,1.125,1.189903846,0.01730769231,0.01730769231,red_triangle_EFD_graph_digitization,6.246656125066137,6,3.1407001299963366,7.7676,1.0058477978268834,0.59555843178384,-1.0679241926907994,1.2306195864209832,0.8203158317079029,1.22276405205711,1.478966744126987,1.4703683274171986,2.07757668664544,29.147471262238525,123.68693354900228,87.76327612804778,-29.147471262238525,123.68693354900228,73.7762146734741,125.35185621191307,0.2633078078213859,0.4473816203715803,3.386187235214381,2.3362659090160366e-16,0.9302646093631562,0.9579018417124509,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,True
begovic_2014_mono_efd_republished_2020,C8,2.26,4.6,2.83,6.579,0.815,7.71,0.045,4.058,1.116346154,1.185576923,0.01730769231,0.01730769231,red_triangle_EFD_graph_digitization,7.705081707394022,7,2.827884371298716,6.579000000000001,0.815459919282888,0.3328544100872015,-1.1354952979771986,1.0977150354682172,0.3994080047446783,1.1832758047229843,1.1681203077367992,1.4324680834884431,1.778422012396871,16.337753913374257,109.99411900658616,68.38868061527427,-16.337753913374257,109.99411900658616,51.21601182529388,76.97586856227878,0.2350160893004466,0.3532209353145615,2.2250323504962783,2.0043883395231494e-16,0.9538280855566396,0.9721852562946064,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,True
begovic_2014_mono_efd_republished_2020,C1,2.82,5.75,5.65,24.395,3.26,1.928,0.02,1.014,0.1682692308,0.1442307692,0.01923076923,0.01923076923,red_triangle_EFD_graph_digitization,1.9277304153696135,0,5.6536266065862,24.395000000000007,3.2593692858110965,0.1480157847449922,-0.1019506038076011,-0.0241844715377434,0.2498033619881446,0.1797292356585604,0.2509713296855638,0.0769999676864198,0.2314511001984317,55.44162999678582,-174.47019826574578,149.08206015901197,-55.44162999678582,-174.47019826574578,106.95974830141078,137.74025873196751,0.218137178957974,0.2809119500175239,6.009049438307926,2.405509344329424e-16,0.5021858366919557,0.6853394180820803,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.82,False
begovic_2014_mono_efd_republished_2020,C2,2.82,5.75,5.03,19.842,2.576,2.44,0.02,1.284,0.2884615385,0.25,0.01923076923,0.01923076923,red_triangle_EFD_graph_digitization,2.438579273586157,1,5.026686875832998,19.842,2.5765761955073043,0.264182890776665,-0.1073757996631931,-0.0703283597260914,0.4627954399416867,0.2851704089354741,0.4681086384725045,0.1816785543888556,0.4839204650680712,67.88096521165812,-171.35919976615557,158.21716573119738,-67.88096521165812,-171.35919976615557,112.27300558380612,190.52188927848823,0.2289732081471371,0.3885565188489203,6.040238441716735,1.7343786003725246e-16,0.6672074631252465,0.7937668701496639,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.82,True
begovic_2014_mono_efd_republished_2020,C3,2.82,5.75,4.4,15.739,1.972,3.186,0.02,1.677,0.4471153846,0.4615384615,0.01923076923,0.01923076923,red_triangle_EFD_graph_digitization,3.1856300875954005,2,4.397973414093647,15.739,1.972352449722844,0.4872517351671933,-0.1698008182735507,0.0070594214495046,0.8514311180456988,0.515990863591409,0.8514603832285742,0.4316978861198067,0.9878677581002006,70.78722635006832,179.5249577115918,149.87868368048134,-70.78722635006832,179.5249577115918,127.81925520030394,244.710769097548,0.2606787337170266,0.4990710774781358,5.9404743150747015,2.2154142978234232e-16,0.7957256844975401,0.8751048428980418,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.82,True
begovic_2014_mono_efd_republished_2020,C4,2.82,5.75,4.08,13.855,1.7,3.695,0.032,1.945,0.6201923077,0.6394230769,0.01923076923,0.01923076923,red_triangle_EFD_graph_digitization,3.696945871580691,3,4.082523807148589,13.855,1.699561077017637,0.6430492796348982,-0.2923872473437112,0.2075910393164373,1.084426228389089,0.7064012163411061,1.1041169704441027,0.6496483035382228,1.349652455991538,65.54924312762938,169.16300978389336,138.58640926540284,-65.54924312762938,169.16300978389336,135.6015015500855,259.080668845903,0.4424801588312763,0.8454040271722655,5.64665969762697,3.21045019401338e-16,0.8457396360364181,0.906142686713238,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.82,True
begovic_2014_mono_efd_republished_2020,C5,2.82,5.75,3.77,12.10175,1.449,4.337,0.032,2.283,0.8509615385,0.9134615385,0.01923076923,0.01923076923,red_triangle_EFD_graph_digitization,4.336049258438982,4,3.7696685675835337,12.101749999999996,1.4490576404202546,0.7548253607097568,-0.5327635067173321,0.5762704356524139,1.1973235574966803,0.923903825763463,1.328785654777899,0.9169998609527538,1.7090055705776697,54.785162906731614,154.29854216134157,122.07837817991437,-54.785162906731614,154.29854216134157,135.3078892865051,250.28788720802,0.4415220750376696,0.816712372793629,4.990100287042528,3.782758506988954e-16,0.8863616521432199,0.9311226341011384,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.82,True
begovic_2014_mono_efd_republished_2020,C6,2.82,5.75,3.46,10.45775,1.217,5.161,0.035,2.717,1.110576923,1.1875,0.01923076923,0.01923076923,red_triangle_EFD_graph_digitization,5.159690926812146,5,3.45571905885522,10.45775,1.2177445115034398,0.7065840658614254,-0.8280338187329661,0.9567448850758684,1.023210700794633,1.088531601330325,1.400828652383824,1.1503469234727626,1.900737868352552,40.47503962678039,136.92265989397322,102.2374926767244,-40.47503962678039,136.92265989397322,119.0467524803296,207.8733132480641,0.4248786626229687,0.7419012571757171,3.8981558771417353,2.2006114392464183e-16,0.9189079297336764,0.9509957712036416,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.82,True
begovic_2014_mono_efd_republished_2020,C7,2.82,5.75,3.14,8.9245,1.006,6.245,0.035,3.287,1.307692308,1.504807692,0.01923076923,0.01923076923,red_triangle_EFD_graph_digitization,6.246507451292644,6,3.140737505839157,8.924499999999998,1.005871738114929,0.5266937302169462,-1.0167139776655387,1.0887217942369245,0.6715823305922439,1.145038688355255,1.2791942667203358,1.271727018712775,1.8482581674398657,27.385751257781152,121.66852430910605,83.51336392144981,-27.385751257781152,121.66852430910605,91.19855318608413,147.20766424669722,0.3254882514939296,0.5253851466743897,2.747263203691979,3.33770550742532e-16,0.9442305825978732,0.9663749289232606,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.82,True
begovic_2014_mono_efd_republished_2020,C8,2.82,5.75,2.83,7.51625,0.815,7.71,0.045,4.058,1.25,1.4375,0.01923076923,0.01923076923,red_triangle_EFD_graph_digitization,7.705749528924154,7,2.827761828840002,7.516249999999999,0.8153892471582604,0.3479131475791752,-1.075949939864275,0.9976208885864504,0.3791287538320386,1.1308014111029336,1.0672328936676632,1.308863095002922,1.6675389460276389,17.91884201079148,110.8084378943501,68.17824922362519,-17.91884201079148,110.8084378943501,63.88351082074397,94.20596866665184,0.2931437327663859,0.4322850912390402,1.999810306088193,2.0216649644214995e-16,0.9631381844794406,0.977812038617032,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.82,True
