benchmark,case_code,fn_b,speed_m_s,wave_omega_rad_s,source_encounter_omega_rad_s,wave_number_rad_m,wavelength_m,wave_amplitude_m,lambda_over_l,reference_heave_rao_m_per_m,reference_pitch_rao_rad_per_wave_slope,heave_digitization_uncertainty_abs,pitch_digitization_uncertainty_abs,source_kind,frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,speed_mps,running_trim_deg,keel_wetted_length_m,mean_wetted_length_over_b,measured_sinkage_mm_diagnostic,running_state_source,calm_force_residual_norm,candidate_provider_route,wave_steepness_ka,linear_gate_eligible,linear_gate_reason,heave_relative_error,pitch_relative_error
begovic_2014_mono_efd_republished_2020,C3,2.26,4.6,4.4,13.4712,1.972,3.186,0.02,1.677,0.4716346154,0.4759615385,0.01730769231,0.01730769231,red_triangle_EFD_graph_digitization,2,4.397718092036876,13.469485955510226,1.9721234485811634,0.07598532962171067,0.23575105407913163,-0.24748195641136267,0.3385110507046149,0.24769402458909193,0.41932928612051174,0.2126283151403106,0.680139471727707,162.13526012028666,-143.82984532880667,-160.97293855691575,-162.13526012028666,-143.82984532880667,44.93839665585375,123.39569924024937,0.09164882331041437,0.251657190254061,8.578579313235505,2.7001611970652393e-16,0.5094849512762327,0.6902462146652886,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.26,4.6,4.174,1.3,2.3921433109895345,9.705,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.4059993729921398,faltinsen_ch9_reduced_order_planing,0.03944,True,kA<=0.055,0.47481797030733397,0.5532657621655481
begovic_2014_mono_efd_republished_2020,C4,2.26,4.6,4.08,11.9,1.7,3.695,0.032,1.945,0.6879807692,0.7528846154,0.01730769231,0.01730769231,red_triangle_EFD_graph_digitization,3,4.08359864090329,11.905696722913058,1.7004561047847324,0.10482246689406802,0.5173065052413447,-0.5587805154994447,0.5740129084217367,0.5278198271482148,0.801078325469243,0.4710961507416592,1.3344733727120517,168.5451797424222,-135.77039574149808,-154.83798511654157,-168.5451797424222,-135.77039574149808,74.81614572222995,189.15574819288636,0.2441319577135269,0.6172325862728214,10.706332904912792,1.0158536599840907e-15,0.6184123702378646,0.7622182339878789,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.26,4.6,4.174,1.3,2.3921433109895345,9.705,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.4059993729921398,faltinsen_ch9_reduced_order_planing,0.0544,True,kA<=0.055,0.23279857406192322,0.37427842048363463
begovic_2014_mono_efd_republished_2020,C5,2.26,4.6,3.77,10.4354,1.449,4.337,0.032,2.283,0.9151442308,0.9951923077,0.01730769231,0.01730769231,red_triangle_EFD_graph_digitization,4,3.7692553583355703,10.433459281099253,1.4487399832094965,0.06873001410058104,1.3613456393734173,-1.521402857165708,1.1034817618039559,1.3630795151711748,1.8794516893035431,1.2973009036030472,3.214463203265606,177.1097722005951,-125.95358102136757,-146.77026247727065,-177.1097722005951,-125.95358102136757,148.38084570215446,349.9170541926236,0.4841803329851624,1.1418114987446228,17.026514914620005,1.2674753152865984e-15,0.7128849738893964,0.8229534397805027,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.26,4.6,4.174,1.3,2.3921433109895345,9.705,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.4059993729921398,faltinsen_ch9_reduced_order_planing,0.046368000000000006,True,kA<=0.055,0.4894696041296126,0.3035680577166575
begovic_2014_mono_efd_republished_2020,C6,2.26,4.6,3.46,9.0582,1.217,5.161,0.035,2.717,1.120673077,1.233173077,0.01730769231,0.01730769231,red_triangle_EFD_graph_digitization,5,3.4552807643325787,9.055484680826687,1.2174356340204586,-7.300104394591684,4.8331531403039145,-9.962730391098331,-4.6229991341374,8.755049597207682,10.983083257444125,9.021489884581083,19.299016684824945,-123.50720049466915,-65.1073169900729,-87.83723298665191,123.50720049466915,-65.1073169900729,717.9298506154771,1582.5541605133758,2.5622964795869847,5.648146473869074,70.638662617218,4.266685052566578e-15,0.7915045136901039,0.8724703805309088,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.26,4.6,4.174,1.3,2.3921433109895345,9.705,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.4059993729921398,faltinsen_ch9_reduced_order_planing,0.04259500000000001,True,kA<=0.055,6.81231366835779,6.3156721086776395
begovic_2014_mono_efd_republished_2020,C7,2.26,4.6,3.14,7.7676,1.006,6.245,0.035,3.287,1.125,1.189903846,0.01730769231,0.01730769231,red_triangle_EFD_graph_digitization,6,3.1411165469230062,7.769243434517255,1.0061145407813588,-0.971493997987988,-2.443194825351051,1.866441095174297,-2.3136933830236788,2.629258743971167,2.9726721030754444,2.954606043927004,5.379560147717934,-21.684383097830107,38.892888279018536,13.69725485924539,21.684383097830107,38.892888279018536,158.7050644612365,324.7164022842311,0.5664194455949052,1.1589150301018276,14.544072952573401,2.6233969375885816e-16,0.8545439627093517,0.9115737964144389,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.26,4.6,4.174,1.3,2.3921433109895345,9.705,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.4059993729921398,faltinsen_ch9_reduced_order_planing,0.035210000000000005,True,kA<=0.055,1.3371188835299261,1.4830628574394942
begovic_2014_mono_efd_republished_2020,C8,2.26,4.6,2.83,6.579,0.815,7.71,0.045,4.058,1.116346154,1.185576923,0.01730769231,0.01730769231,red_triangle_EFD_graph_digitization,7,2.8269822583560744,6.575705009721327,0.8149397285576636,-0.3694852736712514,-1.5292364003071743,1.2049609422520815,-1.0035996447066207,1.5732397577878472,1.5681655267248669,1.9242717857188214,2.9420021120693627,-13.583152497942649,50.20943071282281,21.538421971188825,13.583152497942649,50.20943071282281,68.02672409957863,127.21186646054015,0.3121557906605251,0.5837400122084816,6.535715059906953,2.226062926168133e-16,0.9030556441193438,0.9413314498283882,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.26,4.6,4.174,1.3,2.3921433109895345,9.705,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.4059993729921398,faltinsen_ch9_reduced_order_planing,0.036675,True,kA<=0.055,0.40927592409464003,0.6230678485623843
begovic_2014_mono_efd_republished_2020,C1,2.82,5.75,5.65,24.395,3.26,1.928,0.02,1.014,0.1682692308,0.1442307692,0.01923076923,0.01923076923,red_triangle_EFD_graph_digitization,0,5.653231330621184,24.391984191763626,3.2589135410682504,0.02138997242064475,0.005155143400831588,0.03231269119705476,0.06396448033272521,0.02200241858612549,0.07166285478985476,0.021989799326300675,0.10184625757823791,103.55030143067609,153.19863895194817,143.72246446042345,-103.55030143067609,153.19863895194817,13.090754625356679,60.59535510829325,0.02669770946318402,0.1235801320701631,6.217276734545818,2.7458036474892633e-16,0.014731729883003567,0.3172736463958445,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.82,5.75,4.024,1.16,2.036834312726128,17.425,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.3861415620810735,faltinsen_ch9_reduced_order_planing,0.0652,False,retained diagnostic: kA>0.055,0.8692427695692212,0.8475373913051233
begovic_2014_mono_efd_republished_2020,C2,2.82,5.75,5.03,19.842,2.576,2.44,0.02,1.284,0.2884615385,0.25,0.01923076923,0.01923076923,red_triangle_EFD_graph_digitization,1,5.02522323101959,19.831909918020663,2.575075945565404,0.058940903083143474,0.056418787293076055,-0.0019647168555524857,0.16920591344342797,0.08159111235838051,0.16921731961163824,0.06571352581000617,0.26605867340654227,133.74753848639546,-179.3347459151083,167.72231183005027,-133.74753848639546,-179.3347459151083,32.09016397052795,104.64211368874825,0.06544572095573505,0.2134105197773924,6.711190134074001,4.653686892944139e-16,0.2618596978924897,0.516204283391992,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.82,5.75,4.024,1.16,2.036834312726128,17.425,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.3861415620810735,faltinsen_ch9_reduced_order_planing,0.05152,True,kA<=0.055,0.7171508105286608,0.7371458967599753
begovic_2014_mono_efd_republished_2020,C3,2.82,5.75,4.4,15.739,1.972,3.186,0.02,1.677,0.4471153846,0.4615384615,0.01923076923,0.01923076923,red_triangle_EFD_graph_digitization,2,4.397718092036876,15.737427921378565,1.9721234485811634,0.16212082476016862,0.22865026622272216,-0.1216241670986345,0.4311680228501813,0.2802928933537899,0.447993640525143,0.22716308192950613,0.7475125438438289,144.66206085518468,-164.24726633690045,178.78832918743558,-144.66206085518468,-164.24726633690045,69.41919843466682,185.13391828311123,0.14157576427152355,0.3775681160908388,7.978149471095337,2.5801931384831112e-16,0.5094849512762327,0.6902462146652886,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.82,5.75,4.024,1.16,2.036834312726128,17.425,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.3861415620810735,faltinsen_ch9_reduced_order_planing,0.03944,True,kA<=0.055,0.3731083675312436,0.5078133224450545
begovic_2014_mono_efd_republished_2020,C4,2.82,5.75,4.08,13.855,1.7,3.695,0.032,1.945,0.6201923077,0.6394230769,0.01923076923,0.01923076923,red_triangle_EFD_graph_digitization,3,4.08359864090329,13.861221243415502,1.7004561047847324,0.2856006382826693,0.443137494252646,-0.26037710376707124,0.7326049278297556,0.5271987892626291,0.777499978422231,0.4572302550089394,1.3247494530606605,147.19835463828923,-160.434140322031,-178.80477767927366,-147.19835463828923,-160.434140322031,101.29252451486563,254.52868857662563,0.3305268144040728,0.8305504973107045,9.538314006116785,3.6628398089091134e-16,0.6184123702378646,0.7622182339878789,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.82,5.75,4.024,1.16,2.036834312726128,17.425,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.3861415620810735,faltinsen_ch9_reduced_order_planing,0.0544,True,kA<=0.055,0.14994303747855225,0.2849331349978067
begovic_2014_mono_efd_republished_2020,C5,2.82,5.75,3.77,12.10175,1.449,4.337,0.032,2.283,0.8509615385,0.9134615385,0.01923076923,0.01923076923,red_triangle_EFD_graph_digitization,4,3.7692553583355703,12.099510261790176,1.4487399832094965,0.6180346668036664,0.9349733448505578,-0.5274969600380034,1.449336782053042,1.1207774109751494,1.5423456651027365,1.064611788849693,2.678576586538468,146.53455929165466,-160.00064538369708,-179.64611148355917,-146.53455929165466,-160.00064538369708,164.07973793162955,392.138653086019,0.5354072607681671,1.279584455318851,13.379103939218906,4.1122141123027433e-16,0.7128849738893964,0.8229534397805027,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.82,5.75,4.024,1.16,2.036834312726128,17.425,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.3861415620810735,faltinsen_ch9_reduced_order_planing,0.046368000000000006,True,kA<=0.055,0.31707175973047735,0.1654697477442758
begovic_2014_mono_efd_republished_2020,C6,2.82,5.75,3.46,10.45775,1.217,5.161,0.035,2.717,1.110576923,1.1875,0.01923076923,0.01923076923,red_triangle_EFD_graph_digitization,5,3.4552807643325787,10.455535659950215,1.2174356340204586,2.831485249911006,2.3318985554162297,-0.35456423338890425,4.694816806843782,3.668113901341654,4.7081865559280365,3.8672981341771018,8.334289306957103,129.47351093989295,-175.68107907920026,163.22822101490453,-129.47351093989295,-175.68107907920026,400.9917042276489,911.0897214780141,1.4311420972470428,3.2516853616403663,29.959632353013866,1.1856099408531181e-15,0.7915045136901039,0.8724703805309088,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.82,5.75,4.024,1.16,2.036834312726128,17.425,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.3861415620810735,faltinsen_ch9_reduced_order_planing,0.04259500000000001,True,kA<=0.055,2.3028904395320793,2.2566721129912435
begovic_2014_mono_efd_republished_2020,C7,2.82,5.75,3.14,8.9245,1.006,6.245,0.035,3.287,1.307692308,1.504807692,0.01923076923,0.01923076923,red_triangle_EFD_graph_digitization,6,3.1411165469230062,8.92627515641582,1.0061145407813588,1.189349033970385,-4.157613225829694,4.889817695585195,-1.505428354417918,4.324384217458051,5.116310352817111,5.08521658860405,9.253921167096234,15.963989982587094,72.88796906519278,49.83542330623064,-15.963989982587094,72.88796906519278,344.5599642663955,737.3375228283934,1.229736836669387,2.631562592627836,25.26193228146834,1.1455333855943391e-15,0.8545439627093517,0.9115737964144389,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.82,5.75,4.024,1.16,2.036834312726128,17.425,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.3861415620810735,faltinsen_ch9_reduced_order_planing,0.035210000000000005,True,kA<=0.055,2.306882047866302,2.3793132608495795
begovic_2014_mono_efd_republished_2020,C8,2.82,5.75,2.83,7.51625,0.815,7.71,0.045,4.058,1.25,1.4375,0.01923076923,0.01923076923,red_triangle_EFD_graph_digitization,7,2.8269822583560744,7.51288569756264,0.8149397285576636,-0.04148195163525901,-2.001491427146878,1.8223827456012258,-1.104634831769789,2.0019212485145155,2.1310319056795306,2.6149564575176343,3.964527367149828,-1.187314870635106,58.77790819646711,32.85550811876669,1.187314870635106,58.77790819646711,112.99534490663999,223.77160818654448,0.5185043333655018,1.0268259159238375,8.916904313665174,3.965493622067595e-16,0.9030556441193438,0.9413314498283882,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.82,5.75,4.024,1.16,2.036834312726128,17.425,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.3861415620810735,faltinsen_ch9_reduced_order_planing,0.036675,True,kA<=0.055,0.6015369988116124,0.8191001443600934
