benchmark,coefficient,candidate_name,candidate_order,row_count,station_count,total_current_forward_gradient_integral_value,total_candidate_forward_gradient_integral_value,total_forward_gradient_integral_delta_vs_current,max_abs_station_integral_delta_vs_current,dominant_delta_station_index,dominant_delta_x_over_l,dominant_delta_value,dominant_candidate_density_value_per_m,dominant_current_density_value_per_m,dominant_station_delta_share_of_total_abs_delta,max_gradient_norm_ratio_to_current,median_gradient_norm_ratio_to_current,max_gradient_peak_phase_delta_abs_deg,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,A33,phase_aligned_central,4,39,39,0.0,-1.0175664547208193e-15,-1.0175664547208193e-15,1.9279349704146494e-16,1,0.049999999999999996,1.9279349704146494e-16,2.5705799605528665e-15,0.0,0.08305821055982134,1.7387614571750474,1.0,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A35,phase_aligned_central,4,39,39,-1.6080132468849453,0.6201567043356996,2.2281699512206443,0.4835041563692338,1,0.049999999999999996,-0.4835041563692338,-4.119261254228845,2.3274608306942737,0.09072239721424055,1.6734079914939775,0.9423625073887761,179.60897972438033,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A53,phase_aligned_central,4,39,39,0.0,5.472378429607573e-17,5.472378429607573e-17,4.3378536834329605e-17,1,0.049999999999999996,4.3378536834329605e-17,5.783804911243949e-16,0.0,0.17119877111364093,1.7387614571750474,1.0,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A55,phase_aligned_central,4,39,39,0.15199283365756522,-0.3862825418536899,-0.5382753755112551,0.5069469743996553,1,0.049999999999999996,-0.5069469743996553,-4.402738900917454,2.3565540910779528,0.17568318526736537,1.6971305317530585,0.958635636355114,179.8029004348784,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B33,phase_aligned_central,4,39,39,9.045074513727819,-7.418563774922675,-16.463638288650493,3.148556745923728,1,0.049999999999999996,3.148556745923728,28.888789439661075,-13.091967172655302,0.0830124625439018,1.7387614571750474,1.0,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B35,phase_aligned_central,4,39,39,1.8232409617498317,-0.5804246683689172,-2.40366563011875,1.2392983487796019,3,0.09999999999999999,-1.2392983487796019,-7.81645025307905,8.707527730648975,0.21919027805104618,1.6559596612389111,0.941730382548507,179.55134683341174,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B53,phase_aligned_central,4,39,39,-0.37998208414391305,1.330299562821798,1.7102816469657114,1.4168505356656773,1,0.049999999999999996,1.4168505356656773,12.999955247847483,-5.891385227694885,0.1710712365159178,1.7387614571750474,1.0,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B55,phase_aligned_central,4,39,39,1.004094890825823,0.7209291939553055,-0.2831656968705175,0.4772376051287649,1,0.049999999999999996,0.4772376051287649,7.050195348906651,0.6870272805231167,0.22328001294437855,1.6971305317530585,0.958635636355114,179.8029004348784,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,phase_aligned_forward,5,39,39,0.0,-1.0516775900690133e-15,-1.0516775900690133e-15,3.855869940829298e-16,1,0.049999999999999996,3.855869940829298e-16,5.1411599211057315e-15,0.0,0.15943983510511608,1.884836940686642,0.9532818899775382,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A35,phase_aligned_forward,5,39,39,-1.6080132468849453,0.8455542076897055,2.453567454574651,0.453034147334721,1,0.049999999999999996,-0.453034147334721,-3.712994467102008,2.3274608306942737,0.09355810760339726,1.7737353310387465,0.8744747162122266,177.70486371305486,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
