z_over_Vt,reference_cp,window_mean_cp,window_std_cp
-0.09382151029748287,9.12772585669782,7.795068337394556,1.7646349794470915
-0.08924485125858128,9.096573208722742,7.809670919132303,1.7713214605617749
-0.08466819221967958,9.190031152647975,7.824273500870048,1.7780079635320123
-0.080091533180778,9.190031152647975,7.838876082607794,1.7846944881121527
-0.07551487414187641,9.221183800623052,7.853478664345539,1.791381034060212
-0.06636155606407323,9.314641744548286,7.8826838278210305,1.804754189110079
-0.06178489702517165,9.28348909657321,7.897286409558776,1.8114407977456475
-0.05720823798627006,9.314641744548286,7.911888991296522,1.8181274268165268
-0.052631578947368474,9.345794392523365,7.9264915730342675,1.8248140760980762
-0.048054919908466776,9.314641744548286,7.9410941547720135,1.831500745368933
-0.029748283752860427,9.470404984423675,8.00844234171264,1.8542856061246178
-0.02517162471395884,9.439252336448599,8.02822245902676,1.8616683936132417
-0.020594965675057253,9.439252336448599,8.04865985998785,1.8701661930522366
-0.016018306636155555,9.470404984423675,8.070059964125345,1.8802916853577314
-0.011441647597253968,9.501557632398754,8.091460068262837,1.8904172664293213
-0.006864988558352381,9.470404984423675,8.112860172400328,1.9005429348482403
0.011441647597254079,9.626168224299066,8.1984605889503,1.9410464546576602
0.016018306636155666,9.657320872274143,8.219860693087792,1.9511725395567578
0.020594965675057253,9.688473520249222,8.241260797225284,1.961298703895057
0.02517162471395884,9.688473520249222,8.262660901362775,1.9714249464484468
0.029748283752860427,9.719626168224298,8.28406100550027,1.9815512660178292
0.04347826086956519,9.84423676012461,8.348261317912746,2.0119306751929265
0.048054919908466776,9.84423676012461,8.369661422050239,2.0220572913137094
0.05263157894736836,9.906542056074766,8.391061526187732,2.032183978808605
0.05720823798626995,9.906542056074766,8.412461630325225,2.0423107366158995
0.06178489702517154,9.937694704049845,8.433861734462717,2.0524375636948258
0.06636155606407312,9.968847352024921,8.455261838600208,2.0625644590250487
0.07551487414187652,10.031152647975079,8.498062046875194,2.082818450457235
0.08009153318077811,10.093457943925234,8.519462151012688,2.092945544616277
0.0846681922196797,10.062305295950155,8.540862255150179,2.103072703139845
0.08924485125858128,10.15576323987539,8.562262359287672,2.113199925102572
