configuration,running_trim_deg,keel_wetted_length_m,mean_wetted_length_over_b,matrix,row_dof,column_dof,value,matrix_contract
FnB=2.26,4.174,1.3,2.3921433109895345,radiation_damping,heave,pitch,-471.01796865371153,heave_pitch_2x2_v1
FnB=2.26,4.174,1.3,2.3921433109895345,radiation_damping,pitch,heave,29.460849481525887,heave_pitch_2x2_v1
FnB=2.26,4.174,1.3,2.3921433109895345,radiation_damping,pitch,pitch,141.59729318361758,heave_pitch_2x2_v1
FnB=2.26,4.174,1.3,2.3921433109895345,restoring,heave,heave,3521.186818985898,heave_pitch_2x2_v1
FnB=2.26,4.174,1.3,2.3921433109895345,restoring,heave,pitch,-2176.726217682301,heave_pitch_2x2_v1
FnB=2.26,4.174,1.3,2.3921433109895345,restoring,pitch,heave,844.761079396415,heave_pitch_2x2_v1
FnB=2.26,4.174,1.3,2.3921433109895345,restoring,pitch,pitch,545.9733934793043,heave_pitch_2x2_v1
FnB=2.82,4.024,1.16,2.036834312726128,rigid_mass,heave,heave,32.60032733,heave_pitch_2x2_v1
FnB=2.82,4.024,1.16,2.036834312726128,rigid_mass,heave,pitch,0.0,heave_pitch_2x2_v1
FnB=2.82,4.024,1.16,2.036834312726128,rigid_mass,pitch,heave,0.0,heave_pitch_2x2_v1
FnB=2.82,4.024,1.16,2.036834312726128,rigid_mass,pitch,pitch,11.080492655866367,heave_pitch_2x2_v1
FnB=2.82,4.024,1.16,2.036834312726128,added_mass,heave,heave,48.46105680004508,heave_pitch_2x2_v1
FnB=2.82,4.024,1.16,2.036834312726128,added_mass,heave,pitch,-14.626840942820952,heave_pitch_2x2_v1
FnB=2.82,4.024,1.16,2.036834312726128,added_mass,pitch,heave,-14.626840942820952,heave_pitch_2x2_v1
FnB=2.82,4.024,1.16,2.036834312726128,added_mass,pitch,pitch,7.274753237496808,heave_pitch_2x2_v1
FnB=2.82,4.024,1.16,2.036834312726128,radiation_damping,heave,heave,526.0703585525328,heave_pitch_2x2_v1
FnB=2.82,4.024,1.16,2.036834312726128,radiation_damping,heave,pitch,-532.5917028262592,heave_pitch_2x2_v1
FnB=2.82,4.024,1.16,2.036834312726128,radiation_damping,pitch,heave,-25.92826591899179,heave_pitch_2x2_v1
FnB=2.82,4.024,1.16,2.036834312726128,radiation_damping,pitch,pitch,176.99661647952198,heave_pitch_2x2_v1
FnB=2.82,4.024,1.16,2.036834312726128,restoring,heave,heave,3561.531827336401,heave_pitch_2x2_v1
FnB=2.82,4.024,1.16,2.036834312726128,restoring,heave,pitch,-3189.744663109195,heave_pitch_2x2_v1
FnB=2.82,4.024,1.16,2.036834312726128,restoring,pitch,heave,1203.3213794730739,heave_pitch_2x2_v1
FnB=2.82,4.024,1.16,2.036834312726128,restoring,pitch,pitch,668.7261296949742,heave_pitch_2x2_v1
