station,exponent,count,potential,y,computed_q,exact_q
12,1.0,192,linear_z,0.8579375,-1.0002357501888213,-1.0
12,1.0,192,linear_z,0.8689791666666666,-1.0002367449959442,-1.0
12,1.0,192,linear_z,0.8800208333333333,-1.0002377625059093,-1.0
12,1.0,192,linear_z,0.8910625,-1.0002388002352984,-1.0
12,1.0,192,linear_z,0.9021041666666667,-1.0002398551755944,-1.0
12,1.0,192,linear_z,0.9131458333333333,-1.0002409236667626,-1.0
12,1.0,192,linear_z,0.9241874999999999,-1.0002420012457032,-1.0
12,1.0,192,linear_z,0.9352291666666666,-1.000243082455317,-1.0
12,1.0,192,linear_z,0.9462708333333333,-1.0002441606054597,-1.0
12,1.0,192,linear_z,0.9573125,-1.0002452274738771,-1.0
12,1.0,192,linear_z,0.9683541666666666,-1.000246272924801,-1.0
12,1.0,192,linear_z,0.9793958333333332,-1.0002472844242194,-1.0
12,1.0,192,linear_z,0.9904375,-1.0002482464154414,-1.0
12,1.0,192,linear_z,1.0014791666666667,-1.0002491395100572,-1.0
12,1.0,192,linear_z,1.0125208333333333,-1.0002499394299664,-1.0
12,1.0,192,linear_z,1.0235625000000002,-1.0002506156113034,-1.0
12,1.0,192,linear_z,1.0346041666666665,-1.0002511293434493,-1.0
12,1.0,192,linear_z,1.0456458333333334,-1.0002514312602862,-1.0
12,1.0,192,linear_z,1.0566875,-1.0002514579160826,-1.0
12,1.0,192,linear_z,1.0677291666666666,-1.000251127054476,-1.0
12,1.0,192,linear_z,1.0787708333333335,-1.0002503309643185,-1.0
12,1.0,192,linear_z,1.0898124999999999,-1.0002489270116885,-1.0
12,1.0,192,linear_z,1.1008541666666667,-1.0002467238822996,-1.0
12,1.0,192,linear_z,1.1118958333333335,-1.0002434611972875,-1.0
12,1.0,192,linear_z,1.1229375,-1.0002387785966371,-1.0
12,1.0,192,linear_z,1.1339791666666668,-1.0002321676082855,-1.0
12,1.0,192,linear_z,1.1450208333333334,-1.0002228944427711,-1.0
12,1.0,192,linear_z,1.1560625,-1.0002098717420729,-1.0
12,1.0,192,linear_z,1.1671041666666668,-1.0001914366352633,-1.0
12,1.0,192,linear_z,1.1781458333333332,-1.0001649473973995,-1.0
12,1.0,192,linear_z,1.1891875,-1.0001260049273804,-1.0
12,1.0,192,linear_z,1.2002291666666667,-1.0000668424275059,-1.0
12,1.0,192,linear_z,1.2112708333333333,-0.999972512631403,-1.0
12,1.0,192,linear_z,1.2223125000000001,-0.9998131259382543,-1.0
12,1.0,192,linear_z,1.2333541666666665,-0.9994822666379968,-1.0
12,1.0,192,linear_z,1.2443958333333334,-0.9991896297632842,-1.0
12,1.0,192,linear_z,1.2554375,-0.9898575430947794,-1.0
12,1.0,192,linear_z,1.2664791666666666,-1.0805372587679154,-1.0
12,1.0,192,quadratic,-1.2664791666666666,-0.125328713592999,0.0
12,1.0,192,quadratic,-1.2554375000000002,-0.011570540558845335,0.0
12,1.0,192,quadratic,-1.2443958333333334,-0.005859447579727084,0.0
12,1.0,192,quadratic,-1.2333541666666665,-0.0024966316410918957,0.0
12,1.0,192,quadratic,-1.2223125000000001,-0.0011368158350963066,0.0
12,1.0,192,quadratic,-1.2112708333333333,-0.0004253495274131329,0.0
12,1.0,192,quadratic,-1.2002291666666667,-1.675476355464182e-05,0.0
12,1.0,192,quadratic,-1.1891875,0.00023570076037121967,0.0
12,1.0,192,quadratic,-1.1781458333333332,0.0003997675999433464,0.0
12,1.0,192,quadratic,-1.1671041666666668,0.0005103664808737713,0.0
12,1.0,192,quadratic,-1.1560625,0.0005869194537995762,0.0
12,1.0,192,quadratic,-1.1450208333333334,0.0006409009189309001,0.0
12,1.0,192,quadratic,-1.1339791666666668,0.000679425418733715,0.0
12,1.0,192,quadratic,-1.1229375,0.0007070822054384797,0.0
12,1.0,192,quadratic,-1.1118958333333335,0.0007269306423338593,0.0
12,1.0,192,quadratic,-1.1008541666666667,0.0007410676287427172,0.0
12,1.0,192,quadratic,-1.0898124999999999,0.0007509648338106297,0.0
12,1.0,192,quadratic,-1.0787708333333335,0.0007576764012443846,0.0
12,1.0,192,quadratic,-1.0677291666666666,0.0007619708873024313,0.0
12,1.0,192,quadratic,-1.0566875,0.0007644173611107702,0.0
12,1.0,192,quadratic,-1.0456458333333334,0.0007654429406920805,0.0
12,1.0,192,quadratic,-1.0346041666666665,0.0007653720615036244,0.0
12,1.0,192,quadratic,-1.0235625000000002,0.0007644537841503904,0.0
12,1.0,192,quadratic,-1.0125208333333333,0.0007628811093144781,0.0
12,1.0,192,quadratic,-1.0014791666666667,0.0007608048474417948,0.0
12,1.0,192,quadratic,-0.9904375,0.0007583437183200629,0.0
12,1.0,192,quadratic,-0.9793958333333334,0.0007555917971254068,0.0
12,1.0,192,quadratic,-0.9683541666666667,0.0007526240681905908,0.0
12,1.0,192,quadratic,-0.9573125,0.0007495006110189822,0.0
12,1.0,192,quadratic,-0.9462708333333334,0.0007462697868935365,0.0
12,1.0,192,quadratic,-0.9352291666666667,0.0007429706842757026,0.0
12,1.0,192,quadratic,-0.9241875,0.0007396350146491232,0.0
12,1.0,192,quadratic,-0.9131458333333333,0.0007362885903082582,0.0
12,1.0,192,quadratic,-0.9021041666666667,0.0007329524862117444,0.0
12,1.0,192,quadratic,-0.8910625,0.0007296439607413262,0.0
12,1.0,192,quadratic,-0.8800208333333334,0.0007263771873294234,0.0
12,1.0,192,quadratic,-0.8689791666666666,0.0007231638424201781,0.0
12,1.0,192,quadratic,-0.8579375,0.0007200135788132641,0.0
12,1.0,192,quadratic,-0.8468958333333334,0.0007169344100220232,0.0
12,1.0,192,quadratic,-0.8358541666666667,0.0007139330242791513,0.0
12,1.0,192,quadratic,-0.8248125000000001,0.0007110150409455579,0.0
12,1.0,192,quadratic,-0.8137708333333333,0.0007081852253096718,0.0
12,1.0,192,quadratic,-0.8027291666666667,0.0007054476640027875,0.0
12,1.0,192,quadratic,-0.7916875,0.0007028059153305212,0.0
12,1.0,192,quadratic,-0.7806458333333334,0.0007002631343131492,0.0
12,1.0,192,quadratic,-0.7696041666666666,0.000697822181416423,0.0
12,1.0,192,quadratic,-0.7585625,0.0006954857153518585,0.0
12,1.0,192,quadratic,-0.7475208333333334,0.0006932562759907984,0.0
12,1.0,192,quadratic,-0.7364791666666667,0.0006911363571284078,0.0
12,1.0,192,quadratic,-0.7254375,0.0006891284742805447,0.0
12,1.0,192,quadratic,-0.7143958333333333,0.0006872352264098904,0.0
12,1.0,192,quadratic,-0.7033541666666667,0.000685459355596917,0.0
12,1.0,192,quadratic,-0.6923125,0.0006838038051196214,0.0
12,1.0,192,quadratic,-0.6812708333333334,0.0006822717771076262,0.0
12,1.0,192,quadratic,-0.6702291666666667,0.0006808667923930557,0.0
12,1.0,192,quadratic,-0.6591875,0.0006795927523331986,0.0
12,1.0,192,quadratic,-0.6481458333333334,0.0006784540056203116,0.0
12,1.0,192,quadratic,-0.6371041666666667,0.0006774554204910659,0.0
12,1.0,192,quadratic,-0.6260625,0.0006766024649935531,0.0
12,1.0,192,quadratic,-0.6150208333333333,0.0006759012963926577,0.0
12,1.0,192,quadratic,-0.6039791666666667,0.00067535886321848,0.0
12,1.0,192,quadratic,-0.5929375,0.0006749830216110415,0.0
12,1.0,192,quadratic,-0.5818958333333333,0.0006747826699525637,0.0
12,1.0,192,quadratic,-0.5708541666666667,0.0006747679055360086,0.0
12,1.0,192,quadratic,-0.5598125,0.0006749502085386333,0.0
12,1.0,192,quadratic,-0.5487708333333334,0.0006753426590309838,0.0
12,1.0,192,quadratic,-0.5377291666666667,0.0006759601949964475,0.0
12,1.0,192,quadratic,-0.5266875,0.0006768199208750231,0.0
12,1.0,192,quadratic,-0.5156458333333334,0.0006779414792769162,0.0
12,1.0,192,quadratic,-0.5046041666666667,0.0006793475011829745,0.0
12,1.0,192,quadratic,-0.4935625,0.0006810641556774414,0.0
12,1.0,192,quadratic,-0.48252083333333334,0.0006831218252296742,0.0
