case,frequency_index,omega,wavenumber,variant,old_dynamic_condition,new_dynamic_condition,q3_real,q3_imag,q5_real,q5_imag
fn167,2,11.104800000000001,1.9725359002056604,baseline,18.45605102877616,22.94509092045934,0.1227098020985613,0.7334888860035376,-1.3642154592525808,0.5547794026041353
fn167,2,11.104800000000001,1.9725359002056604,radiation_only,18.45605102877616,22.94509092045934,-0.40070354515921774,1.2723635548350012,-1.4519683010582594,-0.12040503094280157
fn167,2,11.104800000000001,1.9725359002056604,excitation_only,18.45605102877616,22.94509092045934,0.13152993795520931,0.7389831917087135,-1.3653802785494011,0.5961559305545961
fn167,2,11.104800000000001,1.9725359002056604,combined,18.45605102877616,22.94509092045934,-0.3790621056671643,1.291442996118424,-1.464817576824634,-0.07251370009600305
fn167,2,11.104800000000001,1.9725359002056604,radiation_increment,18.45605102877616,22.94509092045934,-0.523413347257779,0.5388746688314634,-0.08775284180567788,-0.6751844335469369
fn167,2,11.104800000000001,1.9725359002056604,excitation_increment,18.45605102877616,22.94509092045934,0.021641439492053497,0.01907944128342256,-0.012849275766374478,0.047891330846798495
fn167,3,9.86,1.6993368978428782,baseline,20.708010054545582,31.385619601891598,0.5552736498271746,1.0671140812768396,-1.912496631053998,1.5212615214439573
fn167,3,9.86,1.6993368978428782,radiation_only,20.708010054545582,31.385619601891598,-1.0100154797453373,2.372253715558532,-2.6259088227278378,-0.26718551034383486
fn167,3,9.86,1.6993368978428782,excitation_only,20.708010054545582,31.385619601891598,0.5725087638856742,1.0647892940576942,-1.8941972335790271,1.5799685775220689
fn167,3,9.86,1.6993368978428782,combined,20.708010054545582,31.385619601891598,-0.9609109672303535,2.4053507294981067,-2.640026206999249,-0.18465205216324482
fn167,3,9.86,1.6993368978428782,radiation_increment,20.708010054545582,31.385619601891598,-1.565289129572512,1.3051396342816926,-0.7134121916738402,-1.7884470317877925
fn167,3,9.86,1.6993368978428782,excitation_increment,20.708010054545582,31.385619601891598,0.04910451251498372,0.03309701393957472,-0.01411738427141123,0.08253345818058996
fn167,4,8.6966,1.4490864561878758,baseline,21.955076606575787,81.5452399153735,1.8595919274357424,0.850974563503013,-1.2976527264822062,4.014453815063231
fn167,4,8.6966,1.4490864561878758,radiation_only,21.955076606575787,81.5452399153735,-7.465360928159796,5.088755281131645,-7.39103701510988,-5.1956804539331936
fn167,4,8.6966,1.4490864561878758,excitation_only,21.955076606575787,81.5452399153735,1.8763563915936305,0.8215709141159689,-1.2258101707277145,4.070177521750977
fn167,4,8.6966,1.4490864561878758,combined,21.955076606575787,81.5452399153735,-7.33721373192268,5.280362034985199,-7.521829851826419,-4.97807678979915
fn167,4,8.6966,1.4490864561878758,radiation_increment,21.955076606575787,81.5452399153735,-9.324952855595543,4.237780717628633,-6.093384288627676,-9.210134268996427
fn167,4,8.6966,1.4490864561878758,excitation_increment,21.955076606575787,81.5452399153735,0.12814719623711707,0.19160675385355297,-0.130792836716537,0.21760366413404403
fn167,5,7.5978,1.2181075901891778,baseline,12.253903577872801,36.953147501476096,1.8016569533916176,-1.1248573139454163,2.3326920635182704,3.651669749772927
fn167,5,7.5978,1.2181075901891778,radiation_only,12.253903577872801,36.953147501476096,-0.9726608514452404,-4.720530592264113,4.1299579428736335,-2.6546221161799566
fn167,5,7.5978,1.2181075901891778,excitation_only,12.253903577872801,36.953147501476096,1.7790859710954827,-1.1577164824339952,2.4068583161184565,3.6358607029440217
fn167,5,7.5978,1.2181075901891778,combined,12.253903577872801,36.953147501476096,-1.1074287162402217,-4.67750448891057,4.040649973229862,-2.7292346976430504
fn167,5,7.5978,1.2181075901891778,radiation_increment,12.253903577872801,36.953147501476096,-2.774317804836857,-3.595673278318702,1.7972658793553684,-6.306291865952886
fn167,5,7.5978,1.2181075901891778,excitation_increment,12.253903577872801,36.953147501476096,-0.134767864794981,0.04302610335354317,-0.08930796964377073,-0.07461258146309398
fn167,6,6.5604,1.0058109838842562,baseline,4.339894683872986,17.989878814300038,0.6736622332600842,-1.376086019643192,2.544969188311223,1.5899269875067188
fn167,6,6.5604,1.0058109838842562,radiation_only,4.339894683872986,17.989878814300038,-0.0876281356198328,-2.159416813777484,2.1654486789234744,-0.7289519472298625
fn167,6,6.5604,1.0058109838842562,excitation_only,4.339894683872986,17.989878814300038,0.6448234002697368,-1.3865187248990556,2.578790353007409,1.5682279087307784
fn167,6,6.5604,1.0058109838842562,combined,4.339894683872986,17.989878814300038,-0.15992773604458063,-2.147311645558254,2.1249020191702432,-0.7533157292912716
fn167,6,6.5604,1.0058109838842562,radiation_increment,4.339894683872986,17.989878814300038,-0.761290368879918,-0.7833307941342916,-0.3795205093877497,-2.3188789347365817
fn167,6,6.5604,1.0058109838842562,excitation_increment,4.339894683872986,17.989878814300038,-0.07229960042474803,0.012105168219230083,-0.04054665975323136,-0.024363782061409187
fn167,7,5.601,0.8155674217941496,baseline,2.642851550071961,15.514013949357572,0.24745372139799215,-1.1917861454473397,2.0603700286185505,0.887799080131347
fn167,7,5.601,0.8155674217941496,radiation_only,2.642851550071961,15.514013949357572,-0.11039039444005294,-1.4191157479229728,1.4751948290599737,-0.24766210360422714
fn167,7,5.601,0.8155674217941496,excitation_only,2.642851550071961,15.514013949357572,0.2231712124747109,-1.1931243250961567,2.080144465341654,0.8772730643592661
fn167,7,5.601,0.8155674217941496,combined,2.642851550071961,15.514013949357572,-0.16258917597834083,-1.4127653632350974,1.442905651248901,-0.25431671792644833
fn167,7,5.601,0.8155674217941496,radiation_increment,2.642851550071961,15.514013949357572,-0.3578441158380452,-0.2273296024756332,-0.5851751995585769,-1.1354611837355744
fn167,7,5.601,0.8155674217941496,excitation_increment,2.642851550071961,15.514013949357572,-0.05219878153828779,0.006350384687875231,-0.03228917781107273,-0.006654614322221098
fn226,0,20.646,3.259236620385745,baseline,18.436847863427232,20.087379993232567,0.020740768703155818,0.12708038689042692,-0.262268184951481,0.07921273792626482
fn226,0,20.646,3.259236620385745,radiation_only,18.436847863427232,20.087379993232567,0.010505246545640685,0.16892138480482763,-0.25989308550114404,0.03254681571674806
fn226,0,20.646,3.259236620385745,excitation_only,18.436847863427232,20.087379993232567,0.02196575926040614,0.13217176033525627,-0.26736595336176666,0.09267799817359336
fn226,0,20.646,3.259236620385745,combined,18.436847863427232,20.087379993232567,0.013388029349392466,0.17504999254957468,-0.2654518822929499,0.046668435493868905
fn226,0,20.646,3.259236620385745,radiation_increment,18.436847863427232,20.087379993232567,-0.010235522157515116,0.041840997914400734,0.002375099450336922,-0.04666592220951675
fn226,0,20.646,3.259236620385745,excitation_increment,18.436847863427232,20.087379993232567,0.0028827828037517747,0.0061286077447470525,-0.0055587967918058956,0.014121619777120844
fn226,1,16.8796,2.5766950424428487,baseline,18.94906790327263,20.89113309841763,0.06987926024869268,0.22896410536746162,-0.39369103993286203,0.2213926274445472
fn226,1,16.8796,2.5766950424428487,radiation_only,18.94906790327263,20.89113309841763,0.033071863918615545,0.32865395576218254,-0.39169967793842825,0.10776758675312302
fn226,1,16.8796,2.5766950424428487,excitation_only,18.94906790327263,20.89113309841763,0.07505247500848192,0.23409225721211763,-0.3930336831566057,0.2440217888030702
fn226,1,16.8796,2.5766950424428487,combined,18.94906790327263,20.89113309841763,0.04213932729331509,0.3354654130548601,-0.39218994902999516,0.1315687285748927
fn226,1,16.8796,2.5766950424428487,radiation_increment,18.94906790327263,20.89113309841763,-0.03680739633007715,0.09968985039472096,0.001991361994433807,-0.11362504069142425
fn226,1,16.8796,2.5766950424428487,excitation_increment,18.94906790327263,20.89113309841763,0.009067463374699566,0.006811457292677631,-0.000490271091566935,0.023801141821769695
fn226,2,13.4712,1.9724233726607707,baseline,18.915940460673657,23.561967457263528,0.2523447741655128,0.38531810739628636,-0.5621915332690897,0.6203016551133519
fn226,2,13.4712,1.9724233726607707,radiation_only,18.915940460673657,23.561967457263528,0.14588464124685194,0.6819581281611651,-0.6500263614445857,0.3697794874531359
fn226,2,13.4712,1.9724233726607707,excitation_only,18.915940460673657,23.561967457263528,0.26403116377840385,0.3855817775030692,-0.545924924996944,0.6543465174400496
fn226,2,13.4712,1.9724233726607707,combined,18.915940460673657,23.561967457263528,0.16895914215877217,0.6836208834872862,-0.6351582671993804,0.40960462728863206
fn226,2,13.4712,1.9724233726607707,radiation_increment,18.915940460673657,23.561967457263528,-0.10646013291866073,0.2966400207648787,-0.08783482817549648,-0.25052216766021573
fn226,2,13.4712,1.9724233726607707,excitation_increment,18.915940460673657,23.561967457263528,0.023074500911920197,0.0016627553261212217,0.014868094245205367,0.039825139835496196
fn226,3,11.899999999999999,1.699474065203633,baseline,17.80673085254939,27.15267489948181,0.4839596168905886,0.4345012703225723,-0.5437213904318925,1.0484862603773855
fn226,3,11.899999999999999,1.699474065203633,radiation_only,17.80673085254939,27.15267489948181,0.41666658532039214,1.0275774191493934,-0.8533431324343537,0.8160946800346236
fn226,3,11.899999999999999,1.699474065203633,excitation_only,17.80673085254939,27.15267489948181,0.49813978244970747,0.42725778360525063,-0.5113104618133567,1.0848873541540773
fn226,3,11.899999999999999,1.699474065203633,combined,17.80673085254939,27.15267489948181,0.45290624218973374,1.0150315132267482,-0.8156719771693588,0.8662783004625704
fn226,3,11.899999999999999,1.699474065203633,radiation_increment,17.80673085254939,27.15267489948181,-0.06729303157019625,0.593076148826821,-0.30962174200246123,-0.23239158034276167
fn226,3,11.899999999999999,1.699474065203633,excitation_increment,17.80673085254939,27.15267489948181,0.03623965686934158,-0.01254590592264516,0.03767115526499487,0.050183620427946746
fn226,4,10.4354,1.4490688740302793,baseline,14.64677484951052,32.57632648213873,0.8175649218462128,0.30021343733045464,-0.17375539770905354,1.5764020714818556
fn226,4,10.4354,1.4490688740302793,radiation_only,14.64677484951052,32.57632648213873,1.3767205695466738,1.1864231272639938,-0.566787545845144,1.957506561924335
fn226,4,10.4354,1.4490688740302793,excitation_only,14.64677484951052,32.57632648213873,0.8278523435970015,0.28179198504334585,-0.12159396052808452,1.6027152081253788
fn226,4,10.4354,1.4490688740302793,combined,14.64677484951052,32.57632648213873,1.4127399742507625,1.1277248183545665,-0.4772950916942778,1.9912099773202039
fn226,4,10.4354,1.4490688740302793,radiation_increment,14.64677484951052,32.57632648213873,0.5591556477004604,0.88620968993354,-0.39303214813609144,0.3811044904424788
fn226,4,10.4354,1.4490688740302793,excitation_increment,14.64677484951052,32.57632648213873,0.036019404704088695,-0.058698308909427364,0.08949245415086635,0.03370341539586898
fn226,5,9.0582,1.217886762397776,baseline,9.13568989042519,25.028183661589985,0.9910766015651334,-0.1011877057405991,0.5891669207833097,1.7182716448981572
fn226,5,9.0582,1.217886762397776,radiation_only,9.13568989042519,25.028183661589985,1.7934545931975454,-0.28867542067337537,1.2803529770161652,1.899402245281136
fn226,5,9.0582,1.217886762397776,excitation_only,9.13568989042519,25.028183661589985,0.9881082797886546,-0.12498861343582711,0.6472142376910859,1.7205929224099572
fn226,5,9.0582,1.217886762397776,combined,9.13568989042519,25.028183661589985,1.7556603685048275,-0.3587556894004527,1.354260822040618,1.8510826846157251
fn226,5,9.0582,1.217886762397776,radiation_increment,9.13568989042519,25.028183661589985,0.8023779916324113,-0.18748771493277774,0.6911860562328566,0.18113060038297804
fn226,5,9.0582,1.217886762397776,excitation_increment,9.13568989042519,25.028183661589985,-0.03779422469271728,-0.07008026872707712,0.07390784502445276,-0.04831956066541054
fn226,6,7.7676,1.0058477978268834,baseline,4.212523297221723,13.342497978976654,0.8592552315887273,-0.44333680386369695,1.1288910101662692,1.3454152482990676
fn226,6,7.7676,1.0058477978268834,radiation_only,4.212523297221723,13.342497978976654,0.8472160215482923,-0.6880581645333658,1.4106328817900278,0.8383871235271326
fn226,6,7.7676,1.0058477978268834,excitation_only,4.212523297221723,13.342497978976654,0.8454398621588655,-0.46142170549535866,1.174328696593999,1.3320204131330502
fn226,6,7.7676,1.0058477978268834,combined,4.212523297221723,13.342497978976654,0.7951605976181165,-0.7134066615920315,1.4307535763125554,0.7948506168316668
fn226,6,7.7676,1.0058477978268834,radiation_increment,4.212523297221723,13.342497978976654,-0.01203921004043453,-0.24472136066966851,0.28174187162375824,-0.5070281247719345
fn226,6,7.7676,1.0058477978268834,excitation_increment,4.212523297221723,13.342497978976654,-0.0520554239301762,-0.02534849705866582,0.020120694522527478,-0.043536506695466215
fn226,7,6.579,0.815459919282888,baseline,1.8908689498504185,9.381653974377539,0.680205231811982,-0.5796829858235596,1.2939599195432057,0.9497141671624016
fn226,7,6.579,0.815459919282888,radiation_only,1.8908689498504185,9.381653974377539,0.3937528792633826,-0.5632573039641173,1.127486176770373,0.5574988046578324
fn226,7,6.579,0.815459919282888,excitation_only,1.8908689498504185,9.381653974377539,0.6632717618703317,-0.590160169537424,1.3260434878042322,0.9343564332344146
fn226,7,6.579,0.815459919282888,combined,1.8908689498504185,9.381653974377539,0.3501784737404077,-0.5714791488206996,1.1313818139141065,0.5319132362125139
fn226,7,6.579,0.815459919282888,radiation_increment,1.8908689498504185,9.381653974377539,-0.28645235254859935,0.01642568185944232,-0.16647374277283256,-0.3922153625045691
fn226,7,6.579,0.815459919282888,excitation_increment,1.8908689498504185,9.381653974377539,-0.043574405522975146,-0.008221844856582027,0.0038956371437334028,-0.025585568445318556
fn282,0,24.394999999999996,3.259369285811095,baseline,19.48017701436564,20.67432833269964,0.035782281658690324,0.09146650268134063,-0.1496638308889673,0.10120887156332242
fn282,0,24.394999999999996,3.259369285811095,radiation_only,19.48017701436564,20.67432833269964,0.03059898164218512,0.11606265814467104,-0.14354196051982776,0.0641564587424171
fn282,0,24.394999999999996,3.259369285811095,excitation_only,19.48017701436564,20.67432833269964,0.039259080126764344,0.09559702872870213,-0.14899187914480724,0.1135911208814358
fn282,0,24.394999999999996,3.259369285811095,combined,19.48017701436564,20.67432833269964,0.0352587721268796,0.12055068280502293,-0.14271854882556453,0.07634070175125116
fn282,0,24.394999999999996,3.259369285811095,radiation_increment,19.48017701436564,20.67432833269964,-0.005183300016505215,0.024596155463330414,0.006121870369139544,-0.03705241282090531
fn282,0,24.394999999999996,3.259369285811095,excitation_increment,19.48017701436564,20.67432833269964,0.0046597904846944664,0.004488024660351882,0.0008234116942632488,0.01218424300883405
fn282,1,19.842000000000002,2.5765761955073043,baseline,19.183825896182547,21.182860404130956,0.08213222753831965,0.15469119737692127,-0.20942933834373237,0.20239420890777735
fn282,1,19.842000000000002,2.5765761955073043,radiation_only,19.183825896182547,21.182860404130956,0.06359798659100614,0.20858444956004946,-0.1999310615735353,0.12616206215363845
fn282,1,19.842000000000002,2.5765761955073043,excitation_only,19.183825896182547,21.182860404130956,0.08921207534169043,0.15808864299830766,-0.20282573172037155,0.22058728830409993
fn282,1,19.842000000000002,2.5765761955073043,combined,19.183825896182547,21.182860404130956,0.07318954628023079,0.21228046194487796,-0.19328747570277852,0.14420246780875814
fn282,1,19.842000000000002,2.5765761955073043,radiation_increment,19.183825896182547,21.182860404130956,-0.018534240947313492,0.05389325218312818,0.009498276770197057,-0.07623214675413889
fn282,1,19.842000000000002,2.5765761955073043,excitation_increment,19.183825896182547,21.182860404130956,0.009591559689224632,0.0036960123848284974,0.006643585870756782,0.018040405655119683
fn282,2,15.739,1.972352449722844,baseline,17.576348254244134,22.454104544214335,0.20846545054464885,0.2389507442607693,-0.25212815323086285,0.44058972351276937
fn282,2,15.739,1.972352449722844,radiation_only,17.576348254244134,22.454104544214335,0.17383734163281284,0.37550988173127386,-0.27300591498749904,0.31432233414316363
fn282,2,15.739,1.972352449722844,excitation_only,17.576348254244134,22.454104544214335,0.22038906026186889,0.23768864053048755,-0.2323643492420934,0.4644127977907466
fn282,2,15.739,1.972352449722844,combined,17.576348254244134,22.454104544214335,0.19185271845254018,0.3723311039865927,-0.2516015739814991,0.33972395421655543
fn282,2,15.739,1.972352449722844,radiation_increment,17.576348254244134,22.454104544214335,-0.034628108911835986,0.1365591374705046,-0.02087776175663621,-0.1262673893696058
fn282,2,15.739,1.972352449722844,excitation_increment,17.576348254244134,22.454104544214335,0.01801537681972728,-0.0031787777446811976,0.02140434100599993,0.025401620073391754
fn282,3,13.855,1.699561077017637,baseline,15.515180780748835,23.20206168245631,0.33446299093290127,0.2585751339426423,-0.19916478412871702,0.6463561723426909
fn282,3,13.855,1.699561077017637,radiation_only,15.515180780748835,23.20206168245631,0.3387214613536418,0.46851585571789933,-0.2576332396827109,0.5473630378380229
fn282,3,13.855,1.699561077017637,excitation_only,15.515180780748835,23.20206168245631,0.34766977206030375,0.25192493161844404,-0.16850649349665692,0.6694791100421579
fn282,3,13.855,1.699561077017637,combined,15.515180780748835,23.20206168245631,0.3601546807293516,0.45407580937485376,-0.22026566643708145,0.5725527239357873
fn282,3,13.855,1.699561077017637,radiation_increment,15.515180780748835,23.20206168245631,0.00425847042074042,0.20994072177525702,-0.05846845555399408,-0.09899313450466814
fn282,3,13.855,1.699561077017637,excitation_increment,15.515180780748835,23.20206168245631,0.021433219375709814,-0.014440046343045602,0.03736757324562948,0.025189686097764428
fn282,4,12.10175,1.4490576404202546,baseline,12.101995046045852,22.024812502211645,0.4924411365318092,0.20834260209086677,-0.011655183403136565,0.8617498860565875
fn282,4,12.10175,1.4490576404202546,radiation_only,12.101995046045852,22.024812502211645,0.6195636861447867,0.40318587374639847,-0.007276767287209097,0.860537508764611
fn282,4,12.10175,1.4490576404202546,excitation_only,12.101995046045852,22.024812502211645,0.5033614343632545,0.19490978956721985,0.03007298515802458,0.8775731981966794
fn282,4,12.10175,1.4490576404202546,combined,12.101995046045852,22.024812502211645,0.6324561276910721,0.3706102719428291,0.04866746227471369,0.8695981621509538
fn282,4,12.10175,1.4490576404202546,radiation_increment,12.101995046045852,22.024812502211645,0.12712254961297795,0.19484327165553145,0.00437841611592766,-0.0012123772919759724
fn282,4,12.10175,1.4490576404202546,excitation_increment,12.101995046045852,22.024812502211645,0.012892441546285181,-0.03257560180356935,0.0559442295619227,0.009060653386342613
fn282,5,10.45775,1.2177445115034398,baseline,7.744189480070258,16.094757356168824,0.610884893458174,0.0705468513201042,0.3015859202423344,0.9565223324611538
fn282,5,10.45775,1.2177445115034398,radiation_only,7.744189480070258,16.094757356168824,0.7034364446406142,0.06436035443814808,0.47031083802371276,0.8641644745531161
fn282,5,10.45775,1.2177445115034398,excitation_only,7.744189480070258,16.094757356168824,0.615163765195274,0.05274325554526928,0.3477889000054221,0.9592218491110822
fn282,5,10.45775,1.2177445115034398,combined,7.744189480070258,16.094757356168824,0.691080072478139,0.02859351603827664,0.5208432440209227,0.8450853785966062
fn282,5,10.45775,1.2177445115034398,radiation_increment,7.744189480070258,16.094757356168824,0.09255155118244035,-0.006186496881955677,0.1687249177813781,-0.09235785790803756
fn282,5,10.45775,1.2177445115034398,excitation_increment,7.744189480070258,16.094757356168824,-0.012356372162475081,-0.03576683839987165,0.05053240599720998,-0.019079095956509858
fn282,6,8.9245,1.005871738114929,baseline,3.98824608537446,9.821999602823018,0.6390515918055771,-0.08036248725856528,0.5918633090809112,0.8833642624707743
fn282,6,8.9245,1.005871738114929,radiation_only,3.98824608537446,9.821999602823018,0.4903147212778333,-0.1372239865375243,0.6612978927131156,0.6235746899855173
fn282,6,8.9245,1.005871738114929,excitation_only,3.98824608537446,9.821999602823018,0.6362678901084351,-0.09751127281181336,0.633673692871117,0.8749882944245131
fn282,6,8.9245,1.005871738114929,combined,3.98824608537446,9.821999602823018,0.4648861401952689,-0.15843164266035611,0.6910308179546898,0.5977394690078703
fn282,6,8.9245,1.005871738114929,radiation_increment,3.98824608537446,9.821999602823018,-0.14873687052774334,-0.05686149927895937,0.06943458363220484,-0.2597895724852567
fn282,6,8.9245,1.005871738114929,excitation_increment,3.98824608537446,9.821999602823018,-0.025428581082564555,-0.021207656122831656,0.02973292524157415,-0.02583522097764707
fn282,7,7.516249999999999,0.8153892471582603,baseline,1.8775432018721285,6.762224245492166,0.6238879474549415,-0.17733984565058739,0.7766070135917327,0.7502987686048211
fn282,7,7.516249999999999,0.8153892471582603,radiation_only,1.8775432018721285,6.762224245492166,0.29393990630553085,-0.16450192623082163,0.6382642199808147,0.4998395256231997
fn282,7,7.516249999999999,0.8153892471582603,excitation_only,1.8775432018721285,6.762224245492166,0.6170074319840222,-0.19118992964304157,0.8108131521608708,0.7371269651676716
fn282,7,7.516249999999999,0.8153892471582603,combined,1.8775432018721285,6.762224245492166,0.2677863925859056,-0.17471500801178122,0.6553984506465927,0.4795801743701818
fn282,7,7.516249999999999,0.8153892471582603,radiation_increment,1.8775432018721285,6.762224245492166,-0.3299480411494108,0.012837919419765337,-0.13834279361091778,-0.25045924298162153
fn282,7,7.516249999999999,0.8153892471582603,excitation_increment,1.8775432018721285,6.762224245492166,-0.0261535137196254,-0.010213081780959381,0.01713423066577792,-0.020259351253017924
